Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
E. Valentini,1. FC Nürnberg,1,2,1.0,0,0,90,0.0,,0.0,
S. Jung,Karlsruher SC,1,3,26.0,6,2,2712,0.0,,0.0,
M. Zimmermann,Fortuna Düsseldorf,2,3,24.0,10,3,2221,0.0,,0.0,
T. Kalas,FC Schalke 04,1,1,6.0,2,1,1319,0.0,,0.0,
M. Halstenberg,Hannover 96,2,2,26.0,8,3,2492,0.0,,0.0,
M. Franke,Karlsruher SC,0,0,17.0,5,3,2587,0.0,,0.0,
B. Saller,SSV Jahn Regensburg,0,0,2.0,0,0,332,0.0,,0.0,
C. Zimmermann,Darmstadt 98,0,0,,0,0,1,0.0,,0.0,
L. Paqarada,1. FC Heidenheim,6,15,33.0,3,0,2443,0.0,,0.0,
M. Heyer,Fortuna Düsseldorf,0,2,3.0,2,1,1441,0.0,,0.0,
J. de Wijs,Fortuna Düsseldorf,0,0,2.0,0,0,103,0.0,,0.0,
M. Neubauer,Hannover 96,7,10,27.0,9,3,3060,0.0,,0.0,
E. Iyoha,Fortuna Düsseldorf,0,2,25.0,8,1,1415,0.0,,0.0,
M. Muheim,Hamburger SV,11,15,24.0,6,1,2667,0.0,,0.0,
R. Ziegele,SSV Jahn Regensburg,0,1,10.0,5,1,1444,0.0,,0.0,
A. Donkor,FC Schalke 04,1,4,12.0,4,0,811,0.0,,0.0,
C. Kobald,Karlsruher SC,0,1,6.0,3,2,1318,0.0,,0.0,
F. Götze,SC Paderborn 07,2,3,13.0,4,3,2642,0.0,,0.0,
T. Christopher Oberdorf,Fortuna Düsseldorf,4,4,19.0,7,2,2961,0.0,,0.0,
A. Vukotić,Darmstadt 98,2,5,35.0,9,3,2847,0.0,,0.0,
R. Schallenberg,FC Schalke 04,1,1,17.0,8,3,2630,0.0,,0.0,
B. Tomiak,Hannover 96,2,2,18.0,9,4,2181,0.0,,0.0,
S. López,Darmstadt 98,3,6,11.0,7,3,2425,0.0,,0.0,
P. Pfeiffer,Darmstadt 98,0,0,2.0,0,0,276,0.0,,0.0,
M. Hoffmeier,SC Paderborn 07,0,0,10.0,2,0,1385,0.0,,0.0,
V. Lunddal,Fortuna Düsseldorf,0,1,9.0,3,0,1331,0.0,,0.0,
F. Nürnberger,Darmstadt 98,1,5,32.0,10,1,2148,0.0,,0.0,
LPL. Perrin,Hamburger SV,0,0,2.0,0,0,325,0.0,,0.0,
D. Elfadli,Hamburger SV,3,0,18.0,6,3,2653,0.0,,0.0,
H. Matriciani,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
L. Curda,SC Paderborn 07,0,1,15.0,6,1,1221,0.0,,0.0,
M. Beifus,Karlsruher SC,0,0,12.0,1,0,2671,0.0,,0.0,
D. Herold,Karlsruher SC,1,5,10.0,3,0,2044,0.0,,0.0,
O. Schönfelder,SSV Jahn Regensburg,0,0,1.0,0,0,374,0.0,,0.0,
E. Uhlmann,Erzgebirge Aue,0,0,,0,0,0,0.0,,0.0,
A. Gantenbein,FC Schalke 04,2,4,9.0,2,1,965,0.0,,0.0,
K. Schmidt,Fortuna Düsseldorf,0,0,,0,0,0,0.0,,0.0,
B. Ezeh,Hannover 96,1,1,3.0,0,0,554,0.0,,0.0,
M. Maglica,Darmstadt 98,0,0,9.0,4,0,413,0.0,,0.0,
L. Wallner,F.C. Hansa Rostock,0,0,,0,0,0,0.0,,0.0,
W. Mikelbrencis,Hamburger SV,2,8,17.0,6,0,1666,0.0,,0.0,
C. Brackelmann,SC Paderborn 07,0,0,27.0,7,3,1688,0.0,,0.0,
F. Gruber,1. FC Nürnberg,0,0,3.0,1,1,660,0.0,,0.0,
B. Bauer,SSV Jahn Regensburg,0,0,,0,0,1,0.0,,0.0,
T. Lasse Scheller,SC Paderborn 07,0,0,14.0,5,1,2291,0.0,,0.0,
V. Becker,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
MAM. Ayhan,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
N. Oliveira Kisilowski,SSV Jahn Regensburg,0,0,,0,0,8,0.0,,0.0,
TZT. Zobel,Erzgebirge Aue,0,0,,0,0,0,0.0,,0.0,
EEE. Egouli,Fortuna Düsseldorf,0,0,,0,0,0,0.0,,0.0,
F. Sánchez,FC Schalke 04,0,0,4.0,0,0,383,0.0,,0.0,
TAT. Arnold,Darmstadt 98,0,0,,0,0,0,0.0,,0.0,
N. Seidel,SSV Jahn Regensburg,0,0,4.0,1,0,415,0.0,,0.0,
L. Wurm,SSV Jahn Regensburg,0,1,12.0,4,1,1777,0.0,,0.0,
TTT. Toure,FC Schalke 04,0,0,1.0,0,0,23,0.0,,0.0,
KKK. Krumme,SC Paderborn 07,0,0,,0,0,1,0.0,,0.0,
R. Pinto Pedrosa,Karlsruher SC,1,0,1.0,0,0,373,0.0,,0.0,
J. Pauli,SG Dynamo Dresden,0,1,6.0,0,0,1213,0.0,,0.0,
EPE. Porstner,1. FC Nürnberg,0,0,,0,0,1,0.0,,0.0,
