Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
E. Valentini,1. FC Nürnberg,14,0,90,0,0,
S. Jung,Karlsruher SC,31,2,2712,0,0,
M. Zimmermann,Fortuna Düsseldorf,33,3,2221,0,0,
T. Kalas,FC Schalke 04,27,1,1319,0,0,
M. Halstenberg,Hannover 96,28,3,2492,0,0,
M. Franke,Karlsruher SC,30,3,2587,0,0,
B. Saller,SSV Jahn Regensburg,5,0,332,0,0,
C. Zimmermann,Darmstadt 98,5,0,1,0,0,
L. Paqarada,1. FC Heidenheim,31,0,2443,0,0,
M. Heyer,Fortuna Düsseldorf,23,1,1441,0,0,
J. de Wijs,Fortuna Düsseldorf,12,0,103,0,0,
M. Neubauer,Hannover 96,34,3,3060,0,0,
E. Iyoha,Fortuna Düsseldorf,22,1,1415,0,0,
M. Muheim,Hamburger SV,30,1,2667,0,0,
R. Ziegele,SSV Jahn Regensburg,31,1,1444,0,0,
A. Donkor,FC Schalke 04,34,0,811,0,0,
C. Kobald,Karlsruher SC,25,2,1318,0,0,
F. Götze,SC Paderborn 07,30,3,2642,0,0,
T. Christopher Oberdorf,Fortuna Düsseldorf,33,2,2961,0,0,
A. Vukotić,Darmstadt 98,32,3,2847,0,0,
R. Schallenberg,FC Schalke 04,31,3,2630,0,0,
B. Tomiak,Hannover 96,29,4,2181,0,0,
S. López,Darmstadt 98,31,3,2425,0,0,
P. Pfeiffer,Darmstadt 98,12,0,276,0,0,
M. Hoffmeier,SC Paderborn 07,29,0,1385,0,0,
V. Lunddal,Fortuna Düsseldorf,26,0,1331,0,0,
F. Nürnberger,Darmstadt 98,28,1,2148,0,0,
LPL. Perrin,Hamburger SV,13,0,325,0,0,
D. Elfadli,Hamburger SV,31,3,2653,0,0,
H. Matriciani,FC Schalke 04,1,0,0,0,0,
L. Curda,SC Paderborn 07,31,1,1221,0,0,
M. Beifus,Karlsruher SC,33,0,2671,0,0,
D. Herold,Karlsruher SC,33,0,2044,0,0,
O. Schönfelder,SSV Jahn Regensburg,5,0,374,0,0,
E. Uhlmann,Erzgebirge Aue,5,0,0,0,0,
A. Gantenbein,FC Schalke 04,25,1,965,0,0,
K. Schmidt,Fortuna Düsseldorf,1,0,0,0,0,
B. Ezeh,Hannover 96,21,0,554,0,0,
M. Maglica,Darmstadt 98,27,0,413,0,0,
L. Wallner,F.C. Hansa Rostock,4,0,0,0,0,
W. Mikelbrencis,Hamburger SV,28,0,1666,0,0,
C. Brackelmann,SC Paderborn 07,23,3,1688,0,0,
F. Gruber,1. FC Nürnberg,13,1,660,0,0,
B. Bauer,SSV Jahn Regensburg,7,0,1,0,0,
T. Lasse Scheller,SC Paderborn 07,32,1,2291,0,0,
V. Becker,FC Schalke 04,1,0,0,0,0,
MAM. Ayhan,FC Schalke 04,1,0,0,0,0,
N. Oliveira Kisilowski,SSV Jahn Regensburg,6,0,8,0,0,
TZT. Zobel,Erzgebirge Aue,2,0,0,0,0,
EEE. Egouli,Fortuna Düsseldorf,1,0,0,0,0,
F. Sánchez,FC Schalke 04,28,0,383,0,0,
TAT. Arnold,Darmstadt 98,4,0,0,0,0,
N. Seidel,SSV Jahn Regensburg,31,0,415,0,0,
L. Wurm,SSV Jahn Regensburg,24,1,1777,0,0,
TTT. Toure,FC Schalke 04,1,0,23,0,0,
KKK. Krumme,SC Paderborn 07,2,0,1,0,0,
R. Pinto Pedrosa,Karlsruher SC,29,0,373,0,0,
J. Pauli,SG Dynamo Dresden,21,0,1213,0,0,
EPE. Porstner,1. FC Nürnberg,2,0,1,0,0,
