Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
E. Valentini,1. FC Nürnberg,3,2,0,1,0,90,9,
S. Jung,Karlsruher SC,38,64,22,13,10,2712,64,
M. Zimmermann,Fortuna Düsseldorf,64,62,24,33,6,2221,126,
T. Kalas,FC Schalke 04,16,95,27,62,0,1319,95,
M. Halstenberg,Hannover 96,42,99,37,42,8,2492,110,
M. Franke,Karlsruher SC,22,162,24,92,2,2587,129,
B. Saller,SSV Jahn Regensburg,17,5,5,3,0,332,22,
C. Zimmermann,Darmstadt 98,0,1,0,1,0,1,1,
L. Paqarada,1. FC Heidenheim,61,74,28,27,13,2443,127,
M. Heyer,Fortuna Düsseldorf,35,57,14,8,1,1441,68,
J. de Wijs,Fortuna Düsseldorf,1,9,0,4,2,103,5,
M. Neubauer,Hannover 96,61,93,28,30,5,3060,112,
E. Iyoha,Fortuna Düsseldorf,24,39,15,12,5,1415,71,
M. Muheim,Hamburger SV,86,89,31,29,6,2667,173,
R. Ziegele,SSV Jahn Regensburg,18,77,16,33,1,1444,69,
A. Donkor,FC Schalke 04,13,17,15,10,6,811,40,
C. Kobald,Karlsruher SC,19,76,11,22,2,1318,55,
F. Götze,SC Paderborn 07,35,133,22,66,1,2642,142,
T. Christopher Oberdorf,Fortuna Düsseldorf,59,166,42,45,8,2961,121,
A. Vukotić,Darmstadt 98,53,210,31,108,3,2847,204,
R. Schallenberg,FC Schalke 04,62,119,57,70,2,2630,159,
B. Tomiak,Hannover 96,46,84,26,51,2,2181,132,
S. López,Darmstadt 98,44,51,13,10,2,2425,73,
P. Pfeiffer,Darmstadt 98,2,16,4,13,1,276,18,
M. Hoffmeier,SC Paderborn 07,23,46,9,9,6,1385,65,
V. Lunddal,Fortuna Düsseldorf,13,34,7,14,2,1331,52,
F. Nürnberger,Darmstadt 98,49,24,27,8,11,2148,97,
LPL. Perrin,Hamburger SV,13,14,3,3,0,325,18,
D. Elfadli,Hamburger SV,44,134,52,52,3,2653,122,
H. Matriciani,FC Schalke 04,0,0,0,0,0,0,0,
L. Curda,SC Paderborn 07,28,50,19,18,1,1221,65,
M. Beifus,Karlsruher SC,36,110,48,54,2,2671,109,
D. Herold,Karlsruher SC,54,55,16,34,3,2044,144,
O. Schönfelder,SSV Jahn Regensburg,9,20,1,4,0,374,35,
E. Uhlmann,Erzgebirge Aue,0,0,0,0,0,0,0,
A. Gantenbein,FC Schalke 04,29,30,16,14,2,965,63,
K. Schmidt,Fortuna Düsseldorf,0,0,0,0,0,0,0,
B. Ezeh,Hannover 96,8,14,10,10,1,554,28,
M. Maglica,Darmstadt 98,13,32,3,14,1,413,30,
L. Wallner,F.C. Hansa Rostock,0,0,0,0,0,0,0,
W. Mikelbrencis,Hamburger SV,38,50,12,6,2,1666,70,
C. Brackelmann,SC Paderborn 07,25,123,25,54,6,1688,89,
F. Gruber,1. FC Nürnberg,8,47,9,24,2,660,35,
B. Bauer,SSV Jahn Regensburg,0,0,0,0,0,1,0,
T. Lasse Scheller,SC Paderborn 07,43,81,14,29,4,2291,107,
V. Becker,FC Schalke 04,0,0,0,0,0,0,0,
MAM. Ayhan,FC Schalke 04,0,0,0,0,0,0,0,
N. Oliveira Kisilowski,SSV Jahn Regensburg,0,0,1,0,0,8,0,
TZT. Zobel,Erzgebirge Aue,0,0,0,0,0,0,0,
EEE. Egouli,Fortuna Düsseldorf,0,0,0,0,0,0,0,
F. Sánchez,FC Schalke 04,8,13,11,12,1,383,27,
TAT. Arnold,Darmstadt 98,0,0,0,0,0,0,0,
N. Seidel,SSV Jahn Regensburg,6,21,5,13,1,415,23,
L. Wurm,SSV Jahn Regensburg,44,100,31,45,4,1777,114,
TTT. Toure,FC Schalke 04,1,0,1,0,0,23,2,
KKK. Krumme,SC Paderborn 07,0,0,0,0,0,1,0,
R. Pinto Pedrosa,Karlsruher SC,13,7,2,4,1,373,33,
J. Pauli,SG Dynamo Dresden,27,38,16,14,4,1213,51,
EPE. Porstner,1. FC Nürnberg,1,0,0,0,0,1,1,
