Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
E. Valentini,1. FC Nürnberg,66,56,12,1,8,2,90,4,
S. Jung,Karlsruher SC,1047,813,135,1,106,3,2712,21,
M. Zimmermann,Fortuna Düsseldorf,1212,1023,69,2,58,3,2221,18,
T. Kalas,FC Schalke 04,699,580,86,1,9,1,1319,6,
M. Halstenberg,Hannover 96,1536,1303,222,2,37,2,2492,15,
M. Franke,Karlsruher SC,1481,1314,202,0,3,0,2587,2,
B. Saller,SSV Jahn Regensburg,132,92,42,0,7,0,332,1,
C. Zimmermann,Darmstadt 98,0,0,0,0,0,0,1,0,
L. Paqarada,1. FC Heidenheim,1511,1206,172,6,258,15,2443,82,
M. Heyer,Fortuna Düsseldorf,523,451,29,0,13,2,1441,5,
J. de Wijs,Fortuna Düsseldorf,52,41,10,0,0,0,103,0,
M. Neubauer,Hannover 96,1506,1198,168,7,197,10,3060,60,
E. Iyoha,Fortuna Düsseldorf,609,486,52,0,42,2,1415,15,
M. Muheim,Hamburger SV,1794,1510,192,11,175,15,2667,71,
R. Ziegele,SSV Jahn Regensburg,487,331,142,0,14,1,1444,5,
A. Donkor,FC Schalke 04,382,301,27,1,32,4,811,11,
C. Kobald,Karlsruher SC,688,573,114,0,6,1,1318,4,
F. Götze,SC Paderborn 07,1759,1584,143,2,6,3,2642,12,
T. Christopher Oberdorf,Fortuna Düsseldorf,1984,1666,275,4,45,4,2961,13,
A. Vukotić,Darmstadt 98,1767,1483,282,2,6,5,2847,7,
R. Schallenberg,FC Schalke 04,1562,1376,161,1,6,1,2630,13,
B. Tomiak,Hannover 96,1253,1081,109,2,15,2,2181,10,
S. López,Darmstadt 98,1153,967,132,3,165,6,2425,49,
P. Pfeiffer,Darmstadt 98,270,237,32,0,2,0,276,0,
M. Hoffmeier,SC Paderborn 07,813,699,114,0,15,0,1385,8,
V. Lunddal,Fortuna Düsseldorf,553,463,48,0,35,1,1331,15,
F. Nürnberger,Darmstadt 98,1151,991,103,1,99,5,2148,39,
LPL. Perrin,Hamburger SV,191,164,23,0,1,0,325,0,
D. Elfadli,Hamburger SV,1558,1452,76,3,6,0,2653,15,
H. Matriciani,FC Schalke 04,0,0,0,0,0,0,0,0,
L. Curda,SC Paderborn 07,831,668,137,0,35,1,1221,6,
M. Beifus,Karlsruher SC,1634,1450,235,0,1,0,2671,2,
D. Herold,Karlsruher SC,800,610,76,1,157,5,2044,29,
O. Schönfelder,SSV Jahn Regensburg,177,125,19,0,12,0,374,5,
E. Uhlmann,Erzgebirge Aue,0,0,0,0,0,0,0,0,
A. Gantenbein,FC Schalke 04,401,323,27,2,26,4,965,16,
K. Schmidt,Fortuna Düsseldorf,0,0,0,0,0,0,0,0,
B. Ezeh,Hannover 96,169,122,12,1,36,1,554,9,
M. Maglica,Darmstadt 98,261,212,48,0,2,0,413,2,
L. Wallner,F.C. Hansa Rostock,0,0,0,0,0,0,0,0,
W. Mikelbrencis,Hamburger SV,817,667,91,2,57,8,1666,22,
C. Brackelmann,SC Paderborn 07,1163,959,217,0,9,0,1688,6,
F. Gruber,1. FC Nürnberg,412,357,37,0,1,0,660,1,
B. Bauer,SSV Jahn Regensburg,2,1,0,0,0,0,1,0,
T. Lasse Scheller,SC Paderborn 07,1385,1230,154,0,10,0,2291,9,
V. Becker,FC Schalke 04,0,0,0,0,0,0,0,0,
MAM. Ayhan,FC Schalke 04,0,0,0,0,0,0,0,0,
N. Oliveira Kisilowski,SSV Jahn Regensburg,10,10,0,0,0,0,8,0,
TZT. Zobel,Erzgebirge Aue,0,0,0,0,0,0,0,0,
EEE. Egouli,Fortuna Düsseldorf,0,0,0,0,0,0,0,0,
F. Sánchez,FC Schalke 04,284,250,41,0,2,0,383,0,
TAT. Arnold,Darmstadt 98,0,0,0,0,0,0,0,0,
N. Seidel,SSV Jahn Regensburg,264,221,34,0,0,0,415,0,
L. Wurm,SSV Jahn Regensburg,663,509,127,0,8,1,1777,6,
TTT. Toure,FC Schalke 04,13,11,2,0,0,0,23,1,
KKK. Krumme,SC Paderborn 07,1,0,0,0,0,0,1,0,
R. Pinto Pedrosa,Karlsruher SC,97,74,11,1,8,0,373,2,
J. Pauli,SG Dynamo Dresden,790,703,57,0,3,1,1213,2,
EPE. Porstner,1. FC Nürnberg,0,0,0,0,0,0,1,0,
