Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
A. Grimaldi,1. FC Nürnberg,29,1093,59,3,57.0,22,8,0.0,,0.0,6,17,1,70,10,100,228,157,6,4,4,21,Forward
H. Nielsen,Hannover 96,31,1399,60,3,39.0,10,2,0.0,,0.0,26,27,3,66,12,121,342,233,9,6,4,18,Forward
A. Voglsammer,F.C. Hansa Rostock,33,958,61,1,27.0,10,3,0.0,,0.0,6,13,2,17,8,30,204,135,10,13,1,13,Forward
B. Zivzivadze,1. FC Heidenheim,17,1463,62,3,56.0,18,12,0.0,,0.0,15,12,8,26,17,88,313,238,14,5,6,16,Forward
K. Karaman,FC Schalke 04,29,2492,63,4,84.0,29,13,0.0,,0.0,13,16,5,54,27,151,760,603,43,7,4,46,Forward
R. Glatzel,Hamburger SV,15,677,64,1,29.0,16,10,0.0,,0.0,6,12,2,13,4,40,120,94,5,1,1,11,Forward
S. Michel,SC Paderborn 07,27,1431,65,2,43.0,9,4,0.0,,0.0,13,20,3,23,13,59,323,216,17,42,7,20,Forward
F. Schleusener,Karlsruher SC,30,2172,66,1,44.0,20,6,0.0,,0.0,18,16,6,34,9,87,377,270,10,28,1,22,Forward
C. Kühlwetter,SSV Jahn Regensburg,31,2357,67,0,49.0,9,3,0.0,,0.0,50,38,25,43,19,154,628,435,113,26,1,20,Forward
V. Vermeij,SG Dynamo Dresden,22,430,68,1,14.0,2,1,0.0,,0.0,4,4,1,29,3,39,116,74,2,2,1,10,Forward
J. Dompé,Hamburger SV,32,2402,69,12,59.0,27,9,0.0,,0.0,11,9,2,1,11,113,808,686,18,184,21,69,Forward
L. Marseiler,Darmstadt 98,32,1429,70,5,20.0,6,3,0.0,,0.0,23,12,9,11,6,108,326,213,27,85,11,37,Forward
