Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
A. Grimaldi,1. FC Nürnberg,3,4,57.0,22,8,1093,0.0,,0.0,
H. Nielsen,Hannover 96,3,4,39.0,10,2,1399,0.0,,0.0,
A. Voglsammer,F.C. Hansa Rostock,1,1,27.0,10,3,958,0.0,,0.0,
B. Zivzivadze,1. FC Heidenheim,3,6,56.0,18,12,1463,0.0,,0.0,
K. Karaman,FC Schalke 04,4,4,84.0,29,13,2492,0.0,,0.0,
R. Glatzel,Hamburger SV,1,1,29.0,16,10,677,0.0,,0.0,
S. Michel,SC Paderborn 07,2,7,43.0,9,4,1431,0.0,,0.0,
F. Schleusener,Karlsruher SC,1,1,44.0,20,6,2172,0.0,,0.0,
C. Kühlwetter,SSV Jahn Regensburg,0,1,49.0,9,3,2357,0.0,,0.0,
V. Vermeij,SG Dynamo Dresden,1,1,14.0,2,1,430,0.0,,0.0,
J. Dompé,Hamburger SV,12,21,59.0,27,9,2402,0.0,,0.0,
L. Marseiler,Darmstadt 98,5,11,20.0,6,3,1429,0.0,,0.0,
I. Lidberg,Darmstadt 98,5,3,63.0,32,14,2229,0.0,,0.0,
S. Tigges,SC Paderborn 07,0,2,9.0,3,0,280,0.0,,0.0,
FDF. Dietz,SSV Jahn Regensburg,0,0,1.0,0,0,51,0.0,,0.0,
B. Jatta,Hamburger SV,1,1,3.0,0,0,421,0.0,,0.0,
M. Kaars,FC St. Pauli,3,3,61.0,32,12,2428,0.0,,0.0,
M. Sylla,FC Schalke 04,0,1,59.0,31,16,2216,0.0,,0.0,
BLB. Lasme,FC Schalke 04,0,0,5.0,2,0,73,0.0,,0.0,
JCJ. Ceka,SG Dynamo Dresden,0,0,,0,0,46,0.0,,0.0,
F. Hornby,Darmstadt 98,2,3,72.0,29,12,1932,0.0,,0.0,
M. Kaufmann,1. FC Heidenheim,1,4,14.0,4,1,834,0.0,,0.0,
C. Joe Conteh,1. FC Heidenheim,1,2,12.0,1,0,421,0.0,,0.0,
F. Bilbija,SC Paderborn 07,7,7,59.0,32,9,2496,0.0,,0.0,
R. Philippe,Hamburger SV,5,8,91.0,40,14,2934,0.0,,0.0,
F. Lakenmacher,Darmstadt 98,4,2,21.0,11,1,880,0.0,,0.0,
R. Yeboah Königsdörffer,Hamburger SV,2,4,66.0,29,14,1691,0.0,,0.0,
M. Ševčík,1. FC Nürnberg,0,0,2.0,1,1,76,0.0,,0.0,
D. Yokota,Hannover 96,2,7,35.0,11,4,1755,0.0,,0.0,
D. Galjen,SSV Jahn Regensburg,0,0,2.0,1,1,191,0.0,,0.0,
D. Downs,Hamburger SV,2,5,56.0,23,9,1726,0.0,,0.0,
E. Højlund,FC Schalke 04,0,0,8.0,1,0,272,0.0,,0.0,
Z. Amoussou-Tchibara,FC Schalke 04,0,0,,0,0,45,0.0,,0.0,
F. Baldé,Hamburger SV,3,5,9.0,4,1,676,0.0,,0.0,
D. Forkel,SSV Jahn Regensburg,0,0,6.0,3,0,221,0.0,,0.0,
P. Remmert,FC Schalke 04,0,0,,0,0,25,0.0,,0.0,
TKT. Kusanovic,1. FC Nürnberg,0,0,,0,0,45,0.0,,0.0,
LCL. Chiumento,1. FC Nürnberg,0,0,,0,0,1,0.0,,0.0,
