Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
A. Grimaldi,1. FC Nürnberg,29,8,1093,0,0,
H. Nielsen,Hannover 96,31,2,1399,0,0,
A. Voglsammer,F.C. Hansa Rostock,33,3,958,0,0,
B. Zivzivadze,1. FC Heidenheim,17,12,1463,0,0,
K. Karaman,FC Schalke 04,29,13,2492,0,0,
R. Glatzel,Hamburger SV,15,10,677,0,0,
S. Michel,SC Paderborn 07,27,4,1431,0,0,
F. Schleusener,Karlsruher SC,30,6,2172,0,0,
C. Kühlwetter,SSV Jahn Regensburg,31,3,2357,0,0,
V. Vermeij,SG Dynamo Dresden,22,1,430,0,0,
J. Dompé,Hamburger SV,32,9,2402,0,0,
L. Marseiler,Darmstadt 98,32,3,1429,0,0,
I. Lidberg,Darmstadt 98,28,14,2229,0,0,
S. Tigges,SC Paderborn 07,24,0,280,0,0,
FDF. Dietz,SSV Jahn Regensburg,5,0,51,0,0,
B. Jatta,Hamburger SV,14,0,421,0,0,
M. Kaars,FC St. Pauli,27,12,2428,0,0,
M. Sylla,FC Schalke 04,27,16,2216,0,0,
BLB. Lasme,FC Schalke 04,7,0,73,0,0,
JCJ. Ceka,SG Dynamo Dresden,6,0,46,0,0,
F. Hornby,Darmstadt 98,30,12,1932,0,0,
M. Kaufmann,1. FC Heidenheim,15,1,834,0,0,
C. Joe Conteh,1. FC Heidenheim,17,0,421,0,0,
F. Bilbija,SC Paderborn 07,32,9,2496,0,0,
R. Philippe,Hamburger SV,35,14,2934,0,0,
F. Lakenmacher,Darmstadt 98,34,1,880,0,0,
R. Yeboah Königsdörffer,Hamburger SV,32,14,1691,0,0,
M. Ševčík,1. FC Nürnberg,10,1,76,0,0,
D. Yokota,Hannover 96,26,4,1755,0,0,
D. Galjen,SSV Jahn Regensburg,14,1,191,0,0,
D. Downs,Hamburger SV,29,9,1726,0,0,
E. Højlund,FC Schalke 04,11,0,272,0,0,
Z. Amoussou-Tchibara,FC Schalke 04,2,0,45,0,0,
F. Baldé,Hamburger SV,25,1,676,0,0,
D. Forkel,SSV Jahn Regensburg,11,0,221,0,0,
P. Remmert,FC Schalke 04,8,0,25,0,0,
TKT. Kusanovic,1. FC Nürnberg,1,0,45,0,0,
LCL. Chiumento,1. FC Nürnberg,1,0,1,0,0,
