Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
A. Grimaldi,1. FC Nürnberg,6,17,1,70,10,1093,100,
H. Nielsen,Hannover 96,26,27,3,66,12,1399,121,
A. Voglsammer,F.C. Hansa Rostock,6,13,2,17,8,958,30,
B. Zivzivadze,1. FC Heidenheim,15,12,8,26,17,1463,88,
K. Karaman,FC Schalke 04,13,16,5,54,27,2492,151,
R. Glatzel,Hamburger SV,6,12,2,13,4,677,40,
S. Michel,SC Paderborn 07,13,20,3,23,13,1431,59,
F. Schleusener,Karlsruher SC,18,16,6,34,9,2172,87,
C. Kühlwetter,SSV Jahn Regensburg,50,38,25,43,19,2357,154,
V. Vermeij,SG Dynamo Dresden,4,4,1,29,3,430,39,
J. Dompé,Hamburger SV,11,9,2,1,11,2402,113,
L. Marseiler,Darmstadt 98,23,12,9,11,6,1429,108,
I. Lidberg,Darmstadt 98,9,8,3,54,10,2229,109,
S. Tigges,SC Paderborn 07,3,9,0,30,2,280,35,
FDF. Dietz,SSV Jahn Regensburg,0,0,0,1,1,51,2,
B. Jatta,Hamburger SV,15,6,3,8,1,421,32,
M. Kaars,FC St. Pauli,8,12,6,15,10,2428,37,
M. Sylla,FC Schalke 04,10,7,3,47,10,2216,83,
BLB. Lasme,FC Schalke 04,0,0,0,4,1,73,7,
JCJ. Ceka,SG Dynamo Dresden,0,0,0,0,0,46,3,
F. Hornby,Darmstadt 98,15,31,4,64,18,1932,117,
M. Kaufmann,1. FC Heidenheim,7,7,2,32,1,834,68,
C. Joe Conteh,1. FC Heidenheim,5,6,5,1,4,421,22,
F. Bilbija,SC Paderborn 07,37,18,16,32,9,2496,138,
R. Philippe,Hamburger SV,18,12,7,17,23,2934,104,
F. Lakenmacher,Darmstadt 98,10,8,1,26,3,880,57,
R. Yeboah Königsdörffer,Hamburger SV,6,23,7,31,19,1691,74,
M. Ševčík,1. FC Nürnberg,2,1,0,0,1,76,3,
D. Yokota,Hannover 96,26,7,9,4,13,1755,124,
D. Galjen,SSV Jahn Regensburg,6,4,0,3,1,191,11,
D. Downs,Hamburger SV,9,8,2,34,13,1726,57,
E. Højlund,FC Schalke 04,4,1,1,13,1,272,24,
Z. Amoussou-Tchibara,FC Schalke 04,0,0,0,0,0,45,1,
F. Baldé,Hamburger SV,11,12,2,8,2,676,33,
D. Forkel,SSV Jahn Regensburg,7,5,0,4,1,221,14,
P. Remmert,FC Schalke 04,0,0,0,2,0,25,3,
TKT. Kusanovic,1. FC Nürnberg,0,0,0,0,0,45,2,
LCL. Chiumento,1. FC Nürnberg,0,0,0,0,0,1,0,
