Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
A. Grimaldi,1. FC Nürnberg,228,157,6,3,4,4,1093,21,
H. Nielsen,Hannover 96,342,233,9,3,6,4,1399,18,
A. Voglsammer,F.C. Hansa Rostock,204,135,10,1,13,1,958,13,
B. Zivzivadze,1. FC Heidenheim,313,238,14,3,5,6,1463,16,
K. Karaman,FC Schalke 04,760,603,43,4,7,4,2492,46,
R. Glatzel,Hamburger SV,120,94,5,1,1,1,677,11,
S. Michel,SC Paderborn 07,323,216,17,2,42,7,1431,20,
F. Schleusener,Karlsruher SC,377,270,10,1,28,1,2172,22,
C. Kühlwetter,SSV Jahn Regensburg,628,435,113,0,26,1,2357,20,
V. Vermeij,SG Dynamo Dresden,116,74,2,1,2,1,430,10,
J. Dompé,Hamburger SV,808,686,18,12,184,21,2402,69,
L. Marseiler,Darmstadt 98,326,213,27,5,85,11,1429,37,
I. Lidberg,Darmstadt 98,414,296,10,5,19,3,2229,23,
S. Tigges,SC Paderborn 07,77,50,3,0,3,2,280,5,
FDF. Dietz,SSV Jahn Regensburg,7,7,0,0,0,0,51,0,
B. Jatta,Hamburger SV,153,112,4,1,8,1,421,5,
M. Kaars,FC St. Pauli,361,296,11,3,13,3,2428,20,
M. Sylla,FC Schalke 04,380,281,18,0,22,1,2216,21,
BLB. Lasme,FC Schalke 04,14,7,1,0,1,0,73,1,
JCJ. Ceka,SG Dynamo Dresden,16,11,1,0,0,0,46,0,
F. Hornby,Darmstadt 98,511,382,45,2,14,3,1932,26,
M. Kaufmann,1. FC Heidenheim,196,122,21,1,10,4,834,13,
C. Joe Conteh,1. FC Heidenheim,125,79,12,1,7,2,421,11,
F. Bilbija,SC Paderborn 07,552,451,17,7,20,7,2496,27,
R. Philippe,Hamburger SV,576,405,28,5,112,8,2934,64,
F. Lakenmacher,Darmstadt 98,253,178,11,4,5,2,880,15,
R. Yeboah Königsdörffer,Hamburger SV,368,287,17,2,21,4,1691,17,
M. Ševčík,1. FC Nürnberg,25,15,7,0,0,0,76,0,
D. Yokota,Hannover 96,675,543,36,2,32,7,1755,42,
D. Galjen,SSV Jahn Regensburg,38,26,0,0,0,0,191,0,
D. Downs,Hamburger SV,206,144,4,2,8,5,1726,14,
E. Højlund,FC Schalke 04,86,55,1,0,2,0,272,1,
Z. Amoussou-Tchibara,FC Schalke 04,5,4,0,0,0,0,45,0,
F. Baldé,Hamburger SV,167,137,11,3,30,5,676,15,
D. Forkel,SSV Jahn Regensburg,29,17,1,0,2,0,221,2,
P. Remmert,FC Schalke 04,4,2,0,0,0,0,25,0,
TKT. Kusanovic,1. FC Nürnberg,11,9,0,0,0,0,45,0,
LCL. Chiumento,1. FC Nürnberg,0,0,0,0,0,0,1,0,
