Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
M. Langer,FC Schalke 04,11,0,97,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Mickel,Hamburger SV,18,0,98,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Himmelmann,Karlsruher SC,32,0,99,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Heuer Fernandes,Hamburger SV,31,2790,100,0,,0,0,0.0,,0.0,0,28,1,6,0,10,1351,1157,351,0,0,1,77,Goalkeeper
M. Schuhen,Darmstadt 98,34,3051,101,0,,0,0,0.0,,0.0,1,23,1,3,0,6,1098,836,478,0,0,0,103,Goalkeeper
C. Mathenia,1. FC Nürnberg,30,90,102,0,,0,0,0.0,,0.0,0,1,0,0,0,1,56,50,10,0,0,0,1,Goalkeeper
L. Karius,FC Schalke 04,7,315,103,0,,0,0,0.0,,0.0,0,8,0,1,0,2,122,70,77,0,0,0,16,Goalkeeper
A. Brunst,Darmstadt 98,19,0,104,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
J. Pollersbeck,SSV Jahn Regensburg,29,900,105,0,,0,0,0.0,,0.0,0,5,0,4,0,5,327,175,250,0,0,0,37,Goalkeeper
SKS. Kroll,Darmstadt 98,4,0,106,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Schubert,SC Paderborn 07,33,1052,107,0,,0,0,0.0,,0.0,0,14,0,1,0,1,345,253,147,0,0,0,29,Goalkeeper
F. Kastenmeier,Fortuna Düsseldorf,34,3051,108,0,,0,0,0.0,,0.0,0,44,0,14,0,19,1550,1217,644,0,1,4,127,Goalkeeper
L. Weinkauf,Hannover 96,32,0,109,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
L. Grill,SG Dynamo Dresden,32,959,110,0,,0,0,0.0,,0.0,0,11,1,3,0,3,361,219,203,0,0,0,25,Goalkeeper
A. Weidinger,SSV Jahn Regensburg,4,0,111,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
F. Gebhardt,SSV Jahn Regensburg,33,2150,112,0,,0,0,0.0,,0.0,0,24,0,5,0,6,788,526,444,0,0,0,68,Goalkeeper
F. Schock,Fortuna Düsseldorf,17,0,113,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
J. Reichert,1. FC Nürnberg,32,2790,114,0,,0,0,0.0,,0.0,0,33,0,15,0,15,1027,827,356,0,0,0,99,Goalkeeper
H. Hermann,Hamburger SV,2,0,115,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
F. Yusufu,FC Schalke 04,1,0,116,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
L. Podlech,FC Schalke 04,1,0,117,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
AKA. Koch,Karlsruher SC,1,0,118,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
