Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
M. Langer,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
T. Mickel,Hamburger SV,0,0,,0,0,0,0.0,,0.0,
R. Himmelmann,Karlsruher SC,0,0,,0,0,0,0.0,,0.0,
D. Heuer Fernandes,Hamburger SV,0,0,,0,0,2790,0.0,,0.0,
M. Schuhen,Darmstadt 98,0,0,,0,0,3051,0.0,,0.0,
C. Mathenia,1. FC Nürnberg,0,0,,0,0,90,0.0,,0.0,
L. Karius,FC Schalke 04,0,0,,0,0,315,0.0,,0.0,
A. Brunst,Darmstadt 98,0,0,,0,0,0,0.0,,0.0,
J. Pollersbeck,SSV Jahn Regensburg,0,0,,0,0,900,0.0,,0.0,
SKS. Kroll,Darmstadt 98,0,0,,0,0,0,0.0,,0.0,
M. Schubert,SC Paderborn 07,0,0,,0,0,1052,0.0,,0.0,
F. Kastenmeier,Fortuna Düsseldorf,0,1,,0,0,3051,0.0,,0.0,
L. Weinkauf,Hannover 96,0,0,,0,0,0,0.0,,0.0,
L. Grill,SG Dynamo Dresden,0,0,,0,0,959,0.0,,0.0,
A. Weidinger,SSV Jahn Regensburg,0,0,,0,0,0,0.0,,0.0,
F. Gebhardt,SSV Jahn Regensburg,0,0,,0,0,2150,0.0,,0.0,
F. Schock,Fortuna Düsseldorf,0,0,,0,0,0,0.0,,0.0,
J. Reichert,1. FC Nürnberg,0,0,,0,0,2790,0.0,,0.0,
H. Hermann,Hamburger SV,0,0,,0,0,0,0.0,,0.0,
F. Yusufu,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
L. Podlech,FC Schalke 04,0,0,,0,0,0,0.0,,0.0,
AKA. Koch,Karlsruher SC,0,0,,0,0,0,0.0,,0.0,
