Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
M. Langer,FC Schalke 04,11,0,0,0,0,
T. Mickel,Hamburger SV,18,0,0,0,0,
R. Himmelmann,Karlsruher SC,32,0,0,0,0,
D. Heuer Fernandes,Hamburger SV,31,0,2790,0,0,
M. Schuhen,Darmstadt 98,34,0,3051,0,0,
C. Mathenia,1. FC Nürnberg,30,0,90,0,0,
L. Karius,FC Schalke 04,7,0,315,0,0,
A. Brunst,Darmstadt 98,19,0,0,0,0,
J. Pollersbeck,SSV Jahn Regensburg,29,0,900,0,0,
SKS. Kroll,Darmstadt 98,4,0,0,0,0,
M. Schubert,SC Paderborn 07,33,0,1052,0,0,
F. Kastenmeier,Fortuna Düsseldorf,34,0,3051,0,0,
L. Weinkauf,Hannover 96,32,0,0,0,0,
L. Grill,SG Dynamo Dresden,32,0,959,0,0,
A. Weidinger,SSV Jahn Regensburg,4,0,0,0,0,
F. Gebhardt,SSV Jahn Regensburg,33,0,2150,0,0,
F. Schock,Fortuna Düsseldorf,17,0,0,0,0,
J. Reichert,1. FC Nürnberg,32,0,2790,0,0,
H. Hermann,Hamburger SV,2,0,0,0,0,
F. Yusufu,FC Schalke 04,1,0,0,0,0,
L. Podlech,FC Schalke 04,1,0,0,0,0,
AKA. Koch,Karlsruher SC,1,0,0,0,0,
