Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
M. Langer,FC Schalke 04,0,0,0,0,0,0,0,
T. Mickel,Hamburger SV,0,0,0,0,0,0,0,
R. Himmelmann,Karlsruher SC,0,0,0,0,0,0,0,
D. Heuer Fernandes,Hamburger SV,0,28,1,6,0,2790,10,
M. Schuhen,Darmstadt 98,1,23,1,3,0,3051,6,
C. Mathenia,1. FC Nürnberg,0,1,0,0,0,90,1,
L. Karius,FC Schalke 04,0,8,0,1,0,315,2,
A. Brunst,Darmstadt 98,0,0,0,0,0,0,0,
J. Pollersbeck,SSV Jahn Regensburg,0,5,0,4,0,900,5,
SKS. Kroll,Darmstadt 98,0,0,0,0,0,0,0,
M. Schubert,SC Paderborn 07,0,14,0,1,0,1052,1,
F. Kastenmeier,Fortuna Düsseldorf,0,44,0,14,0,3051,19,
L. Weinkauf,Hannover 96,0,0,0,0,0,0,0,
L. Grill,SG Dynamo Dresden,0,11,1,3,0,959,3,
A. Weidinger,SSV Jahn Regensburg,0,0,0,0,0,0,0,
F. Gebhardt,SSV Jahn Regensburg,0,24,0,5,0,2150,6,
F. Schock,Fortuna Düsseldorf,0,0,0,0,0,0,0,
J. Reichert,1. FC Nürnberg,0,33,0,15,0,2790,15,
H. Hermann,Hamburger SV,0,0,0,0,0,0,0,
F. Yusufu,FC Schalke 04,0,0,0,0,0,0,0,
L. Podlech,FC Schalke 04,0,0,0,0,0,0,0,
AKA. Koch,Karlsruher SC,0,0,0,0,0,0,0,
