Name,Team,Mins,Saves,Unnamed: 3
M. Langer,FC Schalke 04,0,0,
T. Mickel,Hamburger SV,0,0,
R. Himmelmann,Karlsruher SC,0,0,
D. Heuer Fernandes,Hamburger SV,2790,77,
M. Schuhen,Darmstadt 98,3051,103,
C. Mathenia,1. FC Nürnberg,90,1,
L. Karius,FC Schalke 04,315,16,
A. Brunst,Darmstadt 98,0,0,
J. Pollersbeck,SSV Jahn Regensburg,900,37,
SKS. Kroll,Darmstadt 98,0,0,
M. Schubert,SC Paderborn 07,1052,29,
F. Kastenmeier,Fortuna Düsseldorf,3051,127,
L. Weinkauf,Hannover 96,0,0,
L. Grill,SG Dynamo Dresden,959,25,
A. Weidinger,SSV Jahn Regensburg,0,0,
F. Gebhardt,SSV Jahn Regensburg,2150,68,
F. Schock,Fortuna Düsseldorf,0,0,
J. Reichert,1. FC Nürnberg,2790,99,
H. Hermann,Hamburger SV,0,0,
F. Yusufu,FC Schalke 04,0,0,
L. Podlech,FC Schalke 04,0,0,
AKA. Koch,Karlsruher SC,0,0,
