Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
D. Soares,1. FC Nürnberg,31,1514,119,2,15.0,1,1,0.0,,0.0,51,31,26,13,7,89,759,604,83,33,5,16,Midfielder
A. Geipl,SSV Jahn Regensburg,31,1744,120,0,13.0,2,0,0.0,,0.0,39,30,31,15,4,72,556,412,91,77,1,24,Midfielder
R. Krausse,SV Sandhausen,31,1860,121,0,21.0,3,0,0.0,,0.0,48,38,16,28,4,106,657,511,88,7,1,10,Midfielder
J. Meffert,Holstein Kiel,29,2375,122,2,8.0,0,0,0.0,,0.0,60,58,25,31,4,112,1419,1310,51,3,2,9,Midfielder
JGJ. Günther-Schmidt,Erzgebirge Aue,2,0,123,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
D. Kinsombi,SC Paderborn 07,32,1062,124,1,25.0,7,2,0.0,,0.0,17,7,3,9,8,51,249,190,10,11,2,9,Midfielder
P. Förster,Karlsruher SC,22,1456,125,1,25.0,8,4,0.0,,0.0,28,3,14,3,9,59,639,546,19,30,2,26,Midfielder
M. Wanitzek,Karlsruher SC,34,3060,126,11,93.0,34,13,0.0,,0.0,61,44,14,57,25,186,1435,1117,168,228,17,79,Midfielder
J. Bachmann,FC Schalke 04,25,1646,127,1,18.0,6,3,0.0,,0.0,29,39,8,67,4,108,574,435,30,5,2,8,Midfielder
N. Rapp,Karlsruher SC,29,2157,128,1,16.0,5,1,0.0,,0.0,49,59,34,45,3,120,1017,840,156,3,2,8,Midfielder
M. Bader,Darmstadt 98,4,274,129,0,2.0,1,0,0.0,,0.0,5,1,3,0,1,12,84,68,9,8,0,4,Midfielder
R. Obermair,SC Paderborn 07,33,2860,130,6,47.0,17,5,0.0,,0.0,46,52,34,23,15,104,1243,1010,133,228,12,69,Midfielder
