Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
D. Soares,1. FC Nürnberg,2,5,15.0,1,1,1514,0.0,,0.0,
A. Geipl,SSV Jahn Regensburg,0,1,13.0,2,0,1744,0.0,,0.0,
R. Krausse,SV Sandhausen,0,1,21.0,3,0,1860,0.0,,0.0,
J. Meffert,Holstein Kiel,2,2,8.0,0,0,2375,0.0,,0.0,
JGJ. Günther-Schmidt,Erzgebirge Aue,0,0,,0,0,0,0.0,,0.0,
D. Kinsombi,SC Paderborn 07,1,2,25.0,7,2,1062,0.0,,0.0,
P. Förster,Karlsruher SC,1,2,25.0,8,4,1456,0.0,,0.0,
M. Wanitzek,Karlsruher SC,11,17,93.0,34,13,3060,0.0,,0.0,
J. Bachmann,FC Schalke 04,1,2,18.0,6,3,1646,0.0,,0.0,
N. Rapp,Karlsruher SC,1,2,16.0,5,1,2157,0.0,,0.0,
M. Bader,Darmstadt 98,0,0,2.0,1,0,274,0.0,,0.0,
R. Obermair,SC Paderborn 07,6,12,47.0,17,5,2860,0.0,,0.0,
J. Justvan,1. FC Nürnberg,11,9,56.0,22,7,2640,0.0,,0.0,
C. Antwi-Adjei,FC Schalke 04,2,3,17.0,4,1,958,0.0,,0.0,
D. Burnić,Karlsruher SC,2,2,34.0,9,2,2277,0.0,,0.0,
S. Klaas,SC Paderborn 07,0,2,20.0,6,2,823,0.0,,0.0,
L. Herrmann,SG Dynamo Dresden,0,2,9.0,3,0,457,0.0,,0.0,
K. Klefisch,Darmstadt 98,1,1,27.0,4,2,1797,0.0,,0.0,
N. Katterbach,Hamburger SV,1,0,7.0,2,1,549,0.0,,0.0,
M. Papela,Darmstadt 98,0,0,13.0,2,1,1267,0.0,,0.0,
A. Suhonen,Hamburger SV,1,1,10.0,4,0,611,0.0,,0.0,
S. Karl Appelkamp,Fortuna Düsseldorf,7,7,15.0,7,1,1558,0.0,,0.0,
B. Hein,SSV Jahn Regensburg,3,3,16.0,1,0,2066,0.0,,0.0,
L. Egloff,Karlsruher SC,0,1,10.0,3,2,416,0.0,,0.0,
E. Leopold,Hannover 96,5,9,32.0,8,2,2875,0.0,,0.0,
T. Breithaupt,Fortuna Düsseldorf,0,0,2.0,0,0,800,0.0,,0.0,
B. Allgeier,Hannover 96,2,2,1.0,0,0,1758,0.0,,0.0,
A. Müller,Karlsruher SC,0,3,17.0,8,2,2536,0.0,,0.0,
M. Hansen,SC Paderborn 07,1,2,4.0,2,0,576,0.0,,0.0,
P. Stock,F.C. Hansa Rostock,3,0,4.0,0,0,309,0.0,,0.0,
D. Pfaffenroth,SV Sandhausen,0,0,,0,0,20,0.0,,0.0,
K. Corredor,Darmstadt 98,6,8,84.0,33,8,2581,0.0,,0.0,
K. Oudenne,Hannover 96,0,1,5.0,0,0,460,0.0,,0.0,
T. Rossmann,Fortuna Düsseldorf,1,3,22.0,6,2,1027,0.0,,0.0,
M. Baur,SC Paderborn 07,0,0,,0,0,186,0.0,,0.0,
A. Eren Ersungur,Karlsruher SC,0,0,2.0,0,0,54,0.0,,0.0,
B. Yılmaz,1. FC Nürnberg,0,2,11.0,4,0,1382,0.0,,0.0,
S. Castaneda,SC Paderborn 07,1,2,17.0,3,0,2227,0.0,,0.0,
HAH. Anhari,Fortuna Düsseldorf,0,0,,0,0,2,0.0,,0.0,
R. Lubach,1. FC Nürnberg,1,2,15.0,5,1,1323,0.0,,0.0,
P. Muller,SSV Jahn Regensburg,1,1,10.0,3,1,473,0.0,,0.0,
N. Baier,Darmstadt 98,0,0,,0,0,0,0.0,,0.0,
N. Aséko,Hannover 96,0,0,,0,0,22,0.0,,0.0,
K. Affo,Fortuna Düsseldorf,0,0,,0,0,8,0.0,,0.0,
TJT. Janisch,1. FC Nürnberg,0,2,3.0,0,0,1112,0.0,,0.0,
M. Grüger,FC Schalke 04,0,1,16.0,4,1,1409,0.0,,0.0,
H. Chakroun,Hannover 96,0,0,,0,0,13,0.0,,0.0,
S. Suso,Fortuna Düsseldorf,0,1,,0,0,1,0.0,,0.0,
L. Ben Farhat,Karlsruher SC,0,3,14.0,8,3,452,0.0,,0.0,
M. Kritzer,Karlsruher SC,0,0,,0,0,0,0.0,,0.0,
A. Røssing-Lelesiit,Hamburger SV,0,0,,0,0,9,0.0,,0.0,
