Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
D. Soares,1. FC Nürnberg,31,1,1514,0,0,
A. Geipl,SSV Jahn Regensburg,31,0,1744,0,0,
R. Krausse,SV Sandhausen,31,0,1860,0,0,
J. Meffert,Holstein Kiel,29,0,2375,0,0,
JGJ. Günther-Schmidt,Erzgebirge Aue,2,0,0,0,0,
D. Kinsombi,SC Paderborn 07,32,2,1062,0,0,
P. Förster,Karlsruher SC,22,4,1456,0,0,
M. Wanitzek,Karlsruher SC,34,13,3060,0,0,
J. Bachmann,FC Schalke 04,25,3,1646,0,0,
N. Rapp,Karlsruher SC,29,1,2157,0,0,
M. Bader,Darmstadt 98,4,0,274,0,0,
R. Obermair,SC Paderborn 07,33,5,2860,0,0,
J. Justvan,1. FC Nürnberg,31,7,2640,0,0,
C. Antwi-Adjei,FC Schalke 04,23,1,958,0,0,
D. Burnić,Karlsruher SC,31,2,2277,0,0,
S. Klaas,SC Paderborn 07,20,2,823,0,0,
L. Herrmann,SG Dynamo Dresden,33,0,457,0,0,
K. Klefisch,Darmstadt 98,24,2,1797,0,0,
N. Katterbach,Hamburger SV,16,1,549,0,0,
M. Papela,Darmstadt 98,33,1,1267,0,0,
A. Suhonen,Hamburger SV,17,0,611,0,0,
S. Karl Appelkamp,Fortuna Düsseldorf,30,1,1558,0,0,
B. Hein,SSV Jahn Regensburg,33,0,2066,0,0,
L. Egloff,Karlsruher SC,26,2,416,0,0,
E. Leopold,Hannover 96,33,2,2875,0,0,
T. Breithaupt,Fortuna Düsseldorf,13,0,800,0,0,
B. Allgeier,Hannover 96,32,0,1758,0,0,
A. Müller,Karlsruher SC,33,2,2536,0,0,
M. Hansen,SC Paderborn 07,18,0,576,0,0,
P. Stock,F.C. Hansa Rostock,32,0,309,0,0,
D. Pfaffenroth,SV Sandhausen,5,0,20,0,0,
K. Corredor,Darmstadt 98,32,8,2581,0,0,
K. Oudenne,Hannover 96,22,0,460,0,0,
T. Rossmann,Fortuna Düsseldorf,18,2,1027,0,0,
M. Baur,SC Paderborn 07,15,0,186,0,0,
A. Eren Ersungur,Karlsruher SC,6,0,54,0,0,
B. Yılmaz,1. FC Nürnberg,28,0,1382,0,0,
S. Castaneda,SC Paderborn 07,31,0,2227,0,0,
HAH. Anhari,Fortuna Düsseldorf,5,0,2,0,0,
R. Lubach,1. FC Nürnberg,30,1,1323,0,0,
P. Muller,SSV Jahn Regensburg,25,1,473,0,0,
N. Baier,Darmstadt 98,2,0,0,0,0,
N. Aséko,Hannover 96,5,0,22,0,0,
K. Affo,Fortuna Düsseldorf,11,0,8,0,0,
TJT. Janisch,1. FC Nürnberg,20,0,1112,0,0,
M. Grüger,FC Schalke 04,31,1,1409,0,0,
H. Chakroun,Hannover 96,8,0,13,0,0,
S. Suso,Fortuna Düsseldorf,4,0,1,0,0,
L. Ben Farhat,Karlsruher SC,14,3,452,0,0,
M. Kritzer,Karlsruher SC,1,0,0,0,0,
A. Røssing-Lelesiit,Hamburger SV,4,0,9,0,0,
