Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
D. Soares,1. FC Nürnberg,759,604,83,2,33,5,1514,16,
A. Geipl,SSV Jahn Regensburg,556,412,91,0,77,1,1744,24,
R. Krausse,SV Sandhausen,657,511,88,0,7,1,1860,10,
J. Meffert,Holstein Kiel,1419,1310,51,2,3,2,2375,9,
JGJ. Günther-Schmidt,Erzgebirge Aue,0,0,0,0,0,0,0,0,
D. Kinsombi,SC Paderborn 07,249,190,10,1,11,2,1062,9,
P. Förster,Karlsruher SC,639,546,19,1,30,2,1456,26,
M. Wanitzek,Karlsruher SC,1435,1117,168,11,228,17,3060,79,
J. Bachmann,FC Schalke 04,574,435,30,1,5,2,1646,8,
N. Rapp,Karlsruher SC,1017,840,156,1,3,2,2157,8,
M. Bader,Darmstadt 98,84,68,9,0,8,0,274,4,
R. Obermair,SC Paderborn 07,1243,1010,133,6,228,12,2860,69,
J. Justvan,1. FC Nürnberg,962,744,55,11,128,9,2640,67,
C. Antwi-Adjei,FC Schalke 04,257,199,12,2,39,3,958,15,
D. Burnić,Karlsruher SC,812,651,90,2,18,2,2277,22,
S. Klaas,SC Paderborn 07,365,285,18,0,7,2,823,9,
L. Herrmann,SG Dynamo Dresden,151,114,15,0,10,2,457,4,
K. Klefisch,Darmstadt 98,1256,1125,108,1,14,1,1797,24,
N. Katterbach,Hamburger SV,177,134,27,1,13,0,549,2,
M. Papela,Darmstadt 98,566,492,30,0,8,0,1267,8,
A. Suhonen,Hamburger SV,232,179,22,1,10,1,611,6,
S. Karl Appelkamp,Fortuna Düsseldorf,707,610,34,7,80,7,1558,30,
B. Hein,SSV Jahn Regensburg,451,276,84,3,55,3,2066,19,
L. Egloff,Karlsruher SC,121,89,17,0,6,1,416,7,
E. Leopold,Hannover 96,1571,1377,107,5,188,9,2875,73,
T. Breithaupt,Fortuna Düsseldorf,433,358,31,0,2,0,800,7,
B. Allgeier,Hannover 96,612,441,93,2,43,2,1758,20,
A. Müller,Karlsruher SC,1443,1214,177,0,10,3,2536,20,
M. Hansen,SC Paderborn 07,328,293,19,1,2,2,576,7,
P. Stock,F.C. Hansa Rostock,121,87,9,3,6,0,309,6,
D. Pfaffenroth,SV Sandhausen,3,2,0,0,0,0,20,0,
K. Corredor,Darmstadt 98,762,604,45,6,36,8,2581,38,
K. Oudenne,Hannover 96,132,97,12,0,7,1,460,6,
T. Rossmann,Fortuna Düsseldorf,380,328,13,1,47,3,1027,12,
M. Baur,SC Paderborn 07,44,37,4,0,0,0,186,1,
A. Eren Ersungur,Karlsruher SC,18,15,2,0,1,0,54,1,
B. Yılmaz,1. FC Nürnberg,726,599,48,0,30,2,1382,21,
S. Castaneda,SC Paderborn 07,1093,943,79,1,4,2,2227,19,
HAH. Anhari,Fortuna Düsseldorf,5,5,0,0,0,0,2,0,
R. Lubach,1. FC Nürnberg,519,448,22,1,12,2,1323,10,
P. Muller,SSV Jahn Regensburg,198,156,18,1,0,1,473,5,
N. Baier,Darmstadt 98,0,0,0,0,0,0,0,0,
N. Aséko,Hannover 96,2,2,0,0,0,0,22,0,
K. Affo,Fortuna Düsseldorf,2,1,1,0,1,0,8,0,
TJT. Janisch,1. FC Nürnberg,536,434,50,0,5,2,1112,4,
M. Grüger,FC Schalke 04,769,669,78,0,18,1,1409,13,
H. Chakroun,Hannover 96,2,0,1,0,0,0,13,0,
S. Suso,Fortuna Düsseldorf,4,4,0,0,0,1,1,1,
L. Ben Farhat,Karlsruher SC,66,45,3,0,1,3,452,6,
M. Kritzer,Karlsruher SC,0,0,0,0,0,0,0,0,
A. Røssing-Lelesiit,Hamburger SV,2,2,0,0,0,0,9,0,
