Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
K. Vogt,VfL Bochum 1848,22,1280,170,0,1.0,1,1,0.7884,,0.2359,10,66,8,12,0,32,809,710,120,0,0,2,Defender
D. da Costa,1. FSV Mainz 05,32,2011,171,1,5.0,1,0,0.0987,0.099,1.2573,42,94,27,33,2,87,1142,905,204,22,1,10,Defender
A. Jung,SC Freiburg,33,1905,172,0,1.0,0,0,0.0411,0.041,0.4531,33,74,25,34,0,89,1492,1339,108,4,0,2,Defender
S. Bell,1. FSV Mainz 05,23,1438,173,1,12.0,4,0,0.7696,0.771,0.6541,22,107,28,84,3,117,713,564,135,0,1,5,Defender
C. Gamboa,VfL Bochum 1848,30,230,174,0,4.0,1,1,0.1615,0.161,0.3356,8,8,2,0,1,11,99,62,24,7,0,3,Defender
W. Orbán,RB Leipzig,26,2224,175,0,22.0,7,5,4.0003,3.997,0.6578,38,167,21,104,3,159,1732,1525,148,5,1,8,Defender
C. Günter,SC Freiburg,34,2323,176,2,21.0,6,2,0.7765,0.776,4.1941,23,45,8,7,6,37,824,648,93,121,5,28,Defender
M. Ginter,SC Freiburg,33,2565,177,1,24.0,4,2,2.8105,2.811,1.4865,30,140,19,98,4,158,1496,1249,213,13,2,9,Defender
L. Kübler,SC Freiburg,31,1849,178,1,18.0,11,5,2.7281,2.729,1.0482,40,58,53,44,2,105,838,664,90,30,1,11,Defender
J. Gouweleeuw,FC Augsburg,33,2945,179,4,18.0,5,1,1.7069,0.927,2.9295,50,183,35,63,2,132,1671,1397,271,17,4,14,Defender
D. Kohr,1. FSV Mainz 05,28,2303,180,0,13.0,5,2,1.5821,1.818,1.6818,62,121,42,39,1,141,1310,1077,215,16,0,12,Defender
N. Süle,Borussia Dortmund,21,1059,181,0,9.0,2,0,0.6279,0.63,0.3495,14,45,4,12,2,31,927,862,60,1,0,3,Defender
K. Akpoguma,TSG Hoffenheim,34,2221,182,0,5.0,1,0,0.1009,0.101,0.6047,54,108,29,48,2,133,1339,1181,142,12,0,7,Defender
