Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
K. Vogt,VfL Bochum 1848,0,0,1.0,1,1,1280,0.7884,,0.2359,
D. da Costa,1. FSV Mainz 05,1,1,5.0,1,0,2011,0.0987,0.099,1.2573,
A. Jung,SC Freiburg,0,0,1.0,0,0,1905,0.0411,0.041,0.4531,
S. Bell,1. FSV Mainz 05,1,1,12.0,4,0,1438,0.7696,0.771,0.6541,
C. Gamboa,VfL Bochum 1848,0,0,4.0,1,1,230,0.1615,0.161,0.3356,
W. Orbán,RB Leipzig,0,1,22.0,7,5,2224,4.0003,3.997,0.6578,
C. Günter,SC Freiburg,2,5,21.0,6,2,2323,0.7765,0.776,4.1941,
M. Ginter,SC Freiburg,1,2,24.0,4,2,2565,2.8105,2.811,1.4865,
L. Kübler,SC Freiburg,1,1,18.0,11,5,1849,2.7281,2.729,1.0482,
J. Gouweleeuw,FC Augsburg,4,4,18.0,5,1,2945,1.7069,0.927,2.9295,
D. Kohr,1. FSV Mainz 05,0,0,13.0,5,2,2303,1.5821,1.818,1.6818,
N. Süle,Borussia Dortmund,0,0,9.0,2,0,1059,0.6279,0.63,0.3495,
K. Akpoguma,TSG Hoffenheim,0,0,5.0,1,0,2221,0.1009,0.101,0.6047,
J. Tah,FC Bayern München,0,1,24.0,7,3,2970,1.124,1.124,1.8438,
R. Guerreiro,FC Bayern München,3,9,21.0,11,4,1581,2.8623,2.863,4.7384,
M. Wittek,VfL Bochum 1848,0,8,41.0,7,0,2641,1.353,1.352,6.1082,
M. Friedrich,Borussia M'gladbach,1,2,7.0,2,0,991,0.4469,0.447,0.445,
N. Elvedi,Borussia M'gladbach,1,1,12.0,4,1,2136,2.04,2.175,0.3069,
D. Vavro,VfL Wolfsburg,0,0,25.0,7,2,2462,1.3553,1.369,0.5251,
L. Klostermann,RB Leipzig,0,0,4.0,2,1,1837,0.3372,0.337,0.643,
B. Henrichs,RB Leipzig,2,4,11.0,1,0,940,0.4718,0.472,2.0306,
P. Stenzel,VfB Stuttgart,0,0,8.0,2,0,300,0.3331,0.333,0.6205,
K. Laimer,FC Bayern München,2,3,18.0,6,2,1704,2.1084,2.109,3.1405,
R. Gosens,1. FC Union Berlin,0,1,1.0,0,0,90,0.0201,0.02,0.0582,
P. Lienhart,SC Freiburg,0,1,8.0,1,1,2771,0.4629,0.462,0.9279,
R. Bensebaini,Borussia Dortmund,6,6,20.0,2,1,2035,1.2736,1.274,2.2934,
R. Koch,Eintracht Frankfurt,0,0,15.0,6,3,2589,1.7441,1.745,0.4412,
M. Mittelstädt,VfB Stuttgart,7,10,21.0,4,1,2475,0.884,0.875,7.0394,
N. Loosli,VfL Bochum 1848,0,0,,0,0,0,0.0,,0.0,
J. Juranović,1. FC Union Berlin,0,3,6.0,2,0,1168,0.2881,0.289,2.7103,
A. Hanche-Olsen,1. FSV Mainz 05,1,1,12.0,2,1,1279,0.8284,0.81,0.5896,
