Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
K. Vogt,VfL Bochum 1848,22,1,1280,0.7884,0.2359,
D. da Costa,1. FSV Mainz 05,32,0,2011,0.0987,1.2573,
A. Jung,SC Freiburg,33,0,1905,0.0411,0.4531,
S. Bell,1. FSV Mainz 05,23,0,1438,0.7696,0.6541,
C. Gamboa,VfL Bochum 1848,30,1,230,0.1615,0.3356,
W. Orbán,RB Leipzig,26,5,2224,4.0003,0.6578,
C. Günter,SC Freiburg,34,2,2323,0.7765,4.1941,
M. Ginter,SC Freiburg,33,2,2565,2.8105,1.4865,
L. Kübler,SC Freiburg,31,5,1849,2.7281,1.0482,
J. Gouweleeuw,FC Augsburg,33,1,2945,1.7069,2.9295,
D. Kohr,1. FSV Mainz 05,28,2,2303,1.5821,1.6818,
N. Süle,Borussia Dortmund,21,0,1059,0.6279,0.3495,
K. Akpoguma,TSG Hoffenheim,34,0,2221,0.1009,0.6047,
J. Tah,FC Bayern München,33,3,2970,1.124,1.8438,
R. Guerreiro,FC Bayern München,32,4,1581,2.8623,4.7384,
M. Wittek,VfL Bochum 1848,32,0,2641,1.353,6.1082,
M. Friedrich,Borussia M'gladbach,31,0,991,0.4469,0.445,
N. Elvedi,Borussia M'gladbach,27,1,2136,2.04,0.3069,
D. Vavro,VfL Wolfsburg,31,2,2462,1.3553,0.5251,
L. Klostermann,RB Leipzig,31,1,1837,0.3372,0.643,
B. Henrichs,RB Leipzig,15,0,940,0.4718,2.0306,
P. Stenzel,VfB Stuttgart,31,0,300,0.3331,0.6205,
K. Laimer,FC Bayern München,33,2,1704,2.1084,3.1405,
R. Gosens,1. FC Union Berlin,1,0,90,0.0201,0.0582,
P. Lienhart,SC Freiburg,32,1,2771,0.4629,0.9279,
R. Bensebaini,Borussia Dortmund,31,1,2035,1.2736,2.2934,
R. Koch,Eintracht Frankfurt,30,3,2589,1.7441,0.4412,
M. Mittelstädt,VfB Stuttgart,32,1,2475,0.884,7.0394,
N. Loosli,VfL Bochum 1848,7,0,0,0.0,0.0,
J. Juranović,1. FC Union Berlin,18,0,1168,0.2881,2.7103,
A. Hanche-Olsen,1. FSV Mainz 05,28,1,1279,0.8284,0.5896,
D. Upamecano,FC Bayern München,22,2,1761,1.2098,1.1983,
C. Zesiger,VfL Wolfsburg,31,0,1748,1.2607,1.2266,
W. Anton,Borussia Dortmund,29,2,1947,1.6539,1.7973,
