Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
K. Vogt,VfL Bochum 1848,10,66,8,12,0,1280,32,
D. da Costa,1. FSV Mainz 05,42,94,27,33,2,2011,87,
A. Jung,SC Freiburg,33,74,25,34,0,1905,89,
S. Bell,1. FSV Mainz 05,22,107,28,84,3,1438,117,
C. Gamboa,VfL Bochum 1848,8,8,2,0,1,230,11,
W. Orbán,RB Leipzig,38,167,21,104,3,2224,159,
C. Günter,SC Freiburg,23,45,8,7,6,2323,37,
M. Ginter,SC Freiburg,30,140,19,98,4,2565,158,
L. Kübler,SC Freiburg,40,58,53,44,2,1849,105,
J. Gouweleeuw,FC Augsburg,50,183,35,63,2,2945,132,
D. Kohr,1. FSV Mainz 05,62,121,42,39,1,2303,141,
N. Süle,Borussia Dortmund,14,45,4,12,2,1059,31,
K. Akpoguma,TSG Hoffenheim,54,108,29,48,2,2221,133,
J. Tah,FC Bayern München,19,155,36,77,8,2970,104,
R. Guerreiro,FC Bayern München,19,18,10,8,4,1581,44,
M. Wittek,VfL Bochum 1848,61,75,27,24,13,2641,130,
M. Friedrich,Borussia M'gladbach,15,57,5,34,0,991,55,
N. Elvedi,Borussia M'gladbach,38,159,30,52,1,2136,98,
D. Vavro,VfL Wolfsburg,21,231,36,81,6,2462,109,
L. Klostermann,RB Leipzig,27,138,24,21,1,1837,58,
B. Henrichs,RB Leipzig,32,27,15,9,5,940,58,
P. Stenzel,VfB Stuttgart,3,6,2,3,4,300,8,
K. Laimer,FC Bayern München,49,20,8,15,4,1704,93,
R. Gosens,1. FC Union Berlin,0,1,1,7,0,90,7,
P. Lienhart,SC Freiburg,22,119,36,57,1,2771,102,
R. Bensebaini,Borussia Dortmund,51,79,33,41,11,2035,121,
R. Koch,Eintracht Frankfurt,24,194,25,107,5,2589,140,
M. Mittelstädt,VfB Stuttgart,79,91,46,25,5,2475,162,
N. Loosli,VfL Bochum 1848,0,0,0,0,0,0,0,
J. Juranović,1. FC Union Berlin,21,36,7,4,0,1168,42,
A. Hanche-Olsen,1. FSV Mainz 05,21,85,12,50,4,1279,80,
D. Upamecano,FC Bayern München,36,45,34,60,2,1761,109,
C. Zesiger,VfL Wolfsburg,26,121,24,30,3,1748,72,
W. Anton,Borussia Dortmund,34,110,30,46,8,1947,120,
J. Ryerson,Borussia Dortmund,46,25,22,11,7,2270,115,
