Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
K. Vogt,VfL Bochum 1848,809,710,120,0,0,0,1280,2,
D. da Costa,1. FSV Mainz 05,1142,905,204,1,22,1,2011,10,
A. Jung,SC Freiburg,1492,1339,108,0,4,0,1905,2,
S. Bell,1. FSV Mainz 05,713,564,135,1,0,1,1438,5,
C. Gamboa,VfL Bochum 1848,99,62,24,0,7,0,230,3,
W. Orbán,RB Leipzig,1732,1525,148,0,5,1,2224,8,
C. Günter,SC Freiburg,824,648,93,2,121,5,2323,28,
M. Ginter,SC Freiburg,1496,1249,213,1,13,2,2565,9,
L. Kübler,SC Freiburg,838,664,90,1,30,1,1849,11,
J. Gouweleeuw,FC Augsburg,1671,1397,271,4,17,4,2945,14,
D. Kohr,1. FSV Mainz 05,1310,1077,215,0,16,0,2303,12,
N. Süle,Borussia Dortmund,927,862,60,0,1,0,1059,3,
K. Akpoguma,TSG Hoffenheim,1339,1181,142,0,12,0,2221,7,
J. Tah,FC Bayern München,2295,2137,143,0,6,1,2970,5,
R. Guerreiro,FC Bayern München,1231,1108,24,3,27,9,1581,27,
M. Wittek,VfL Bochum 1848,1054,782,151,0,162,8,2641,47,
M. Friedrich,Borussia M'gladbach,704,623,69,1,0,2,991,3,
N. Elvedi,Borussia M'gladbach,1517,1399,82,1,1,1,2136,5,
D. Vavro,VfL Wolfsburg,1474,1290,253,0,8,0,2462,7,
L. Klostermann,RB Leipzig,1171,1049,84,0,11,0,1837,2,
B. Henrichs,RB Leipzig,399,306,45,2,19,4,940,11,
P. Stenzel,VfB Stuttgart,171,152,22,0,25,0,300,5,
K. Laimer,FC Bayern München,1099,976,19,2,21,3,1704,20,
R. Gosens,1. FC Union Berlin,31,18,2,0,1,1,90,1,
P. Lienhart,SC Freiburg,2188,1916,264,0,9,1,2771,7,
R. Bensebaini,Borussia Dortmund,1308,1142,105,6,36,6,2035,15,
R. Koch,Eintracht Frankfurt,1793,1628,155,0,1,0,2589,7,
M. Mittelstädt,VfB Stuttgart,1639,1432,126,7,164,10,2475,48,
N. Loosli,VfL Bochum 1848,0,0,0,0,0,0,0,0,
J. Juranović,1. FC Union Berlin,386,276,67,0,78,3,1168,27,
A. Hanche-Olsen,1. FSV Mainz 05,621,518,83,1,1,1,1279,3,
D. Upamecano,FC Bayern München,1908,1795,101,0,6,1,1761,7,
C. Zesiger,VfL Wolfsburg,776,620,121,2,16,5,1748,8,
W. Anton,Borussia Dortmund,1780,1628,133,2,24,2,1947,6,
J. Ryerson,Borussia Dortmund,1169,1046,68,3,110,8,2270,37,
M. Pedersen,FC Augsburg,63,51,6,0,5,0,231,0,
D. Zagadou,VfB Stuttgart,9,9,0,0,0,0,31,0,
Bernardo,TSG Hoffenheim,926,691,204,0,14,0,1691,5,
D. Doekhi,1. FC Union Berlin,1169,921,189,0,9,3,2970,11,
E. Mašović,VfL Bochum 1848,419,349,59,1,0,2,913,3,
J. Beste,SC Freiburg,71,61,3,1,20,1,210,3,
J. Mæhle,VfL Wolfsburg,1002,817,79,4,25,2,2190,20,
M. Leitsch,1. FSV Mainz 05,352,280,42,0,3,0,677,2,
A. Davies,FC Bayern München,1142,1040,18,2,22,2,1561,27,
D. Leite,1. FC Union Berlin,1270,996,228,2,7,2,2458,12,
D. Raum,RB Leipzig,841,661,88,5,188,8,1788,49,
P. Jaeckel,1. FC Union Berlin,0,0,0,0,0,0,0,0,
J. Chabot,VfB Stuttgart,1939,1746,194,1,2,1,2280,6,
H. Ito,FC Bayern München,193,167,14,0,2,1,257,4,
Y. Keitel,FC Augsburg,188,156,18,0,2,0,277,1,
E. Tapsoba,Bayer 04 Leverkusen,1896,1651,198,0,8,0,2511,4,
D. Köhn,1. FC Union Berlin,560,468,30,2,58,2,1360,16,
K. Schlotterbeck,FC Augsburg,674,573,95,1,3,1,1298,7,
M. Kim,FC Bayern München,2524,2337,127,0,0,0,2289,6,
S. N'Soki,1. FC Union Berlin,812,703,76,0,1,0,1324,7,
J. Vagnoman,VfB Stuttgart,749,617,50,1,43,4,1835,22,
R. Hendriks,VfB Stuttgart,615,536,48,1,12,2,1166,6,
M. Jenz,VfL Wolfsburg,843,711,94,0,0,1,1606,3,
R. Kristensen,Eintracht Frankfurt,1358,1077,131,3,59,6,2515,22,
J. Stanišić,FC Bayern München,729,673,46,2,11,4,885,14,
M. Bauer,Arminia Bielefeld,331,271,47,0,4,0,656,2,
N. Schlotterbeck,Borussia Dortmund,2034,1823,218,4,14,5,1984,18,
V. Gendrey,TSG Hoffenheim,471,358,38,1,51,2,1416,17,
M. Simakan,RB Leipzig,43,35,1,0,1,1,55,3,
R. Hranáč,TSG Hoffenheim,147,127,13,0,0,0,219,0,
A. Al-Dakhil,VfB Stuttgart,337,311,23,0,0,0,436,2,
A. Theate,Eintracht Frankfurt,1735,1465,227,0,26,3,2709,14,
C. Lukeba,RB Leipzig,1171,1013,84,0,11,0,1577,4,
D. Deger,FC Augsburg,0,0,0,0,0,0,0,0,
K. Fischer,VfL Wolfsburg,963,785,96,0,39,0,2306,12,
A. Amenda,Eintracht Frankfurt,68,57,9,0,0,1,121,1,
J. Scally,Borussia M'gladbach,1269,1075,117,0,50,2,2586,11,
