Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
A. Kramarić,TSG Hoffenheim,32,2778,270,8,69.0,26,11,11.6556,8.503,5.6806,15,9,7,9,14,71,1165,973,66,116,6,50,Forward
H. Kane,FC Bayern München,31,2389,271,8,114.0,54,26,20.474,13.381,5.55,13,16,2,30,24,86,617,498,58,13,11,35,Forward
M. Gregoritsch,FC Augsburg,28,645,272,1,16.0,6,2,1.7968,1.798,0.7169,4,9,1,31,4,44,156,100,6,1,0,5,Forward
J. Hofmann,Bayer 04 Leverkusen,27,366,273,1,9.0,5,2,0.9723,0.987,0.485,2,3,0,0,3,13,183,165,9,5,0,7,Forward
M. Batshuayi,Eintracht Frankfurt,14,309,274,0,5.0,3,3,1.2127,1.213,0.3872,1,0,1,3,1,8,64,53,4,1,0,1,Forward
S. Haller,Borussia Dortmund,1,0,275,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
M. Philipp,SC Freiburg,14,15,276,0,1.0,0,0,0.0414,0.041,0.0,0,0,0,0,1,0,7,3,0,0,0,0,Forward
T. Kleindienst,Borussia M'gladbach,31,2742,277,7,75.0,39,16,13.5078,12.5,3.9343,30,64,12,150,17,218,729,452,26,16,11,29,Forward
G. Holtmann,VfL Bochum 1848,24,1100,278,1,31.0,8,2,2.0486,2.05,2.7689,24,12,16,11,9,47,283,221,24,90,6,20,Forward
I. Bebou,TSG Hoffenheim,1,8,279,0,,0,0,0.0,,0.0,0,0,0,0,0,0,4,2,0,0,0,0,Forward
H. Tabaković,Borussia M'gladbach,30,817,280,1,30.0,10,3,3.3497,3.353,0.9237,3,16,1,45,9,60,206,133,1,4,3,9,Forward
L. Höler,SC Freiburg,33,1881,281,4,35.0,19,6,7.7941,7.182,1.7322,37,34,6,81,4,164,575,386,11,14,7,22,Forward
P. Schick,Bayer 04 Leverkusen,33,1694,282,0,68.0,34,21,12.3746,11.876,0.9121,6,17,4,46,10,84,365,286,2,1,1,11,Forward
S. Guirassy,Borussia Dortmund,30,2601,283,2,90.0,37,21,22.9019,19.728,3.0719,7,38,4,114,22,180,625,456,17,1,7,25,Forward
P. Hofmann,VfL Bochum 1848,31,2284,284,2,54.0,19,3,5.5027,5.572,2.6282,17,32,4,169,21,222,674,436,29,10,7,27,Forward
