Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
A. Kramarić,TSG Hoffenheim,8,6,69.0,26,11,2778,11.6556,8.503,5.6806,
H. Kane,FC Bayern München,8,11,114.0,54,26,2389,20.474,13.381,5.55,
M. Gregoritsch,FC Augsburg,1,0,16.0,6,2,645,1.7968,1.798,0.7169,
J. Hofmann,Bayer 04 Leverkusen,1,0,9.0,5,2,366,0.9723,0.987,0.485,
M. Batshuayi,Eintracht Frankfurt,0,0,5.0,3,3,309,1.2127,1.213,0.3872,
S. Haller,Borussia Dortmund,0,0,,0,0,0,0.0,,0.0,
M. Philipp,SC Freiburg,0,0,1.0,0,0,15,0.0414,0.041,0.0,
T. Kleindienst,Borussia M'gladbach,7,11,75.0,39,16,2742,13.5078,12.5,3.9343,
G. Holtmann,VfL Bochum 1848,1,6,31.0,8,2,1100,2.0486,2.05,2.7689,
I. Bebou,TSG Hoffenheim,0,0,,0,0,8,0.0,,0.0,
H. Tabaković,Borussia M'gladbach,1,3,30.0,10,3,817,3.3497,3.353,0.9237,
L. Höler,SC Freiburg,4,7,35.0,19,6,1881,7.7941,7.182,1.7322,
P. Schick,Bayer 04 Leverkusen,0,1,68.0,34,21,1694,12.3746,11.876,0.9121,
S. Guirassy,Borussia Dortmund,2,7,90.0,37,21,2601,22.9019,19.728,3.0719,
P. Hofmann,VfL Bochum 1848,2,7,54.0,19,3,2284,5.5027,5.572,2.6282,
M. Bülter,1. FC Köln,2,4,37.0,15,7,1739,3.6711,3.173,3.3707,
J. Lee,1. FSV Mainz 05,6,8,40.0,15,7,2661,5.2995,5.299,4.681,
O. Burke,1. FC Union Berlin,0,2,35.0,13,5,931,4.1367,4.135,1.1241,
M. Berisha,TSG Hoffenheim,1,3,14.0,4,1,368,1.1484,1.069,0.4369,
D. Undav,VfB Stuttgart,3,8,75.0,31,9,1734,11.6612,11.855,3.787,
P. Tietz,1. FSV Mainz 05,2,2,52.0,20,7,1684,6.0489,5.331,1.3986,
A. Claude-Maurice,FC Augsburg,2,1,59.0,22,9,2125,4.7395,4.696,1.8493,
J. Wind,VfL Wolfsburg,3,9,40.0,13,9,1976,5.709,4.737,4.9107,
M. Terrier,Bayer 04 Leverkusen,1,2,16.0,6,2,583,2.4482,2.447,1.6779,
E. Demirović,VfB Stuttgart,1,5,66.0,30,15,1861,14.1955,13.198,1.7093,
S. Machino,Borussia M'gladbach,2,5,51.0,23,11,1961,6.43,4.278,2.5763,
J. Burkardt,Eintracht Frankfurt,2,4,72.0,30,18,2120,14.7967,13.253,2.6484,
K. Adeyemi,Borussia Dortmund,6,9,46.0,18,7,1446,5.4846,5.483,4.0708,
S. Katompa Mvumpa,1. FSV Mainz 05,0,0,,0,0,0,0.0,,0.0,
A. Ilić,1. FC Union Berlin,0,0,28.0,12,7,942,4.8912,4.102,0.1618,
A. Hložek,TSG Hoffenheim,3,7,59.0,25,8,1874,5.5389,5.216,3.1715,
B. Hollerbach,1. FSV Mainz 05,0,3,71.0,23,8,2465,6.0243,5.979,2.2234,
P. Nebel,1. FSV Mainz 05,4,7,44.0,18,10,2355,5.7308,5.753,5.6314,
M. Beier,Borussia Dortmund,5,6,42.0,13,8,1590,7.71,7.712,2.5218,
T. Tomás,VfB Stuttgart,1,4,42.0,20,6,1896,5.4174,5.427,1.4786,
A. Sieb,1. FSV Mainz 05,2,3,29.0,7,2,772,2.8239,2.825,0.5539,
F. Asllani,TSG Hoffenheim,1,2,3.0,1,1,179,0.0,,0.0,
I. Matanović,SC Freiburg,0,0,12.0,5,1,317,1.1424,1.143,0.0937,
M. Tel,FC Bayern München,1,1,10.0,3,0,253,0.7398,0.74,0.5463,
J. Diehl,VfB Stuttgart,0,0,7.0,1,1,98,0.973,0.972,0.285,
N. Weiper,1. FSV Mainz 05,2,4,22.0,12,3,710,4.0963,4.098,0.7163,
M. Moerstedt,TSG Hoffenheim,0,0,12.0,4,0,450,0.7616,0.721,0.5696,
Y. Ebnoutalib,Eintracht Frankfurt,0,0,1.0,0,0,2,0.0,,0.0,
A. Sarco,Borussia M'gladbach,0,0,,0,0,0,0.0,,0.0,
D. Preu,1. FC Union Berlin,0,0,2.0,0,0,119,0.1313,0.131,0.0217,
