Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
A. Kramarić,TSG Hoffenheim,32,11,2778,11.6556,5.6806,
H. Kane,FC Bayern München,31,26,2389,20.474,5.55,
M. Gregoritsch,FC Augsburg,28,2,645,1.7968,0.7169,
J. Hofmann,Bayer 04 Leverkusen,27,2,366,0.9723,0.485,
M. Batshuayi,Eintracht Frankfurt,14,3,309,1.2127,0.3872,
S. Haller,Borussia Dortmund,1,0,0,0.0,0.0,
M. Philipp,SC Freiburg,14,0,15,0.0414,0.0,
T. Kleindienst,Borussia M'gladbach,31,16,2742,13.5078,3.9343,
G. Holtmann,VfL Bochum 1848,24,2,1100,2.0486,2.7689,
I. Bebou,TSG Hoffenheim,1,0,8,0.0,0.0,
H. Tabaković,Borussia M'gladbach,30,3,817,3.3497,0.9237,
L. Höler,SC Freiburg,33,6,1881,7.7941,1.7322,
P. Schick,Bayer 04 Leverkusen,33,21,1694,12.3746,0.9121,
S. Guirassy,Borussia Dortmund,30,21,2601,22.9019,3.0719,
P. Hofmann,VfL Bochum 1848,31,3,2284,5.5027,2.6282,
M. Bülter,1. FC Köln,25,7,1739,3.6711,3.3707,
J. Lee,1. FSV Mainz 05,33,7,2661,5.2995,4.681,
O. Burke,1. FC Union Berlin,29,5,931,4.1367,1.1241,
M. Berisha,TSG Hoffenheim,16,1,368,1.1484,0.4369,
D. Undav,VfB Stuttgart,27,9,1734,11.6612,3.787,
P. Tietz,1. FSV Mainz 05,34,7,1684,6.0489,1.3986,
A. Claude-Maurice,FC Augsburg,31,9,2125,4.7395,1.8493,
J. Wind,VfL Wolfsburg,33,9,1976,5.709,4.9107,
M. Terrier,Bayer 04 Leverkusen,15,2,583,2.4482,1.6779,
E. Demirović,VfB Stuttgart,34,15,1861,14.1955,1.7093,
S. Machino,Borussia M'gladbach,34,11,1961,6.43,2.5763,
J. Burkardt,Eintracht Frankfurt,29,18,2120,14.7967,2.6484,
K. Adeyemi,Borussia Dortmund,25,7,1446,5.4846,4.0708,
S. Katompa Mvumpa,1. FSV Mainz 05,1,0,0,0.0,0.0,
A. Ilić,1. FC Union Berlin,16,7,942,4.8912,0.1618,
A. Hložek,TSG Hoffenheim,27,8,1874,5.5389,3.1715,
B. Hollerbach,1. FSV Mainz 05,33,8,2465,6.0243,2.2234,
P. Nebel,1. FSV Mainz 05,33,10,2355,5.7308,5.6314,
M. Beier,Borussia Dortmund,30,8,1590,7.71,2.5218,
T. Tomás,VfB Stuttgart,33,6,1896,5.4174,1.4786,
A. Sieb,1. FSV Mainz 05,34,2,772,2.8239,0.5539,
F. Asllani,TSG Hoffenheim,2,1,179,0.0,0.0,
I. Matanović,SC Freiburg,22,1,317,1.1424,0.0937,
M. Tel,FC Bayern München,17,0,253,0.7398,0.5463,
J. Diehl,VfB Stuttgart,9,1,98,0.973,0.285,
N. Weiper,1. FSV Mainz 05,29,3,710,4.0963,0.7163,
M. Moerstedt,TSG Hoffenheim,19,0,450,0.7616,0.5696,
Y. Ebnoutalib,Eintracht Frankfurt,2,0,2,0.0,0.0,
A. Sarco,Borussia M'gladbach,5,0,0,0.0,0.0,
D. Preu,1. FC Union Berlin,7,0,119,0.1313,0.0217,
