Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
A. Kramarić,TSG Hoffenheim,15,9,7,9,14,2778,71,
H. Kane,FC Bayern München,13,16,2,30,24,2389,86,
M. Gregoritsch,FC Augsburg,4,9,1,31,4,645,44,
J. Hofmann,Bayer 04 Leverkusen,2,3,0,0,3,366,13,
M. Batshuayi,Eintracht Frankfurt,1,0,1,3,1,309,8,
S. Haller,Borussia Dortmund,0,0,0,0,0,0,0,
M. Philipp,SC Freiburg,0,0,0,0,1,15,0,
T. Kleindienst,Borussia M'gladbach,30,64,12,150,17,2742,218,
G. Holtmann,VfL Bochum 1848,24,12,16,11,9,1100,47,
I. Bebou,TSG Hoffenheim,0,0,0,0,0,8,0,
H. Tabaković,Borussia M'gladbach,3,16,1,45,9,817,60,
L. Höler,SC Freiburg,37,34,6,81,4,1881,164,
P. Schick,Bayer 04 Leverkusen,6,17,4,46,10,1694,84,
S. Guirassy,Borussia Dortmund,7,38,4,114,22,2601,180,
P. Hofmann,VfL Bochum 1848,17,32,4,169,21,2284,222,
M. Bülter,1. FC Köln,13,13,4,18,10,1739,91,
J. Lee,1. FSV Mainz 05,42,35,35,51,9,2661,143,
O. Burke,1. FC Union Berlin,11,6,2,40,10,931,60,
M. Berisha,TSG Hoffenheim,4,3,0,3,6,368,15,
D. Undav,VfB Stuttgart,11,10,3,23,20,1734,64,
P. Tietz,1. FSV Mainz 05,11,25,5,79,8,1684,116,
A. Claude-Maurice,FC Augsburg,41,7,15,14,14,2125,139,
J. Wind,VfL Wolfsburg,10,14,6,101,10,1976,155,
M. Terrier,Bayer 04 Leverkusen,4,1,1,11,4,583,26,
E. Demirović,VfB Stuttgart,12,7,3,34,14,1861,78,
S. Machino,Borussia M'gladbach,8,26,7,27,10,1961,70,
J. Burkardt,Eintracht Frankfurt,15,14,1,21,13,2120,75,
K. Adeyemi,Borussia Dortmund,20,5,7,9,13,1446,87,
S. Katompa Mvumpa,1. FSV Mainz 05,0,0,0,0,0,0,0,
A. Ilić,1. FC Union Berlin,2,6,5,53,4,942,63,
A. Hložek,TSG Hoffenheim,22,18,4,41,11,1874,125,
B. Hollerbach,1. FSV Mainz 05,43,10,2,30,24,2465,156,
P. Nebel,1. FSV Mainz 05,38,21,13,18,18,2355,116,
M. Beier,Borussia Dortmund,25,12,7,24,11,1590,86,
T. Tomás,VfB Stuttgart,32,15,9,9,14,1896,118,
A. Sieb,1. FSV Mainz 05,10,7,1,15,6,772,49,
F. Asllani,TSG Hoffenheim,2,0,0,2,2,179,10,
I. Matanović,SC Freiburg,2,9,1,11,2,317,26,
M. Tel,FC Bayern München,2,1,1,1,5,253,15,
J. Diehl,VfB Stuttgart,1,0,0,0,5,98,4,
N. Weiper,1. FSV Mainz 05,5,5,2,34,5,710,50,
M. Moerstedt,TSG Hoffenheim,5,4,0,17,6,450,32,
Y. Ebnoutalib,Eintracht Frankfurt,0,0,0,1,0,2,1,
A. Sarco,Borussia M'gladbach,0,0,0,0,0,0,0,
D. Preu,1. FC Union Berlin,1,0,0,0,0,119,4,
