Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
A. Kramarić,TSG Hoffenheim,1165,973,66,8,116,6,2778,50,
H. Kane,FC Bayern München,617,498,58,8,13,11,2389,35,
M. Gregoritsch,FC Augsburg,156,100,6,1,1,0,645,5,
J. Hofmann,Bayer 04 Leverkusen,183,165,9,1,5,0,366,7,
M. Batshuayi,Eintracht Frankfurt,64,53,4,0,1,0,309,1,
S. Haller,Borussia Dortmund,0,0,0,0,0,0,0,0,
M. Philipp,SC Freiburg,7,3,0,0,0,0,15,0,
T. Kleindienst,Borussia M'gladbach,729,452,26,7,16,11,2742,29,
G. Holtmann,VfL Bochum 1848,283,221,24,1,90,6,1100,20,
I. Bebou,TSG Hoffenheim,4,2,0,0,0,0,8,0,
H. Tabaković,Borussia M'gladbach,206,133,1,1,4,3,817,9,
L. Höler,SC Freiburg,575,386,11,4,14,7,1881,22,
P. Schick,Bayer 04 Leverkusen,365,286,2,0,1,1,1694,11,
S. Guirassy,Borussia Dortmund,625,456,17,2,1,7,2601,25,
P. Hofmann,VfL Bochum 1848,674,436,29,2,10,7,2284,27,
M. Bülter,1. FC Köln,455,334,44,2,84,4,1739,22,
J. Lee,1. FSV Mainz 05,1004,803,37,6,31,8,2661,34,
O. Burke,1. FC Union Berlin,273,172,5,0,20,2,931,14,
M. Berisha,TSG Hoffenheim,60,45,2,1,4,3,368,3,
D. Undav,VfB Stuttgart,567,424,25,3,11,8,1734,26,
P. Tietz,1. FSV Mainz 05,478,298,15,2,1,2,1684,22,
A. Claude-Maurice,FC Augsburg,631,534,27,2,21,1,2125,21,
J. Wind,VfL Wolfsburg,601,430,30,3,7,9,1976,34,
M. Terrier,Bayer 04 Leverkusen,190,160,5,1,5,2,583,9,
E. Demirović,VfB Stuttgart,361,258,3,1,3,5,1861,18,
S. Machino,Borussia M'gladbach,557,401,38,2,35,5,1961,28,
J. Burkardt,Eintracht Frankfurt,489,365,27,2,27,4,2120,20,
K. Adeyemi,Borussia Dortmund,366,287,9,6,26,9,1446,28,
S. Katompa Mvumpa,1. FSV Mainz 05,0,0,0,0,0,0,0,0,
A. Ilić,1. FC Union Berlin,188,110,4,0,3,0,942,6,
A. Hložek,TSG Hoffenheim,481,341,29,3,20,7,1874,22,
B. Hollerbach,1. FSV Mainz 05,569,412,32,0,71,3,2465,26,
P. Nebel,1. FSV Mainz 05,1031,806,58,4,111,7,2355,35,
M. Beier,Borussia Dortmund,383,278,5,5,16,6,1590,25,
T. Tomás,VfB Stuttgart,448,323,32,1,22,4,1896,20,
A. Sieb,1. FSV Mainz 05,185,132,3,2,6,3,772,8,
F. Asllani,TSG Hoffenheim,55,37,3,1,0,2,179,3,
I. Matanović,SC Freiburg,75,57,3,0,0,0,317,1,
M. Tel,FC Bayern München,119,103,8,1,5,1,253,1,
J. Diehl,VfB Stuttgart,49,42,1,0,10,0,98,1,
N. Weiper,1. FSV Mainz 05,164,114,3,2,6,4,710,10,
M. Moerstedt,TSG Hoffenheim,101,69,5,0,1,0,450,7,
Y. Ebnoutalib,Eintracht Frankfurt,0,0,0,0,0,0,2,0,
A. Sarco,Borussia M'gladbach,0,0,0,0,0,0,0,0,
D. Preu,1. FC Union Berlin,25,16,4,0,4,0,119,0,
