Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
M. Neuer,FC Bayern München,23,1980,315,0,,0,0,0.0,,0.0181,1,14,0,5,0,7,842,716,270,0,1,1,32,Goalkeeper
S. Ulreich,FC Bayern München,16,90,316,0,,0,0,0.0,,0.0,0,0,0,0,0,0,26,21,9,0,0,0,0,Goalkeeper
J. Grahl,Eintracht Frankfurt,12,0,317,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
P. Pervan,VfL Wolfsburg,8,0,318,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
P. Gulácsi,RB Leipzig,31,2632,319,0,,0,0,0.0,,0.0067,1,29,0,11,0,13,761,604,267,0,0,0,100,Goalkeeper
O. Baumann,TSG Hoffenheim,28,2520,320,0,,0,0,0.0,,0.627,2,30,0,9,0,18,938,615,517,0,1,3,92,Goalkeeper
D. Batz,1. FSV Mainz 05,7,0,321,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Horn,VfL Bochum 1848,33,1170,322,0,,0,0,0.0,,0.055,0,14,0,5,0,5,469,255,357,0,0,1,33,Goalkeeper
P. Drewes,Borussia Dortmund,32,1800,323,0,,0,0,0.0,,0.0056,0,17,0,3,0,6,750,483,492,0,0,0,51,Goalkeeper
M. Müller,VfL Wolfsburg,30,474,324,0,,0,0,0.0,,0.0096,0,3,0,4,0,4,189,125,110,0,0,0,18,Goalkeeper
F. Rønnow,1. FC Union Berlin,27,2430,325,0,1.0,0,0,0.0943,0.094,0.0791,0,39,0,17,0,20,747,475,435,0,0,0,73,Goalkeeper
A. Meyer,Borussia Dortmund,33,180,326,0,,0,0,0.0,,0.0321,0,1,0,0,0,0,80,51,41,0,0,1,7,Goalkeeper
