Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
M. Neuer,FC Bayern München,1,14,0,5,0,1980,7,
S. Ulreich,FC Bayern München,0,0,0,0,0,90,0,
J. Grahl,Eintracht Frankfurt,0,0,0,0,0,0,0,
P. Pervan,VfL Wolfsburg,0,0,0,0,0,0,0,
P. Gulácsi,RB Leipzig,1,29,0,11,0,2632,13,
O. Baumann,TSG Hoffenheim,2,30,0,9,0,2520,18,
D. Batz,1. FSV Mainz 05,0,0,0,0,0,0,0,
T. Horn,VfL Bochum 1848,0,14,0,5,0,1170,5,
P. Drewes,Borussia Dortmund,0,17,0,3,0,1800,6,
M. Müller,VfL Wolfsburg,0,3,0,4,0,474,4,
F. Rønnow,1. FC Union Berlin,0,39,0,17,0,2430,20,
A. Meyer,Borussia Dortmund,0,1,0,0,0,180,0,
N. Lomb,Bayer 04 Leverkusen,0,0,0,0,0,0,0,
C. Klaus,1. FC Union Berlin,0,0,0,0,0,0,0,
L. Zingerle,RB Leipzig,0,0,0,0,0,0,0,
F. Bredlow,VfB Stuttgart,0,0,0,0,0,0,0,
J. Huth,SC Freiburg,0,0,0,0,0,0,0,
R. Zentner,1. FSV Mainz 05,2,61,0,9,1,2880,12,
M. Zetterer,Eintracht Frankfurt,0,24,1,8,0,3060,15,
G. Kobel,Borussia Dortmund,0,32,1,5,0,2880,9,
J. Omlin,Bayer 04 Leverkusen,0,10,0,2,0,979,4,
M. Nicolas,Borussia M'gladbach,0,15,1,7,0,1640,7,
A. Nübel,VfB Stuttgart,0,26,0,5,0,3060,9,
F. Dahmen,FC Augsburg,1,22,0,6,0,1710,7,
F. Müller,SC Freiburg,0,7,0,0,0,752,1,
K. Grabara,VfL Wolfsburg,0,33,0,9,0,2586,13,
D. Klein,FC Augsburg,0,0,0,0,0,0,0,
S. Drljača,VfB Stuttgart,0,0,0,0,0,0,0,
M. Vandevoordt,RB Leipzig,1,7,0,1,0,428,2,
L. Philipp,TSG Hoffenheim,1,4,0,0,0,540,1,
N. Labrović,FC Augsburg,0,20,0,7,0,1350,8,
N. Atubolu,SC Freiburg,0,21,0,10,0,2308,10,
D. Peretz,FC Bayern München,0,2,0,0,0,270,2,
L. Riess,1. FSV Mainz 05,0,6,0,0,0,180,0,
J. Urbig,FC Bayern München,0,13,0,2,0,720,2,
K. Santos,Eintracht Frankfurt,0,14,0,8,0,765,9,
TPT. Pereira Cardoso,Borussia M'gladbach,1,6,0,4,0,379,5,
A. Šiljević,Eintracht Frankfurt,0,0,0,0,0,0,0,
