Name,Team,Mins,Saves,Unnamed: 3
M. Neuer,FC Bayern München,1980,32,
S. Ulreich,FC Bayern München,90,0,
J. Grahl,Eintracht Frankfurt,0,0,
P. Pervan,VfL Wolfsburg,0,0,
P. Gulácsi,RB Leipzig,2632,100,
O. Baumann,TSG Hoffenheim,2520,92,
D. Batz,1. FSV Mainz 05,0,0,
T. Horn,VfL Bochum 1848,1170,33,
P. Drewes,Borussia Dortmund,1800,51,
M. Müller,VfL Wolfsburg,474,18,
F. Rønnow,1. FC Union Berlin,2430,73,
A. Meyer,Borussia Dortmund,180,7,
N. Lomb,Bayer 04 Leverkusen,0,0,
C. Klaus,1. FC Union Berlin,0,0,
L. Zingerle,RB Leipzig,0,0,
F. Bredlow,VfB Stuttgart,0,0,
J. Huth,SC Freiburg,0,0,
R. Zentner,1. FSV Mainz 05,2880,102,
M. Zetterer,Eintracht Frankfurt,3060,104,
G. Kobel,Borussia Dortmund,2880,85,
J. Omlin,Bayer 04 Leverkusen,979,46,
M. Nicolas,Borussia M'gladbach,1640,70,
A. Nübel,VfB Stuttgart,3060,85,
F. Dahmen,FC Augsburg,1710,65,
F. Müller,SC Freiburg,752,15,
K. Grabara,VfL Wolfsburg,2586,92,
D. Klein,FC Augsburg,0,0,
S. Drljača,VfB Stuttgart,0,0,
M. Vandevoordt,RB Leipzig,428,12,
L. Philipp,TSG Hoffenheim,540,21,
N. Labrović,FC Augsburg,1350,42,
N. Atubolu,SC Freiburg,2308,85,
D. Peretz,FC Bayern München,270,2,
L. Riess,1. FSV Mainz 05,180,6,
J. Urbig,FC Bayern München,720,17,
K. Santos,Eintracht Frankfurt,765,37,
TPT. Pereira Cardoso,Borussia M'gladbach,379,20,
A. Šiljević,Eintracht Frankfurt,0,0,
