Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
M. Neuer,FC Bayern München,842,716,270,0,0,1,1980,1,
S. Ulreich,FC Bayern München,26,21,9,0,0,0,90,0,
J. Grahl,Eintracht Frankfurt,0,0,0,0,0,0,0,0,
P. Pervan,VfL Wolfsburg,0,0,0,0,0,0,0,0,
P. Gulácsi,RB Leipzig,761,604,267,0,0,0,2632,0,
O. Baumann,TSG Hoffenheim,938,615,517,0,0,1,2520,3,
D. Batz,1. FSV Mainz 05,0,0,0,0,0,0,0,0,
T. Horn,VfL Bochum 1848,469,255,357,0,0,0,1170,1,
P. Drewes,Borussia Dortmund,750,483,492,0,0,0,1800,0,
M. Müller,VfL Wolfsburg,189,125,110,0,0,0,474,0,
F. Rønnow,1. FC Union Berlin,747,475,435,0,0,0,2430,0,
A. Meyer,Borussia Dortmund,80,51,41,0,0,0,180,1,
N. Lomb,Bayer 04 Leverkusen,0,0,0,0,0,0,0,0,
C. Klaus,1. FC Union Berlin,0,0,0,0,0,0,0,0,
L. Zingerle,RB Leipzig,0,0,0,0,0,0,0,0,
F. Bredlow,VfB Stuttgart,0,0,0,0,0,0,0,0,
J. Huth,SC Freiburg,0,0,0,0,0,0,0,0,
R. Zentner,1. FSV Mainz 05,1024,604,627,0,0,1,2880,3,
M. Zetterer,Eintracht Frankfurt,1123,848,475,0,0,0,3060,0,
G. Kobel,Borussia Dortmund,1112,867,397,0,0,0,2880,1,
J. Omlin,Bayer 04 Leverkusen,463,329,221,0,0,0,979,0,
M. Nicolas,Borussia M'gladbach,706,585,241,0,0,0,1640,0,
A. Nübel,VfB Stuttgart,1168,873,493,1,0,1,3060,3,
F. Dahmen,FC Augsburg,708,478,387,0,0,0,1710,0,
F. Müller,SC Freiburg,296,178,174,0,0,0,752,0,
K. Grabara,VfL Wolfsburg,1019,677,559,0,0,0,2586,2,
D. Klein,FC Augsburg,0,0,0,0,0,0,0,0,
S. Drljača,VfB Stuttgart,0,0,0,0,0,0,0,0,
M. Vandevoordt,RB Leipzig,147,111,60,0,0,0,428,0,
L. Philipp,TSG Hoffenheim,171,101,109,0,0,0,540,0,
N. Labrović,FC Augsburg,430,282,243,0,0,0,1350,0,
N. Atubolu,SC Freiburg,1028,739,486,0,0,0,2308,0,
D. Peretz,FC Bayern München,98,74,33,0,0,0,270,0,
L. Riess,1. FSV Mainz 05,77,46,50,0,0,0,180,0,
J. Urbig,FC Bayern München,253,199,97,0,0,0,720,0,
K. Santos,Eintracht Frankfurt,258,172,131,0,0,0,765,1,
TPT. Pereira Cardoso,Borussia M'gladbach,157,112,71,0,0,0,379,0,
A. Šiljević,Eintracht Frankfurt,0,0,0,0,0,0,0,0,
