Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
T. Chandler,Eintracht Frankfurt,10,27,353,0,,0,0,0.0,,0.0375,0,2,3,5,0,6,23,17,2,1,0,0,Midfielder
C. Trimmel,1. FC Union Berlin,32,1743,354,3,9.0,3,0,0.2309,0.231,3.2337,38,86,18,24,2,68,515,341,111,111,2,36,Midfielder
N. Höfler,SC Freiburg,34,787,355,0,4.0,0,0,0.2314,0.231,0.3432,33,28,14,28,3,70,373,325,9,1,0,3,Midfielder
M. Götze,Eintracht Frankfurt,28,1546,356,2,8.0,5,3,2.9477,2.948,1.8435,41,7,7,3,1,68,798,647,41,39,5,34,Midfielder
K. Kampl,RB Leipzig,28,1596,357,0,7.0,2,1,0.8186,0.819,2.6768,27,24,24,3,2,50,1131,1030,44,29,2,16,Midfielder
K. Stöger,Borussia M'gladbach,34,1553,358,4,26.0,12,3,3.8798,2.3,4.1447,37,23,16,5,5,99,975,797,100,116,8,55,Midfielder
A. Losilla,VfL Bochum 1848,31,1090,359,0,5.0,0,0,0.132,0.132,0.6369,28,23,18,26,1,63,401,311,45,3,1,7,Midfielder
M. Sabitzer,Borussia Dortmund,27,1613,360,0,21.0,8,1,1.7826,1.782,1.5445,29,28,10,18,5,61,820,712,54,23,2,12,Midfielder
P. Mwene,1. FSV Mainz 05,32,2617,361,4,21.0,5,1,1.5171,1.549,3.7689,51,46,24,20,10,117,968,746,96,85,3,23,Midfielder
E. Can,Borussia Dortmund,31,2111,362,0,9.0,3,3,1.983,0.407,1.347,50,86,20,46,2,129,1877,1692,174,11,0,8,Midfielder
M. Arnold,VfL Wolfsburg,28,2359,363,5,27.0,12,3,0.8932,0.895,4.3558,34,69,24,15,7,101,1195,1006,173,152,7,45,Midfielder
R. Khedira,1. FC Union Berlin,32,2647,364,1,13.0,1,1,1.3717,1.374,0.9227,64,53,42,40,5,126,880,672,85,21,2,12,Midfielder
S. Widmer,1. FSV Mainz 05,33,546,365,1,3.0,1,0,0.3293,0.329,0.5017,11,27,5,13,2,27,213,167,19,12,1,2,Midfielder
R. Andrich,Bayer 04 Leverkusen,32,1611,366,1,21.0,5,2,1.2929,1.295,0.953,24,22,29,21,8,64,960,861,64,12,0,9,Midfielder
J. Haberer,1. FC Union Berlin,33,1704,367,0,15.0,3,0,0.7283,0.728,1.8583,39,36,17,15,6,70,669,525,66,15,2,7,Midfielder
Y. Gerhardt,VfL Wolfsburg,31,1515,368,0,15.0,4,1,1.2337,1.234,1.1032,28,46,17,22,5,63,618,489,48,24,1,4,Midfielder
V. Grifo,SC Freiburg,34,2452,369,11,66.0,29,8,7.8914,5.567,7.9509,29,21,9,15,22,81,1357,1114,126,155,17,66,Midfielder
A. Grimaldo,Bayer 04 Leverkusen,33,2643,370,7,44.0,14,2,2.4982,2.527,8.5576,24,38,16,16,14,85,1727,1492,90,217,11,73,Midfielder
L. Goretzka,FC Bayern München,31,1321,371,1,32.0,11,4,2.7585,2.757,2.3813,21,25,20,31,10,70,1209,1095,47,5,2,12,Midfielder
M. Bero,VfL Bochum 1848,29,2479,372,2,31.0,13,5,3.9563,3.728,3.8002,64,32,16,25,11,138,1032,770,105,122,5,53,Midfielder
S. Gnabry,FC Bayern München,29,1248,373,5,49.0,18,7,7.545,6.768,4.2643,20,9,6,4,11,48,560,481,19,22,10,25,Midfielder
J. Brandt,Borussia Dortmund,30,2318,374,10,45.0,15,5,4.7584,4.792,6.5502,26,11,14,11,11,65,1116,922,54,71,16,62,Midfielder
G. Prömel,TSG Hoffenheim,2,175,375,0,,0,0,0.0,,0.0446,0,4,2,1,0,4,92,79,4,2,0,0,Midfielder
M. Wolf,FC Augsburg,32,2168,376,3,12.0,2,1,0.6916,0.69,4.5412,27,46,24,8,5,68,842,594,89,115,2,46,Midfielder
J. Kimmich,FC Bayern München,33,2847,377,6,34.0,10,3,1.7702,1.769,10.5751,47,29,25,12,13,98,3425,3183,252,176,16,83,Midfielder
F. Honorat,Borussia M'gladbach,20,1452,378,7,31.0,9,4,4.5337,4.534,4.8932,17,23,5,9,11,43,458,346,12,125,12,51,Midfielder
N. Amiri,1. FSV Mainz 05,30,2481,379,5,62.0,26,7,5.4651,3.923,9.1578,50,27,16,17,18,149,1591,1313,200,166,13,63,Midfielder
R. Skov,1. FC Union Berlin,19,773,380,1,14.0,5,2,1.5016,0.715,2.3378,14,7,7,9,4,34,292,206,39,48,4,14,Midfielder
M. Dahoud,Eintracht Frankfurt,25,367,381,1,7.0,2,1,0.5287,0.53,0.5484,9,5,2,1,4,13,220,191,8,4,1,8,Midfielder
