Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
T. Chandler,Eintracht Frankfurt,0,0,,0,0,27,0.0,,0.0375,
C. Trimmel,1. FC Union Berlin,3,2,9.0,3,0,1743,0.2309,0.231,3.2337,
N. Höfler,SC Freiburg,0,0,4.0,0,0,787,0.2314,0.231,0.3432,
M. Götze,Eintracht Frankfurt,2,5,8.0,5,3,1546,2.9477,2.948,1.8435,
K. Kampl,RB Leipzig,0,2,7.0,2,1,1596,0.8186,0.819,2.6768,
K. Stöger,Borussia M'gladbach,4,8,26.0,12,3,1553,3.8798,2.3,4.1447,
A. Losilla,VfL Bochum 1848,0,1,5.0,0,0,1090,0.132,0.132,0.6369,
M. Sabitzer,Borussia Dortmund,0,2,21.0,8,1,1613,1.7826,1.782,1.5445,
P. Mwene,1. FSV Mainz 05,4,3,21.0,5,1,2617,1.5171,1.549,3.7689,
E. Can,Borussia Dortmund,0,0,9.0,3,3,2111,1.983,0.407,1.347,
M. Arnold,VfL Wolfsburg,5,7,27.0,12,3,2359,0.8932,0.895,4.3558,
R. Khedira,1. FC Union Berlin,1,2,13.0,1,1,2647,1.3717,1.374,0.9227,
S. Widmer,1. FSV Mainz 05,1,1,3.0,1,0,546,0.3293,0.329,0.5017,
R. Andrich,Bayer 04 Leverkusen,1,0,21.0,5,2,1611,1.2929,1.295,0.953,
J. Haberer,1. FC Union Berlin,0,2,15.0,3,0,1704,0.7283,0.728,1.8583,
Y. Gerhardt,VfL Wolfsburg,0,1,15.0,4,1,1515,1.2337,1.234,1.1032,
V. Grifo,SC Freiburg,11,17,66.0,29,8,2452,7.8914,5.567,7.9509,
A. Grimaldo,Bayer 04 Leverkusen,7,11,44.0,14,2,2643,2.4982,2.527,8.5576,
L. Goretzka,FC Bayern München,1,2,32.0,11,4,1321,2.7585,2.757,2.3813,
M. Bero,VfL Bochum 1848,2,5,31.0,13,5,2479,3.9563,3.728,3.8002,
S. Gnabry,FC Bayern München,5,10,49.0,18,7,1248,7.545,6.768,4.2643,
J. Brandt,Borussia Dortmund,10,16,45.0,15,5,2318,4.7584,4.792,6.5502,
G. Prömel,TSG Hoffenheim,0,0,,0,0,175,0.0,,0.0446,
M. Wolf,FC Augsburg,3,2,12.0,2,1,2168,0.6916,0.69,4.5412,
J. Kimmich,FC Bayern München,6,16,34.0,10,3,2847,1.7702,1.769,10.5751,
F. Honorat,Borussia M'gladbach,7,12,31.0,9,4,1452,4.5337,4.534,4.8932,
N. Amiri,1. FSV Mainz 05,5,13,62.0,26,7,2481,5.4651,3.923,9.1578,
R. Skov,1. FC Union Berlin,1,4,14.0,5,2,773,1.5016,0.715,2.3378,
M. Dahoud,Eintracht Frankfurt,1,1,7.0,2,1,367,0.5287,0.53,0.5484,
D. Giannoulis,FC Augsburg,4,8,13.0,4,1,2655,1.1153,1.116,5.4222,
K. Miyoshi,VfL Bochum 1848,0,1,12.0,5,1,453,1.1068,1.108,0.6365,
M. Eggestein,SC Freiburg,0,1,36.0,12,2,2855,1.9572,1.957,2.5375,
E. Skhiri,Eintracht Frankfurt,1,2,13.0,2,1,2240,1.38,1.379,1.9536,
R. Doan,Eintracht Frankfurt,7,8,61.0,23,10,2874,6.4247,7.363,5.9475,
X. Schlager,RB Leipzig,0,1,1.0,0,0,181,0.0637,0.064,0.414,
S. Özcan,Borussia Dortmund,0,2,6.0,0,0,745,0.447,0.446,0.9654,
A. García,Bayer 04 Leverkusen,4,10,15.0,5,3,1457,0.9716,0.972,3.8212,
K. Jakić,FC Augsburg,0,0,18.0,6,0,2308,0.7982,0.795,1.7506,
M. Svanberg,VfL Wolfsburg,1,4,21.0,8,3,1221,3.638,3.646,1.5792,
T. Skarke,1. FC Union Berlin,2,1,18.0,8,0,1114,1.6936,1.693,1.0994,
A. Karazor,VfB Stuttgart,4,5,14.0,7,2,2626,2.2627,2.264,2.4693,
J. Kamiński,1. FC Köln,2,5,15.0,3,0,1138,0.9316,0.932,3.5833,
E. Palacios,Bayer 04 Leverkusen,6,4,13.0,9,1,1158,1.5248,1.527,2.1673,
C. Baumgartner,RB Leipzig,1,2,39.0,15,2,1622,4.5208,4.518,1.7421,
F. Neuhaus,Borussia M'gladbach,1,1,9.0,3,0,377,0.6064,0.61,0.6057,
E. Elmas,RB Leipzig,0,0,2.0,1,0,42,0.3411,0.341,0.0136,
L. Majer,VfL Wolfsburg,1,3,7.0,5,2,310,1.3913,0.604,0.8156,
E. Rexhbeçaj,FC Augsburg,1,1,29.0,5,1,1792,1.4122,1.418,1.9784,
A. Caci,1. FSV Mainz 05,7,6,32.0,12,1,2703,3.1123,3.112,7.6952,
R. Baku,RB Leipzig,4,3,35.0,11,4,2452,2.8622,2.86,3.3287,
R. Fellhauer,FC Augsburg,0,0,2.0,1,1,168,0.0,,0.0,
N. Nartey,VfB Stuttgart,0,0,,0,0,21,0.0,,0.0,
R. Hack,Borussia M'gladbach,7,9,59.0,24,4,2188,5.4061,5.401,3.8126,
A. Schäfer,1. FC Union Berlin,1,1,10.0,1,1,1467,0.5713,0.571,1.1673,
M. Kwarteng,VfL Bochum 1848,0,0,6.0,1,0,167,0.191,0.19,0.1461,
C. Führich,VfB Stuttgart,3,8,36.0,12,2,1990,2.9524,2.938,6.0415,
L. Maloney,1. FSV Mainz 05,0,0,3.0,0,0,800,0.3337,0.334,0.0559,
A. Stiller,VfB Stuttgart,8,14,21.0,4,1,2743,1.7552,1.759,8.6109,
F. Nmecha,Borussia Dortmund,1,1,18.0,6,4,1511,1.3106,1.311,1.1364,
P. Osterhage,SC Freiburg,0,3,21.0,3,1,2274,1.5553,1.658,2.0489,
N. Tella,Bayer 04 Leverkusen,4,2,28.0,11,2,1368,3.0916,3.089,1.6302,
W. Jeong,1. FC Union Berlin,2,2,25.0,6,3,1203,2.757,2.758,1.8745,
F. Rieder,FC Augsburg,3,3,20.0,7,1,876,1.3808,1.382,2.4239,
T. Krauß,1. FC Köln,0,1,11.0,2,0,1080,0.3794,0.383,0.9865,
P. Sander,Borussia M'gladbach,0,1,18.0,8,1,1407,1.1787,1.181,0.9526,
H. Hong,1. FSV Mainz 05,1,2,5.0,2,0,543,0.5152,0.515,1.1959,
N. N'Goumou,Borussia M'gladbach,1,1,24.0,13,2,848,1.8645,1.867,1.25,
N. Seiwald,RB Leipzig,0,6,5.0,0,0,2081,0.2206,0.215,2.6697,
A. Prass,TSG Hoffenheim,1,6,12.0,1,0,1576,0.8838,0.652,2.8321,
M. Olise,FC Bayern München,15,32,86.0,36,12,2346,9.7458,9.751,12.509,
P. Treu,SC Freiburg,2,4,19.0,4,0,2885,1.235,1.248,2.7865,
P. Wimmer,VfL Wolfsburg,4,5,41.0,10,3,1789,3.7313,3.708,3.3884,
G. Reyna,Borussia M'gladbach,0,2,3.0,2,2,363,0.169,0.17,0.6783,
J. Leweling,VfB Stuttgart,2,12,29.0,16,2,1675,1.5589,1.559,3.3048,
C. Chukwuemeka,Borussia Dortmund,0,2,8.0,2,1,245,0.6014,0.602,1.7959,
A. Knauff,Eintracht Frankfurt,5,7,30.0,12,4,1609,4.8823,4.884,4.514,
J. Musiala,FC Bayern München,2,9,68.0,32,12,1804,9.3232,9.321,5.9383,
K. Paredes,VfL Wolfsburg,1,0,4.0,0,0,125,0.3722,0.372,0.0824,
D. Svensson,Borussia Dortmund,3,3,6.0,2,1,785,0.7601,0.759,1.2969,
K. Sano,1. FSV Mainz 05,0,1,20.0,2,0,3045,0.8946,0.895,1.9733,
R. Reitz,Borussia M'gladbach,1,5,23.0,7,2,1840,1.715,1.714,2.1924,
A. Nusa,RB Leipzig,3,6,24.0,7,3,1564,1.5424,1.62,2.5936,
M. Damar,TSG Hoffenheim,0,1,3.0,1,0,179,0.0,,0.0,
T. Bischof,FC Bayern München,2,8,51.0,18,5,2567,2.2001,2.244,4.822,
R. Wagner,SC Freiburg,0,0,2.0,0,0,419,0.1095,0.109,0.0793,
C. Campbell,TSG Hoffenheim,0,0,,0,0,30,0.0,,0.0142,
H. Larsson,Eintracht Frankfurt,1,2,21.0,10,3,2403,3.0931,3.093,1.8665,
F. Krätzig,FC Bayern München,2,2,11.0,4,1,1460,0.6335,0.634,1.8101,
A. Pavlović,FC Bayern München,0,0,9.0,4,1,1456,0.5611,0.561,1.9442,
P. Wanner,FC Bayern München,3,3,27.0,8,3,1838,3.6798,2.893,1.7991,
J. Bahoya,Eintracht Frankfurt,3,5,10.0,3,2,927,1.8602,1.858,2.291,
J. Cabrera,SpVgg Greuther Fürth,0,0,,0,0,0,0.0,,0.0,
O. Højlund,Eintracht Frankfurt,0,2,6.0,2,1,714,0.963,0.964,0.3205,
A. Vermeeren,RB Leipzig,2,0,4.0,1,0,1585,0.3751,0.375,1.3071,
F. Micheler,Arminia Bielefeld,0,0,,0,0,31,0.0,,0.0109,
F. Chaïbi,Eintracht Frankfurt,3,4,25.0,6,1,1019,2.593,2.592,2.9245,
