Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
T. Chandler,Eintracht Frankfurt,10,0,27,0.0,0.0375,
C. Trimmel,1. FC Union Berlin,32,0,1743,0.2309,3.2337,
N. Höfler,SC Freiburg,34,0,787,0.2314,0.3432,
M. Götze,Eintracht Frankfurt,28,3,1546,2.9477,1.8435,
K. Kampl,RB Leipzig,28,1,1596,0.8186,2.6768,
K. Stöger,Borussia M'gladbach,34,3,1553,3.8798,4.1447,
A. Losilla,VfL Bochum 1848,31,0,1090,0.132,0.6369,
M. Sabitzer,Borussia Dortmund,27,1,1613,1.7826,1.5445,
P. Mwene,1. FSV Mainz 05,32,1,2617,1.5171,3.7689,
E. Can,Borussia Dortmund,31,3,2111,1.983,1.347,
M. Arnold,VfL Wolfsburg,28,3,2359,0.8932,4.3558,
R. Khedira,1. FC Union Berlin,32,1,2647,1.3717,0.9227,
S. Widmer,1. FSV Mainz 05,33,0,546,0.3293,0.5017,
R. Andrich,Bayer 04 Leverkusen,32,2,1611,1.2929,0.953,
J. Haberer,1. FC Union Berlin,33,0,1704,0.7283,1.8583,
Y. Gerhardt,VfL Wolfsburg,31,1,1515,1.2337,1.1032,
V. Grifo,SC Freiburg,34,8,2452,7.8914,7.9509,
A. Grimaldo,Bayer 04 Leverkusen,33,2,2643,2.4982,8.5576,
L. Goretzka,FC Bayern München,31,4,1321,2.7585,2.3813,
M. Bero,VfL Bochum 1848,29,5,2479,3.9563,3.8002,
S. Gnabry,FC Bayern München,29,7,1248,7.545,4.2643,
J. Brandt,Borussia Dortmund,30,5,2318,4.7584,6.5502,
G. Prömel,TSG Hoffenheim,2,0,175,0.0,0.0446,
M. Wolf,FC Augsburg,32,1,2168,0.6916,4.5412,
J. Kimmich,FC Bayern München,33,3,2847,1.7702,10.5751,
F. Honorat,Borussia M'gladbach,20,4,1452,4.5337,4.8932,
N. Amiri,1. FSV Mainz 05,30,7,2481,5.4651,9.1578,
R. Skov,1. FC Union Berlin,19,2,773,1.5016,2.3378,
M. Dahoud,Eintracht Frankfurt,25,1,367,0.5287,0.5484,
D. Giannoulis,FC Augsburg,31,1,2655,1.1153,5.4222,
K. Miyoshi,VfL Bochum 1848,20,1,453,1.1068,0.6365,
M. Eggestein,SC Freiburg,34,2,2855,1.9572,2.5375,
E. Skhiri,Eintracht Frankfurt,32,1,2240,1.38,1.9536,
R. Doan,Eintracht Frankfurt,34,10,2874,6.4247,5.9475,
X. Schlager,RB Leipzig,5,0,181,0.0637,0.414,
S. Özcan,Borussia Dortmund,33,0,745,0.447,0.9654,
A. García,Bayer 04 Leverkusen,34,3,1457,0.9716,3.8212,
K. Jakić,FC Augsburg,31,0,2308,0.7982,1.7506,
M. Svanberg,VfL Wolfsburg,22,3,1221,3.638,1.5792,
T. Skarke,1. FC Union Berlin,33,0,1114,1.6936,1.0994,
A. Karazor,VfB Stuttgart,32,2,2626,2.2627,2.4693,
J. Kamiński,1. FC Köln,31,0,1138,0.9316,3.5833,
E. Palacios,Bayer 04 Leverkusen,30,1,1158,1.5248,2.1673,
C. Baumgartner,RB Leipzig,32,2,1622,4.5208,1.7421,
F. Neuhaus,Borussia M'gladbach,30,0,377,0.6064,0.6057,
E. Elmas,RB Leipzig,12,0,42,0.3411,0.0136,
L. Majer,VfL Wolfsburg,9,2,310,1.3913,0.8156,
E. Rexhbeçaj,FC Augsburg,31,1,1792,1.4122,1.9784,
A. Caci,1. FSV Mainz 05,33,1,2703,3.1123,7.6952,
R. Baku,RB Leipzig,34,4,2452,2.8622,3.3287,
R. Fellhauer,FC Augsburg,2,1,168,0.0,0.0,
N. Nartey,VfB Stuttgart,1,0,21,0.0,0.0,
R. Hack,Borussia M'gladbach,34,4,2188,5.4061,3.8126,
A. Schäfer,1. FC Union Berlin,32,1,1467,0.5713,1.1673,
M. Kwarteng,VfL Bochum 1848,11,0,167,0.191,0.1461,
C. Führich,VfB Stuttgart,33,2,1990,2.9524,6.0415,
L. Maloney,1. FSV Mainz 05,26,0,800,0.3337,0.0559,
A. Stiller,VfB Stuttgart,32,1,2743,1.7552,8.6109,
F. Nmecha,Borussia Dortmund,26,4,1511,1.3106,1.1364,
P. Osterhage,SC Freiburg,31,1,2274,1.5553,2.0489,
N. Tella,Bayer 04 Leverkusen,30,2,1368,3.0916,1.6302,
W. Jeong,1. FC Union Berlin,22,3,1203,2.757,1.8745,
F. Rieder,FC Augsburg,32,1,876,1.3808,2.4239,
T. Krauß,1. FC Köln,14,0,1080,0.3794,0.9865,
P. Sander,Borussia M'gladbach,28,1,1407,1.1787,0.9526,
H. Hong,1. FSV Mainz 05,32,0,543,0.5152,1.1959,
N. N'Goumou,Borussia M'gladbach,20,2,848,1.8645,1.25,
N. Seiwald,RB Leipzig,32,0,2081,0.2206,2.6697,
A. Prass,TSG Hoffenheim,27,0,1576,0.8838,2.8321,
M. Olise,FC Bayern München,34,12,2346,9.7458,12.509,
P. Treu,SC Freiburg,33,0,2885,1.235,2.7865,
P. Wimmer,VfL Wolfsburg,29,3,1789,3.7313,3.3884,
G. Reyna,Borussia M'gladbach,26,2,363,0.169,0.6783,
J. Leweling,VfB Stuttgart,27,2,1675,1.5589,3.3048,
C. Chukwuemeka,Borussia Dortmund,11,1,245,0.6014,1.7959,
A. Knauff,Eintracht Frankfurt,31,4,1609,4.8823,4.514,
J. Musiala,FC Bayern München,25,12,1804,9.3232,5.9383,
K. Paredes,VfL Wolfsburg,5,0,125,0.3722,0.0824,
D. Svensson,Borussia Dortmund,12,1,785,0.7601,1.2969,
K. Sano,1. FSV Mainz 05,34,0,3045,0.8946,1.9733,
R. Reitz,Borussia M'gladbach,27,2,1840,1.715,2.1924,
A. Nusa,RB Leipzig,25,3,1564,1.5424,2.5936,
M. Damar,TSG Hoffenheim,2,0,179,0.0,0.0,
T. Bischof,FC Bayern München,31,5,2567,2.2001,4.822,
R. Wagner,SC Freiburg,14,0,419,0.1095,0.0793,
C. Campbell,TSG Hoffenheim,12,0,30,0.0,0.0142,
H. Larsson,Eintracht Frankfurt,33,3,2403,3.0931,1.8665,
F. Krätzig,FC Bayern München,24,1,1460,0.6335,1.8101,
A. Pavlović,FC Bayern München,24,1,1456,0.5611,1.9442,
P. Wanner,FC Bayern München,35,3,1838,3.6798,1.7991,
J. Bahoya,Eintracht Frankfurt,28,2,927,1.8602,2.291,
J. Cabrera,SpVgg Greuther Fürth,3,0,0,0.0,0.0,
O. Højlund,Eintracht Frankfurt,23,1,714,0.963,0.3205,
A. Vermeeren,RB Leipzig,32,0,1585,0.3751,1.3071,
F. Micheler,Arminia Bielefeld,4,0,31,0.0,0.0109,
F. Chaïbi,Eintracht Frankfurt,30,1,1019,2.593,2.9245,
M. Pannewig,VfL Bochum 1848,27,0,290,0.8068,0.0557,
A. Kemlein,1. FC Union Berlin,18,1,902,0.9398,0.6623,
T. Rothe,1. FC Union Berlin,29,3,1592,1.6677,1.4436,
M. Kücüksahin,FC Augsburg,2,0,0,0.0,0.0,
M. Kömür,FC Augsburg,29,2,646,1.1435,1.3238,
F. Onyeka,VfL Bochum 1848,10,0,0,0.0,0.0,
A. Ouédraogo,RB Leipzig,5,0,47,0.0613,0.0145,
B. Dárdai,VfL Wolfsburg,34,1,1312,1.0429,0.9677,
L. Djuric,TSG Hoffenheim,1,0,0,0.0,0.0,
T. Gomis,RB Leipzig,13,0,153,0.2504,0.5866,
K. Wätjen,VfL Bochum 1848,11,0,14,0.0,0.0,
C. Uzun,Eintracht Frankfurt,33,4,675,2.9988,1.1394,
J. Manzambi,SC Freiburg,20,2,339,1.3145,0.5566,
D. Gleiber,1. FSV Mainz 05,9,0,0,0.0,0.0,
B. Touré,TSG Hoffenheim,14,0,618,1.3705,1.8206,
