Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
K. Bartley,West Bromwich Albion,33,2612,466,0,24.0,6,0,1.874,1.875,0.8605,25,179,23,111,4,148,1686,1500,158,1,3,11,Defender
S. Cook,Queens Park Rangers,32,2622,467,0,19.0,8,2,1.4534,1.489,1.1702,19,171,24,74,5,111,1398,1097,309,19,0,7,Defender
C. Forsyth,Derby County,46,2554,468,4,18.0,6,3,2.0275,2.001,1.8599,36,134,30,93,2,145,1091,780,203,35,4,12,Defender
A. Hughes,Preston North End,41,3238,469,1,9.0,3,0,0.6581,0.533,1.5122,73,155,36,129,3,236,1744,1330,278,42,0,15,Defender
D. Batth,Derby County,39,3016,470,0,17.0,6,2,2.1173,2.087,0.8756,31,239,37,154,7,206,1545,1236,271,0,1,4,Defender
J. Robinson,Birmingham City,43,3114,471,0,14.0,2,0,0.9026,0.903,1.0327,40,180,25,111,4,190,1958,1697,267,3,0,11,Defender
J. Egan,Hull City,42,905,472,0,5.0,1,0,0.2646,0.279,0.0884,2,70,3,33,1,38,399,331,56,0,0,5,Defender
L. Ayling,Middlesbrough,30,1953,473,2,14.0,2,0,0.6737,0.672,2.9548,60,33,23,32,3,124,1378,1172,142,57,4,23,Defender
J. Bidwell,Coventry City,42,2080,474,1,12.0,1,1,1.5709,1.05,2.4862,20,60,18,45,2,82,786,586,77,84,5,22,Defender
R. Leonard,Millwall,34,2631,475,1,12.0,0,0,0.8765,0.875,2.2475,77,103,35,80,3,212,1031,679,251,61,2,30,Defender
B. Gibson,Stoke City,33,1947,476,0,8.0,4,3,1.1086,1.109,0.1351,14,112,17,61,1,88,1423,1190,241,0,0,2,Defender
D. Lenihan,Middlesbrough,3,0,477,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
S. Bradley,Derby County,22,305,478,0,1.0,1,0,0.2068,0.207,0.067,2,28,5,7,0,11,100,79,9,1,0,0,Defender
M. Wallace,Huddersfield Town,30,732,479,0,5.0,1,0,0.2527,0.253,0.038,7,59,5,36,1,47,335,252,67,1,0,1,Defender
M. Ihiekwe,Blackpool,29,1820,480,0,22.0,8,2,1.6226,1.66,0.2876,17,131,19,99,3,130,935,791,80,0,0,6,Defender
J. Bryan,Millwall,40,3283,481,1,24.0,6,1,1.3331,1.341,4.3271,90,113,69,56,9,203,1267,934,236,164,7,50,Defender
K. Naismith,Bristol City,31,763,482,0,3.0,0,0,0.062,0.062,0.1889,19,47,6,38,2,74,404,307,65,4,0,3,Defender
C. Chambers,Cardiff City,41,3520,483,1,30.0,9,2,1.5343,1.515,1.7743,73,144,52,90,8,187,2059,1682,263,20,1,24,Defender
J. Whatmough,Huddersfield Town,30,1130,484,1,5.0,1,0,0.2918,0.232,0.6519,27,76,13,48,3,82,644,523,98,2,1,3,Defender
S. Ajayi,Hull City,17,1230,485,0,5.0,1,0,0.4409,0.44,0.1311,12,54,11,30,0,49,814,706,85,3,0,1,Defender
L. Lindsay,Preston North End,39,2625,486,1,22.0,5,1,1.8703,1.993,0.4614,39,221,50,140,6,201,1372,1080,184,1,3,6,Defender
Y. Ribeiro,Blackburn Rovers,15,1350,487,1,8.0,0,0,0.5971,0.654,1.5453,24,50,16,26,4,73,682,524,86,74,2,7,Defender
J. Cooper,Millwall,36,3195,488,1,43.0,12,3,2.5734,2.686,0.7828,33,234,21,183,8,235,1336,1004,276,1,1,11,Defender
M. Clarke,Derby County,43,2478,489,0,18.0,5,3,2.3076,2.053,1.7444,54,176,36,107,3,184,1357,1111,213,6,5,14,Defender
D. Fry,Middlesbrough,27,1416,490,0,4.0,2,0,0.4469,0.446,0.461,8,140,21,65,0,79,1077,972,100,0,1,2,Defender
P. Ng,Cardiff City,37,2790,491,1,25.0,7,1,1.6145,1.572,2.4536,79,92,26,50,8,210,1331,1020,195,41,2,29,Defender
C. Elder,Derby County,31,2155,492,3,9.0,1,0,0.4092,0.379,2.6654,42,63,27,56,7,127,757,550,70,115,6,30,Defender
L. Gooch,Huddersfield Town,24,1053,493,1,8.0,2,0,0.2282,0.227,0.8112,31,17,13,5,5,49,313,212,60,66,2,5,Defender
J. Clarke-Salter,Queens Park Rangers,14,759,494,0,3.0,1,0,0.1682,0.168,0.3001,14,39,4,17,1,35,391,335,59,2,0,4,Defender
J. Dasilva,Coventry City,47,2019,495,1,5.0,1,0,0.1967,0.21,1.7273,61,48,24,16,2,104,993,839,58,55,2,19,Defender
R. Nyambe,Reading,20,1127,496,0,,0,0,0.0,,0.2702,28,22,13,15,0,57,383,299,44,12,0,2,Defender
R. Dickie,Bristol City,36,3084,497,1,22.0,6,2,2.4911,2.39,0.9001,34,224,33,171,5,240,1989,1676,211,0,1,5,Defender
G. Edmundson,Middlesbrough,31,2093,498,0,11.0,2,1,1.9452,2.369,0.23,23,117,22,36,1,75,1491,1340,147,0,0,3,Defender
J. Johnson,Luton Town,19,477,499,0,1.0,0,0,0.0391,0.039,0.1566,10,14,2,9,1,25,160,122,21,10,1,3,Defender
L. Coyle,Hull City,44,3722,500,2,31.0,6,1,0.9882,1.053,5.4735,98,141,26,52,12,241,1919,1575,212,166,7,35,Defender
C. Brittain,Middlesbrough,34,2663,501,5,18.0,3,2,1.1172,1.089,4.6172,56,111,21,40,7,144,1166,963,135,123,8,45,Defender
J. Tymon,Swansea City,45,3941,502,7,24.0,10,2,2.7226,1.944,9.3421,47,78,59,21,6,128,1824,1532,124,266,15,81,Defender
J. Tanganga,Sheffield United,40,3553,503,0,44.0,9,2,2.5742,2.484,0.8981,56,217,36,123,10,233,1336,1041,240,6,1,5,Defender
C. Styles,West Bromwich Albion,38,2613,504,1,24.0,7,3,1.7354,1.76,1.8766,65,87,40,43,8,159,1330,1097,125,48,1,16,Defender
M. Juel Andersen,Luton Town,26,419,505,0,3.0,0,0,0.3707,0.371,0.0891,6,33,6,23,1,30,165,125,26,1,0,1,Defender
A. Jones,Middlesbrough,44,3391,506,0,8.0,3,0,0.5006,0.515,0.7249,27,181,36,87,3,137,2399,2048,324,5,1,6,Defender
H. Pickering,Blackburn Rovers,24,1040,507,1,3.0,1,0,0.3198,0.32,1.5855,17,38,10,18,1,50,439,365,65,45,1,7,Defender
J. Storey,Preston North End,39,3064,508,1,19.0,2,1,1.2545,1.174,0.7487,52,106,57,100,6,195,1434,1107,211,15,2,11,Defender
J. Latibeaudiere,Coventry City,48,2580,509,0,8.0,1,0,0.9202,0.921,1.3408,51,115,29,63,0,151,1621,1424,153,9,3,6,Defender
B. Wilmot,Stoke City,40,3248,510,0,22.0,7,3,1.8575,1.855,1.1753,54,219,45,80,6,161,1810,1433,312,17,2,9,Defender
C. Mepham,West Bromwich Albion,44,3370,511,0,14.0,6,1,1.6868,1.797,0.9203,53,246,35,112,3,189,2048,1781,212,0,0,12,Defender
L. Gibson,Preston North End,39,3256,512,1,22.0,6,2,2.1896,2.19,0.5296,53,203,37,92,5,184,2002,1676,254,10,0,12,Defender
C. Bramall,Luton Town,17,472,513,0,4.0,0,0,0.1359,0.133,0.556,6,13,3,14,1,28,160,118,19,19,0,4,Defender
S. McLoughlin,Blackburn Rovers,45,3215,514,1,30.0,11,0,1.5259,1.588,0.9425,35,202,36,108,7,172,1972,1618,235,24,1,11,Defender
P. Valentín,Preston North End,42,1528,515,0,9.0,2,1,0.855,0.854,2.242,43,49,21,21,4,97,426,303,51,72,4,17,Defender
H. Burrows,Sheffield United,49,3743,516,6,55.0,17,6,4.6817,2.452,7.4515,82,100,32,38,27,193,1638,1275,232,225,12,59,Defender
C. Pring,Bristol City,34,2299,517,3,7.0,2,0,0.436,0.437,2.5825,59,89,25,62,2,179,1205,921,126,54,3,22,Defender
R. Norrington-Davies,Queens Park Rangers,28,270,518,0,1.0,0,0,0.0265,0.041,0.0289,4,11,3,5,1,10,121,94,16,6,0,2,Defender
J. Dunne,Queens Park Rangers,45,4050,519,2,55.0,19,5,4.8046,4.917,3.0506,113,246,46,210,10,376,2053,1533,288,40,4,24,Defender
