Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
K. Bartley,West Bromwich Albion,0,3,24.0,6,0,2612,1.874,1.875,0.8605,
S. Cook,Queens Park Rangers,0,0,19.0,8,2,2622,1.4534,1.489,1.1702,
C. Forsyth,Derby County,4,4,18.0,6,3,2554,2.0275,2.001,1.8599,
A. Hughes,Preston North End,1,0,9.0,3,0,3238,0.6581,0.533,1.5122,
D. Batth,Derby County,0,1,17.0,6,2,3016,2.1173,2.087,0.8756,
J. Robinson,Birmingham City,0,0,14.0,2,0,3114,0.9026,0.903,1.0327,
J. Egan,Hull City,0,0,5.0,1,0,905,0.2646,0.279,0.0884,
L. Ayling,Middlesbrough,2,4,14.0,2,0,1953,0.6737,0.672,2.9548,
J. Bidwell,Coventry City,1,5,12.0,1,1,2080,1.5709,1.05,2.4862,
R. Leonard,Millwall,1,2,12.0,0,0,2631,0.8765,0.875,2.2475,
B. Gibson,Stoke City,0,0,8.0,4,3,1947,1.1086,1.109,0.1351,
D. Lenihan,Middlesbrough,0,0,,0,0,0,0.0,,0.0,
S. Bradley,Derby County,0,0,1.0,1,0,305,0.2068,0.207,0.067,
M. Wallace,Huddersfield Town,0,0,5.0,1,0,732,0.2527,0.253,0.038,
M. Ihiekwe,Blackpool,0,0,22.0,8,2,1820,1.6226,1.66,0.2876,
J. Bryan,Millwall,1,7,24.0,6,1,3283,1.3331,1.341,4.3271,
K. Naismith,Bristol City,0,0,3.0,0,0,763,0.062,0.062,0.1889,
C. Chambers,Cardiff City,1,1,30.0,9,2,3520,1.5343,1.515,1.7743,
J. Whatmough,Huddersfield Town,1,1,5.0,1,0,1130,0.2918,0.232,0.6519,
S. Ajayi,Hull City,0,0,5.0,1,0,1230,0.4409,0.44,0.1311,
L. Lindsay,Preston North End,1,3,22.0,5,1,2625,1.8703,1.993,0.4614,
Y. Ribeiro,Blackburn Rovers,1,2,8.0,0,0,1350,0.5971,0.654,1.5453,
J. Cooper,Millwall,1,1,43.0,12,3,3195,2.5734,2.686,0.7828,
M. Clarke,Derby County,0,5,18.0,5,3,2478,2.3076,2.053,1.7444,
D. Fry,Middlesbrough,0,1,4.0,2,0,1416,0.4469,0.446,0.461,
P. Ng,Cardiff City,1,2,25.0,7,1,2790,1.6145,1.572,2.4536,
C. Elder,Derby County,3,6,9.0,1,0,2155,0.4092,0.379,2.6654,
L. Gooch,Huddersfield Town,1,2,8.0,2,0,1053,0.2282,0.227,0.8112,
J. Clarke-Salter,Queens Park Rangers,0,0,3.0,1,0,759,0.1682,0.168,0.3001,
J. Dasilva,Coventry City,1,2,5.0,1,0,2019,0.1967,0.21,1.7273,
R. Nyambe,Reading,0,0,,0,0,1127,0.0,,0.2702,
R. Dickie,Bristol City,1,1,22.0,6,2,3084,2.4911,2.39,0.9001,
G. Edmundson,Middlesbrough,0,0,11.0,2,1,2093,1.9452,2.369,0.23,
J. Johnson,Luton Town,0,1,1.0,0,0,477,0.0391,0.039,0.1566,
L. Coyle,Hull City,2,7,31.0,6,1,3722,0.9882,1.053,5.4735,
C. Brittain,Middlesbrough,5,8,18.0,3,2,2663,1.1172,1.089,4.6172,
J. Tymon,Swansea City,7,15,24.0,10,2,3941,2.7226,1.944,9.3421,
J. Tanganga,Sheffield United,0,1,44.0,9,2,3553,2.5742,2.484,0.8981,
C. Styles,West Bromwich Albion,1,1,24.0,7,3,2613,1.7354,1.76,1.8766,
M. Juel Andersen,Luton Town,0,0,3.0,0,0,419,0.3707,0.371,0.0891,
A. Jones,Middlesbrough,0,1,8.0,3,0,3391,0.5006,0.515,0.7249,
H. Pickering,Blackburn Rovers,1,1,3.0,1,0,1040,0.3198,0.32,1.5855,
J. Storey,Preston North End,1,2,19.0,2,1,3064,1.2545,1.174,0.7487,
J. Latibeaudiere,Coventry City,0,3,8.0,1,0,2580,0.9202,0.921,1.3408,
B. Wilmot,Stoke City,0,2,22.0,7,3,3248,1.8575,1.855,1.1753,
C. Mepham,West Bromwich Albion,0,0,14.0,6,1,3370,1.6868,1.797,0.9203,
L. Gibson,Preston North End,1,0,22.0,6,2,3256,2.1896,2.19,0.5296,
C. Bramall,Luton Town,0,0,4.0,0,0,472,0.1359,0.133,0.556,
S. McLoughlin,Blackburn Rovers,1,1,30.0,11,0,3215,1.5259,1.588,0.9425,
P. Valentín,Preston North End,0,4,9.0,2,1,1528,0.855,0.854,2.242,
H. Burrows,Sheffield United,6,12,55.0,17,6,3743,4.6817,2.452,7.4515,
C. Pring,Bristol City,3,3,7.0,2,0,2299,0.436,0.437,2.5825,
R. Norrington-Davies,Queens Park Rangers,0,0,1.0,0,0,270,0.0265,0.041,0.0289,
J. Dunne,Queens Park Rangers,2,4,55.0,19,5,4050,4.8046,4.917,3.0506,
N. Borges,Bristol City,3,6,19.0,4,1,2898,1.3869,1.371,2.522,
N. Phillips,West Bromwich Albion,3,1,25.0,3,1,2241,1.9289,1.926,1.0634,
R. Atkinson,Bristol City,1,1,6.0,2,2,1101,0.5495,0.548,0.7031,
L. Kitching,Coventry City,1,1,16.0,4,0,2494,1.5052,1.517,1.2489,
G. Tanner,Bristol City,0,2,12.0,5,2,2104,0.5988,0.624,2.1666,
J. Key,Swansea City,3,5,22.0,8,1,3470,1.3296,1.329,3.7553,
R. Giles,Hull City,0,3,7.0,2,0,1245,0.2613,0.261,0.993,
B. Cabango,Swansea City,1,0,23.0,5,2,4034,2.6531,2.572,1.1902,
J. Shackleton,Sheffield United,0,0,4.0,2,0,300,0.2821,0.276,0.0577,
L. Engel,Middlesbrough,0,0,8.0,0,0,379,0.2226,0.223,0.3602,
M. van Ewijk,Coventry City,4,13,31.0,8,2,4223,2.1171,2.15,6.5401,
S. McCallum,Sheffield United,0,1,15.0,3,2,1053,1.494,1.5,0.5094,
P. Kioso,Peterborough United,1,2,6.0,0,0,2307,0.5646,0.578,0.4679,
F. Seriki,Sheffield United,1,2,8.0,3,0,1098,0.492,0.492,1.3486,
W. Fish,Cardiff City,0,0,10.0,3,0,1380,0.9343,0.821,0.226,
N. Ogbeta,Barnsley,1,1,4.0,1,1,627,0.4118,0.386,0.6879,
D. Sanderson,Birmingham City,0,0,,0,0,576,0.0,,0.0144,
H. Carter,Blackburn Rovers,1,1,9.0,1,0,1365,0.5308,0.518,0.9423,
T. Mengi,Luton Town,1,1,15.0,5,1,1570,0.8978,0.897,0.3052,
H. Roberts,Reading,1,2,8.0,3,1,1679,0.2515,0.281,2.1226,
L. McNally,Bristol City,1,0,29.0,8,3,2326,2.6565,2.56,0.3105,
M. McGuinness,Sheffield United,3,3,47.0,9,3,3754,3.6824,3.64,1.6701,
M. Talovierov,Stoke City,1,1,3.0,1,1,934,0.2182,0.158,0.1164,
M. Jacob,Hull City,0,0,6.0,4,1,445,0.3954,0.368,0.2882,
C. Drameh,Hull City,1,2,13.0,1,1,1662,0.4431,0.445,1.5298,
D. McNamara,Millwall,0,1,1.0,1,0,698,0.0214,0.021,0.3706,
F. Burns,Reading,0,0,,0,0,322,0.0,,0.0134,
E. Cashin,Blackburn Rovers,0,1,16.0,7,1,1788,1.6434,1.758,0.5221,
A. Famewo,Hull City,1,0,4.0,1,0,942,0.2982,0.298,0.6474,
B. Lawal,Stoke City,0,1,1.0,0,0,211,0.1317,0.1,0.1456,
R. Edwards,Queens Park Rangers,0,0,13.0,3,2,1819,1.711,1.712,0.2531,
E. Bocat,Stoke City,1,4,17.0,4,0,2046,0.7613,0.767,2.01,
T. Crama,Millwall,2,5,10.0,1,0,1635,0.9324,0.935,2.2421,
J. Bagan,Cardiff City,1,1,2.0,2,0,1623,0.1938,0.201,0.5741,
A. Smith,Hull City,0,0,,0,0,0,0.0,,0.0,
S. Klingen Langås,Derby County,0,0,4.0,1,0,1121,0.4891,0.489,0.057,
B. Thomas,Coventry City,0,1,48.0,12,5,3544,5.1551,4.922,1.5061,
C. Taylor,West Bromwich Albion,0,0,,0,0,0,0.0,,0.0,
J. Rooney,Barnsley,0,0,,0,0,0,0.0,,0.0,
J. Tchamadeu,Stoke City,2,7,17.0,3,1,3140,1.6792,1.688,1.8057,
L. Fuhr Hjelde,Sheffield United,1,0,,0,0,443,0.0,,0.0913,
A. Phillips,Stoke City,0,1,12.0,5,0,3082,0.8912,1.002,0.3214,
C. Hughes,Hull City,1,1,16.0,5,1,2348,0.5316,0.528,0.8907,
R. Walters,Blackpool,0,0,2.0,0,0,981,0.0563,0.056,0.3651,
C. Scanlon,Cardiff City,0,0,3.0,1,1,169,0.2185,0.228,0.0062,
J. Debayo,Hull City,0,0,,0,0,1,0.0,,0.0,
A. Mayor,Millwall,0,0,,0,0,0,0.0,,0.0,
DLD. Lawlor,Cardiff City,0,0,,0,0,57,0.0,,0.0,
RKR. Kpakio,Cardiff City,1,0,1.0,0,0,113,0.0141,0.013,0.0702,
JMJ. Mohammed,West Bromwich Albion,0,0,,0,0,0,0.0,,0.0,
S. Parker,Swansea City,0,0,2.0,0,0,93,0.0691,0.13,0.0067,
EEsquerdinha,Queens Park Rangers,0,0,,0,0,0,0.0,,0.0,
JCJ. Campbell-Slowey,Bristol City,0,0,,0,0,0,0.0,,0.0,
TTT. Tarry,Preston North End,0,0,,0,0,0,0.0,,0.0,
