Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
K. Bartley,West Bromwich Albion,33,0,2612,1.874,0.8605,
S. Cook,Queens Park Rangers,32,2,2622,1.4534,1.1702,
C. Forsyth,Derby County,46,3,2554,2.0275,1.8599,
A. Hughes,Preston North End,41,0,3238,0.6581,1.5122,
D. Batth,Derby County,39,2,3016,2.1173,0.8756,
J. Robinson,Birmingham City,43,0,3114,0.9026,1.0327,
J. Egan,Hull City,42,0,905,0.2646,0.0884,
L. Ayling,Middlesbrough,30,0,1953,0.6737,2.9548,
J. Bidwell,Coventry City,42,1,2080,1.5709,2.4862,
R. Leonard,Millwall,34,0,2631,0.8765,2.2475,
B. Gibson,Stoke City,33,3,1947,1.1086,0.1351,
D. Lenihan,Middlesbrough,3,0,0,0,0,
S. Bradley,Derby County,22,0,305,0.2068,0.067,
M. Wallace,Huddersfield Town,30,0,732,0.2527,0.038,
M. Ihiekwe,Blackpool,29,2,1820,1.6226,0.2876,
J. Bryan,Millwall,40,1,3283,1.3331,4.3271,
K. Naismith,Bristol City,31,0,763,0.062,0.1889,
C. Chambers,Cardiff City,41,2,3520,1.5343,1.7743,
J. Whatmough,Huddersfield Town,30,0,1130,0.2918,0.6519,
S. Ajayi,Hull City,17,0,1230,0.4409,0.1311,
L. Lindsay,Preston North End,39,1,2625,1.8703,0.4614,
Y. Ribeiro,Blackburn Rovers,15,0,1350,0.5971,1.5453,
J. Cooper,Millwall,36,3,3195,2.5734,0.7828,
M. Clarke,Derby County,43,3,2478,2.3076,1.7444,
D. Fry,Middlesbrough,27,0,1416,0.4469,0.461,
P. Ng,Cardiff City,37,1,2790,1.6145,2.4536,
C. Elder,Derby County,31,0,2155,0.4092,2.6654,
L. Gooch,Huddersfield Town,24,0,1053,0.2282,0.8112,
J. Clarke-Salter,Queens Park Rangers,14,0,759,0.1682,0.3001,
J. Dasilva,Coventry City,47,0,2019,0.1967,1.7273,
R. Nyambe,Reading,20,0,1127,0,0.2702,
R. Dickie,Bristol City,36,2,3084,2.4911,0.9001,
G. Edmundson,Middlesbrough,31,1,2093,1.9452,0.23,
J. Johnson,Luton Town,19,0,477,0.0391,0.1566,
L. Coyle,Hull City,44,1,3722,0.9882,5.4735,
C. Brittain,Middlesbrough,34,2,2663,1.1172,4.6172,
J. Tymon,Swansea City,45,2,3941,2.7226,9.3421,
J. Tanganga,Sheffield United,40,2,3553,2.5742,0.8981,
C. Styles,West Bromwich Albion,38,3,2613,1.7354,1.8766,
M. Juel Andersen,Luton Town,26,0,419,0.3707,0.0891,
A. Jones,Middlesbrough,44,0,3391,0.5006,0.7249,
H. Pickering,Blackburn Rovers,24,0,1040,0.3198,1.5855,
J. Storey,Preston North End,39,1,3064,1.2545,0.7487,
J. Latibeaudiere,Coventry City,48,0,2580,0.9202,1.3408,
B. Wilmot,Stoke City,40,3,3248,1.8575,1.1753,
C. Mepham,West Bromwich Albion,44,1,3370,1.6868,0.9203,
L. Gibson,Preston North End,39,2,3256,2.1896,0.5296,
C. Bramall,Luton Town,17,0,472,0.1359,0.556,
