Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
K. Bartley,West Bromwich Albion,25,179,23,111,4,2612,148,
S. Cook,Queens Park Rangers,19,171,24,74,5,2622,111,
C. Forsyth,Derby County,36,134,30,93,2,2554,145,
A. Hughes,Preston North End,73,155,36,129,3,3238,236,
D. Batth,Derby County,31,239,37,154,7,3016,206,
J. Robinson,Birmingham City,40,180,25,111,4,3114,190,
J. Egan,Hull City,2,70,3,33,1,905,38,
L. Ayling,Middlesbrough,60,33,23,32,3,1953,124,
J. Bidwell,Coventry City,20,60,18,45,2,2080,82,
R. Leonard,Millwall,77,103,35,80,3,2631,212,
B. Gibson,Stoke City,14,112,17,61,1,1947,88,
D. Lenihan,Middlesbrough,0,0,0,0,0,0,0,
S. Bradley,Derby County,2,28,5,7,0,305,11,
M. Wallace,Huddersfield Town,7,59,5,36,1,732,47,
M. Ihiekwe,Blackpool,17,131,19,99,3,1820,130,
J. Bryan,Millwall,90,113,69,56,9,3283,203,
K. Naismith,Bristol City,19,47,6,38,2,763,74,
C. Chambers,Cardiff City,73,144,52,90,8,3520,187,
J. Whatmough,Huddersfield Town,27,76,13,48,3,1130,82,
S. Ajayi,Hull City,12,54,11,30,0,1230,49,
L. Lindsay,Preston North End,39,221,50,140,6,2625,201,
Y. Ribeiro,Blackburn Rovers,24,50,16,26,4,1350,73,
J. Cooper,Millwall,33,234,21,183,8,3195,235,
M. Clarke,Derby County,54,176,36,107,3,2478,184,
D. Fry,Middlesbrough,8,140,21,65,0,1416,79,
P. Ng,Cardiff City,79,92,26,50,8,2790,210,
C. Elder,Derby County,42,63,27,56,7,2155,127,
L. Gooch,Huddersfield Town,31,17,13,5,5,1053,49,
J. Clarke-Salter,Queens Park Rangers,14,39,4,17,1,759,35,
J. Dasilva,Coventry City,61,48,24,16,2,2019,104,
R. Nyambe,Reading,28,22,13,15,0,1127,57,
R. Dickie,Bristol City,34,224,33,171,5,3084,240,
