Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
K. Bartley,West Bromwich Albion,1686,1500,158,0,1,3,2612,11,
S. Cook,Queens Park Rangers,1398,1097,309,0,19,0,2622,7,
C. Forsyth,Derby County,1091,780,203,4,35,4,2554,12,
A. Hughes,Preston North End,1744,1330,278,1,42,0,3238,15,
D. Batth,Derby County,1545,1236,271,0,0,1,3016,4,
J. Robinson,Birmingham City,1958,1697,267,0,3,0,3114,11,
J. Egan,Hull City,399,331,56,0,0,0,905,5,
L. Ayling,Middlesbrough,1378,1172,142,2,57,4,1953,23,
J. Bidwell,Coventry City,786,586,77,1,84,5,2080,22,
R. Leonard,Millwall,1031,679,251,1,61,2,2631,30,
B. Gibson,Stoke City,1423,1190,241,0,0,0,1947,2,
D. Lenihan,Middlesbrough,0,0,0,0,0,0,0,0,
S. Bradley,Derby County,100,79,9,0,1,0,305,0,
M. Wallace,Huddersfield Town,335,252,67,0,1,0,732,1,
M. Ihiekwe,Blackpool,935,791,80,0,0,0,1820,6,
J. Bryan,Millwall,1267,934,236,1,164,7,3283,50,
K. Naismith,Bristol City,404,307,65,0,4,0,763,3,
C. Chambers,Cardiff City,2059,1682,263,1,20,1,3520,24,
J. Whatmough,Huddersfield Town,644,523,98,1,2,1,1130,3,
S. Ajayi,Hull City,814,706,85,0,3,0,1230,1,
L. Lindsay,Preston North End,1372,1080,184,1,1,3,2625,6,
Y. Ribeiro,Blackburn Rovers,682,524,86,1,74,2,1350,7,
J. Cooper,Millwall,1336,1004,276,1,1,1,3195,11,
M. Clarke,Derby County,1357,1111,213,0,6,5,2478,14,
D. Fry,Middlesbrough,1077,972,100,0,0,1,1416,2,
P. Ng,Cardiff City,1331,1020,195,1,41,2,2790,29,
C. Elder,Derby County,757,550,70,3,115,6,2155,30,
L. Gooch,Huddersfield Town,313,212,60,1,66,2,1053,5,
J. Clarke-Salter,Queens Park Rangers,391,335,59,0,2,0,759,4,
J. Dasilva,Coventry City,993,839,58,1,55,2,2019,19,
R. Nyambe,Reading,383,299,44,0,12,0,1127,2,
R. Dickie,Bristol City,1989,1676,211,1,0,1,3084,5,
G. Edmundson,Middlesbrough,1491,1340,147,0,0,0,2093,3,
J. Johnson,Luton Town,160,122,21,0,10,1,477,3,
L. Coyle,Hull City,1919,1575,212,2,166,7,3722,35,
C. Brittain,Middlesbrough,1166,963,135,5,123,8,2663,45,
J. Tymon,Swansea City,1824,1532,124,7,266,15,3941,81,
J. Tanganga,Sheffield United,1336,1041,240,0,6,1,3553,5,
C. Styles,West Bromwich Albion,1330,1097,125,1,48,1,2613,16,
M. Juel Andersen,Luton Town,165,125,26,0,1,0,419,1,
A. Jones,Middlesbrough,2399,2048,324,0,5,1,3391,6,
H. Pickering,Blackburn Rovers,439,365,65,1,45,1,1040,7,
J. Storey,Preston North End,1434,1107,211,1,15,2,3064,11,
J. Latibeaudiere,Coventry City,1621,1424,153,0,9,3,2580,6,
B. Wilmot,Stoke City,1810,1433,312,0,17,2,3248,9,
C. Mepham,West Bromwich Albion,2048,1781,212,0,0,0,3370,12,
L. Gibson,Preston North End,2002,1676,254,1,10,0,3256,12,
C. Bramall,Luton Town,160,118,19,0,19,0,472,4,
S. McLoughlin,Blackburn Rovers,1972,1618,235,1,24,1,3215,11,
P. Valentín,Preston North End,426,303,51,0,72,4,1528,17,
H. Burrows,Sheffield United,1638,1275,232,6,225,12,3743,59,
C. Pring,Bristol City,1205,921,126,3,54,3,2299,22,
R. Norrington-Davies,Queens Park Rangers,121,94,16,0,6,0,270,2,
J. Dunne,Queens Park Rangers,2053,1533,288,2,40,4,4050,24,
N. Borges,Bristol City,1381,1185,84,3,49,6,2898,22,
N. Phillips,West Bromwich Albion,835,634,143,3,5,1,2241,10,
R. Atkinson,Bristol City,470,360,59,1,0,1,1101,3,
L. Kitching,Coventry City,1453,1189,205,1,6,1,2494,15,
G. Tanner,Bristol City,1156,971,85,0,34,2,2104,14,
J. Key,Swansea City,1931,1602,164,3,111,5,3470,25,
R. Giles,Hull City,611,494,64,0,79,3,1245,13,
B. Cabango,Swansea City,3270,2826,391,1,4,0,4034,14,
J. Shackleton,Sheffield United,142,116,9,0,1,0,300,1,
L. Engel,Middlesbrough,230,182,25,0,19,0,379,8,
M. van Ewijk,Coventry City,1866,1517,187,4,146,13,4223,59,
S. McCallum,Sheffield United,420,314,55,0,30,1,1053,7,
P. Kioso,Peterborough United,881,669,114,1,32,2,2307,6,
F. Seriki,Sheffield United,427,365,23,1,31,2,1098,10,
W. Fish,Cardiff City,531,429,72,0,3,0,1380,5,
N. Ogbeta,Barnsley,195,154,25,1,21,1,627,4,
D. Sanderson,Birmingham City,297,258,34,0,0,0,576,1,
H. Carter,Blackburn Rovers,766,622,120,1,13,1,1365,5,
T. Mengi,Luton Town,718,555,145,1,7,1,1570,3,
H. Roberts,Reading,671,491,92,1,58,2,1679,22,
L. McNally,Bristol City,1120,874,128,1,2,0,2326,9,
M. McGuinness,Sheffield United,1517,1153,258,3,1,3,3754,8,
M. Talovierov,Stoke City,323,242,74,1,3,1,934,2,
M. Jacob,Hull City,223,157,37,0,5,0,445,2,
C. Drameh,Hull City,1032,865,94,1,27,2,1662,15,
D. McNamara,Millwall,193,144,38,0,5,1,698,2,
F. Burns,Reading,122,100,14,0,0,0,322,0,
E. Cashin,Blackburn Rovers,1029,814,238,0,7,1,1788,4,
A. Famewo,Hull City,468,375,67,1,0,0,942,2,
B. Lawal,Stoke City,55,42,8,0,1,1,211,2,
R. Edwards,Queens Park Rangers,1029,892,102,0,2,0,1819,5,
E. Bocat,Stoke City,800,606,89,1,61,4,2046,15,
T. Crama,Millwall,561,354,92,2,51,5,1635,15,
J. Bagan,Cardiff City,654,518,116,1,21,1,1623,7,
A. Smith,Hull City,0,0,0,0,0,0,0,0,
S. Klingen Langås,Derby County,435,338,82,0,1,0,1121,0,
B. Thomas,Coventry City,2430,1984,359,0,3,1,3544,7,
C. Taylor,West Bromwich Albion,0,0,0,0,0,0,0,0,
J. Rooney,Barnsley,0,0,0,0,0,0,0,0,
J. Tchamadeu,Stoke City,1055,809,145,2,63,7,3140,26,
L. Fuhr Hjelde,Sheffield United,203,151,30,1,6,0,443,3,
A. Phillips,Stoke City,1489,1253,166,0,1,1,3082,4,
C. Hughes,Hull City,1514,1294,209,1,10,1,2348,9,
R. Walters,Blackpool,342,276,37,0,14,0,981,1,
C. Scanlon,Cardiff City,40,35,0,0,3,0,169,0,
J. Debayo,Hull City,0,0,0,0,0,0,1,0,
A. Mayor,Millwall,0,0,0,0,0,0,0,0,
DLD. Lawlor,Cardiff City,29,25,4,0,0,0,57,0,
RKR. Kpakio,Cardiff City,49,45,3,1,2,0,113,1,
JMJ. Mohammed,West Bromwich Albion,0,0,0,0,0,0,0,0,
S. Parker,Swansea City,37,32,0,0,4,0,93,0,
EEsquerdinha,Queens Park Rangers,0,0,0,0,0,0,0,0,
JCJ. Campbell-Slowey,Bristol City,0,0,0,0,0,0,0,0,
TTT. Tarry,Preston North End,0,0,0,0,0,0,0,0,
