Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
T. Bradshaw,Barnsley,25,817,574,0,22.0,5,1,3.2187,2.44,0.0883,4,9,1,28,6,42,117,79,1,1,0,3,Forward
W. Keane,Reading,33,1144,575,0,14.0,4,3,2.7092,2.822,0.7111,5,18,3,13,4,31,280,226,18,2,1,5,Forward
M. Smith,Preston North End,43,1849,576,4,59.0,26,8,7.9408,7.554,3.2356,14,48,6,128,10,158,467,284,19,10,7,31,Forward
N. Wells,Luton Town,44,2133,577,4,58.0,28,10,8.4405,8.18,2.5107,29,4,13,26,16,96,465,326,11,29,4,21,Forward
C. Robinson,Cardiff City,35,2031,578,1,58.0,27,12,7.0565,7.321,2.0969,7,5,6,11,16,54,473,367,38,26,5,22,Forward
C. Morris,Derby County,42,3133,579,2,64.0,28,8,8.4295,6.676,2.9619,16,54,5,234,17,329,885,537,24,25,4,32,Forward
S. Gallagher,Stoke City,23,1018,580,1,24.0,8,3,3.4323,3.437,0.3522,16,27,3,70,2,104,173,83,8,7,3,7,Forward
R. Hardie,Huddersfield Town,38,2276,581,3,63.0,25,10,12.2892,9.941,1.0036,13,19,6,33,17,63,233,145,19,14,4,16,Forward
L. Salvesen,Derby County,8,488,582,0,13.0,8,1,1.4186,1.384,0.1729,4,4,0,15,4,22,79,41,4,3,0,1,Forward
J. Yates,Luton Town,42,3436,583,4,58.0,25,10,11.4484,11.051,1.4239,14,20,7,46,13,101,490,356,19,15,4,24,Forward
K. Nisbet,Millwall,1,17,584,0,,0,0,0.0,,0.0,1,0,0,0,0,1,2,1,0,1,0,0,Forward
H. Wright,Coventry City,29,2157,585,1,65.0,27,12,11.4885,11.181,2.208,18,25,6,65,13,143,375,261,9,33,7,22,Forward
T. Chong,Sheffield United,32,2039,586,1,28.0,8,2,2.3573,2.336,1.7337,23,17,8,12,14,114,520,409,37,58,3,22,Forward
N. Ennis,Blackpool,21,208,587,0,3.0,1,0,0.2819,0.218,0.0546,1,3,0,6,2,10,33,22,4,1,0,0,Forward
T. Campbell,Sheffield United,40,1764,588,2,51.0,27,11,9.2117,9.737,1.9456,5,11,0,25,12,57,303,233,12,19,5,21,Forward
S. Twine,Bristol City,37,2170,589,3,82.0,25,5,6.2634,6.292,5.0367,48,14,16,6,28,114,705,580,56,99,12,57,Forward
P. Smyth,Queens Park Rangers,43,2780,590,4,44.0,14,1,2.8904,2.931,3.2828,44,18,12,16,16,169,598,425,50,114,4,38,Forward
E. Dennis,Nottingham Forest,7,175,591,1,3.0,0,0,0.0677,0.124,0.1798,1,2,1,5,2,16,58,51,2,2,2,2,Forward
B. Thomas-Asante,Coventry City,42,1550,592,3,48.0,11,4,5.7382,5.834,2.2757,15,8,12,18,20,71,245,167,13,16,2,18,Forward
J. Maja,West Bromwich Albion,26,2075,593,2,48.0,18,12,9.992,10.049,1.7646,13,11,11,24,15,87,460,351,19,3,6,22,Forward
Z. Flemming,Millwall,36,2435,594,4,79.0,31,12,9.0436,9.291,2.2061,18,28,5,48,12,118,392,275,21,9,6,23,Forward
R. Brewster,Derby County,44,1730,595,3,40.0,7,4,4.4453,4.467,2.3578,18,38,6,30,19,80,431,342,56,33,6,25,Forward
A. Idah,Swansea City,1,29,596,0,,0,0,0.0,,0.1248,0,0,0,0,0,0,8,7,0,2,0,1,Forward
M. Langstaff,Millwall,37,1407,597,2,25.0,10,1,3.9195,3.882,1.0306,10,8,2,9,6,40,158,106,14,13,3,11,Forward
A. Kargbo,Blackburn Rovers,8,204,598,1,4.0,0,0,0.4399,0.433,0.1463,5,1,0,1,1,14,31,25,0,8,0,5,Forward
E. Adebayo,Luton Town,40,2448,599,0,69.0,32,5,12.624,12.838,1.0459,14,43,7,62,11,129,297,213,7,10,0,16,Forward
E. Riis Jacobsen,Bristol City,45,2720,600,2,70.0,30,12,10.4429,10.707,0.8181,26,16,8,45,18,116,446,294,16,14,2,24,Forward
M. Osmajić,Preston North End,35,1926,601,3,43.0,18,9,8.1289,8.425,0.5059,9,9,1,22,10,62,222,157,2,6,1,11,Forward
S. Armstrong,Bristol City,41,1591,602,0,41.0,17,3,5.1283,5.153,0.5357,3,0,3,22,8,59,237,186,4,4,0,13,Forward
K. Etete,Cardiff City,1,0,603,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
Y. Ohashi,Blackburn Rovers,37,2240,604,3,53.0,19,9,7.1045,7.198,1.7221,35,24,6,53,15,131,456,310,19,18,1,11,Forward
E. Simms,Coventry City,46,2294,605,2,62.0,28,6,10.1319,9.199,0.9843,3,16,2,78,12,95,330,209,9,13,2,21,Forward
S. Iling Junior,West Bromwich Albion,17,1072,606,2,13.0,3,1,0.5164,0.516,0.9945,26,45,11,17,2,69,415,330,42,63,2,21,Forward
L. Dobbin,Preston North End,32,975,607,0,17.0,4,2,1.4663,1.398,0.4395,11,5,2,9,9,52,276,221,16,13,0,9,Forward
Ž. Vipotnik,Swansea City,46,2099,608,0,57.0,21,7,9.678,8.6,1.0051,6,22,2,41,18,72,257,178,6,0,2,6,Forward
O. Tanner,Cardiff City,30,1385,609,2,36.0,12,2,2.9199,2.997,1.069,43,12,11,23,12,96,393,272,39,44,1,13,Forward
A. Gilbert,Middlesbrough,18,84,610,0,1.0,1,1,0.1253,0.125,0.2619,1,0,0,1,0,2,62,50,2,5,0,3,Forward
T. Cannon,Sheffield United,41,2614,611,2,80.0,36,10,10.6743,7.847,1.4732,15,27,3,73,24,118,351,223,9,16,1,17,Forward
I. Davies,Cardiff City,10,298,612,0,7.0,3,2,1.5868,1.599,0.1245,10,1,1,2,2,23,53,37,0,10,0,4,Forward
L. Cullen,Swansea City,43,3017,613,3,72.0,25,11,9.214,9.061,2.1975,37,40,8,51,21,128,735,575,40,15,6,30,Forward
J. Coburn,Middlesbrough,23,1228,614,0,28.0,12,5,6.0913,5.368,0.5324,10,18,2,67,8,101,180,100,3,8,3,10,Forward
A. Al-Hamadi,Luton Town,15,845,615,0,19.0,6,2,2.8932,2.719,0.7967,11,8,1,19,4,57,146,99,6,3,1,5,Forward
D. Dike,West Bromwich Albion,14,224,616,1,7.0,2,1,0.7367,0.737,0.5116,2,7,0,18,1,27,41,23,2,0,2,5,Forward
K. Joseph,Hull City,18,1018,617,0,14.0,6,0,2.1821,2.485,0.6386,9,23,5,32,6,52,178,104,7,12,1,5,Forward
Y. Salech,Cardiff City,20,1283,618,1,45.0,21,8,7.0143,6.137,0.7445,13,24,3,98,9,144,283,125,19,2,0,7,Forward
S. Bell,Bristol City,31,439,619,0,15.0,7,0,1.3244,1.552,0.2016,10,4,2,15,2,37,134,96,5,14,0,8,Forward
