Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
T. Bradshaw,Barnsley,25,1,817,3.2187,0.0883,
W. Keane,Reading,33,3,1144,2.7092,0.7111,
M. Smith,Preston North End,43,8,1849,7.9408,3.2356,
N. Wells,Luton Town,44,10,2133,8.4405,2.5107,
C. Robinson,Cardiff City,35,12,2031,7.0565,2.0969,
C. Morris,Derby County,42,8,3133,8.4295,2.9619,
S. Gallagher,Stoke City,23,3,1018,3.4323,0.3522,
R. Hardie,Huddersfield Town,38,10,2276,12.2892,1.0036,
L. Salvesen,Derby County,8,1,488,1.4186,0.1729,
J. Yates,Luton Town,42,10,3436,11.4484,1.4239,
K. Nisbet,Millwall,1,0,17,0,0,
H. Wright,Coventry City,29,12,2157,11.4885,2.208,
T. Chong,Sheffield United,32,2,2039,2.3573,1.7337,
N. Ennis,Blackpool,21,0,208,0.2819,0.0546,
T. Campbell,Sheffield United,40,11,1764,9.2117,1.9456,
S. Twine,Bristol City,37,5,2170,6.2634,5.0367,
P. Smyth,Queens Park Rangers,43,1,2780,2.8904,3.2828,
E. Dennis,Nottingham Forest,7,0,175,0.0677,0.1798,
B. Thomas-Asante,Coventry City,42,4,1550,5.7382,2.2757,
J. Maja,West Bromwich Albion,26,12,2075,9.992,1.7646,
Z. Flemming,Millwall,36,12,2435,9.0436,2.2061,
R. Brewster,Derby County,44,4,1730,4.4453,2.3578,
A. Idah,Swansea City,1,0,29,0,0.1248,
M. Langstaff,Millwall,37,1,1407,3.9195,1.0306,
A. Kargbo,Blackburn Rovers,8,0,204,0.4399,0.1463,
E. Adebayo,Luton Town,40,5,2448,12.624,1.0459,
E. Riis Jacobsen,Bristol City,45,12,2720,10.4429,0.8181,
M. Osmajić,Preston North End,35,9,1926,8.1289,0.5059,
S. Armstrong,Bristol City,41,3,1591,5.1283,0.5357,
K. Etete,Cardiff City,1,0,0,0,0,
Y. Ohashi,Blackburn Rovers,37,9,2240,7.1045,1.7221,
E. Simms,Coventry City,46,6,2294,10.1319,0.9843,
S. Iling Junior,West Bromwich Albion,17,1,1072,0.5164,0.9945,
L. Dobbin,Preston North End,32,2,975,1.4663,0.4395,
Ž. Vipotnik,Swansea City,46,7,2099,9.678,1.0051,
O. Tanner,Cardiff City,30,2,1385,2.9199,1.069,
A. Gilbert,Middlesbrough,18,1,84,0.1253,0.2619,
T. Cannon,Sheffield United,41,10,2614,10.6743,1.4732,
I. Davies,Cardiff City,10,2,298,1.5868,0.1245,
L. Cullen,Swansea City,43,11,3017,9.214,2.1975,
J. Coburn,Middlesbrough,23,5,1228,6.0913,0.5324,
A. Al-Hamadi,Luton Town,15,2,845,2.8932,0.7967,
D. Dike,West Bromwich Albion,14,1,224,0.7367,0.5116,
K. Joseph,Hull City,18,0,1018,2.1821,0.6386,
Y. Salech,Cardiff City,20,8,1283,7.0143,0.7445,
S. Bell,Bristol City,31,0,439,1.3244,0.2016,
T. Bany,West Bromwich Albion,6,0,68,0.139,0.0219,
D. Jebbison,Preston North End,14,0,402,1.4776,0.0826,
T. Conway,Middlesbrough,36,13,2362,12.2251,1.5943,
P. Lane,Reading,22,1,1077,1.1031,1.1027,
N. Bassette,Coventry City,37,2,935,4.8028,0.6373,
H. Leonard,Peterborough United,15,1,164,1.7052,0.1955,
J. Banel,Derby County,4,0,0,0,0,
M. Ivanović,Millwall,41,12,2181,8.3887,1.5804,
J. Dede,Middlesbrough,3,0,0,0,0,
CLC. Lennon,Barnsley,1,0,0,0,0,
LWL. Wheeldon,Derby County,7,0,1,0,0,
L. Marsh,Sheffield United,13,0,0,0,0,
KWK. Willox,Stoke City,1,0,0,0,0,
R. Kolli,Queens Park Rangers,26,4,831,1.6255,0.6043,
SKS. Kendall,Millwall,4,0,0,0,0,
I. Tyjon,Blackburn Rovers,6,0,13,0,0,
