Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
T. Bradshaw,Barnsley,4,9,1,28,6,817,42,
W. Keane,Reading,5,18,3,13,4,1144,31,
M. Smith,Preston North End,14,48,6,128,10,1849,158,
N. Wells,Luton Town,29,4,13,26,16,2133,96,
C. Robinson,Cardiff City,7,5,6,11,16,2031,54,
C. Morris,Derby County,16,54,5,234,17,3133,329,
S. Gallagher,Stoke City,16,27,3,70,2,1018,104,
R. Hardie,Huddersfield Town,13,19,6,33,17,2276,63,
L. Salvesen,Derby County,4,4,0,15,4,488,22,
J. Yates,Luton Town,14,20,7,46,13,3436,101,
K. Nisbet,Millwall,1,0,0,0,0,17,1,
H. Wright,Coventry City,18,25,6,65,13,2157,143,
T. Chong,Sheffield United,23,17,8,12,14,2039,114,
N. Ennis,Blackpool,1,3,0,6,2,208,10,
T. Campbell,Sheffield United,5,11,0,25,12,1764,57,
S. Twine,Bristol City,48,14,16,6,28,2170,114,
P. Smyth,Queens Park Rangers,44,18,12,16,16,2780,169,
E. Dennis,Nottingham Forest,1,2,1,5,2,175,16,
B. Thomas-Asante,Coventry City,15,8,12,18,20,1550,71,
J. Maja,West Bromwich Albion,13,11,11,24,15,2075,87,
Z. Flemming,Millwall,18,28,5,48,12,2435,118,
R. Brewster,Derby County,18,38,6,30,19,1730,80,
A. Idah,Swansea City,0,0,0,0,0,29,0,
M. Langstaff,Millwall,10,8,2,9,6,1407,40,
A. Kargbo,Blackburn Rovers,5,1,0,1,1,204,14,
E. Adebayo,Luton Town,14,43,7,62,11,2448,129,
E. Riis Jacobsen,Bristol City,26,16,8,45,18,2720,116,
M. Osmajić,Preston North End,9,9,1,22,10,1926,62,
S. Armstrong,Bristol City,3,0,3,22,8,1591,59,
K. Etete,Cardiff City,0,0,0,0,0,0,0,
Y. Ohashi,Blackburn Rovers,35,24,6,53,15,2240,131,
E. Simms,Coventry City,3,16,2,78,12,2294,95,
S. Iling Junior,West Bromwich Albion,26,45,11,17,2,1072,69,
L. Dobbin,Preston North End,11,5,2,9,9,975,52,
Ž. Vipotnik,Swansea City,6,22,2,41,18,2099,72,
O. Tanner,Cardiff City,43,12,11,23,12,1385,96,
A. Gilbert,Middlesbrough,1,0,0,1,0,84,2,
T. Cannon,Sheffield United,15,27,3,73,24,2614,118,
I. Davies,Cardiff City,10,1,1,2,2,298,23,
L. Cullen,Swansea City,37,40,8,51,21,3017,128,
J. Coburn,Middlesbrough,10,18,2,67,8,1228,101,
A. Al-Hamadi,Luton Town,11,8,1,19,4,845,57,
D. Dike,West Bromwich Albion,2,7,0,18,1,224,27,
K. Joseph,Hull City,9,23,5,32,6,1018,52,
Y. Salech,Cardiff City,13,24,3,98,9,1283,144,
S. Bell,Bristol City,10,4,2,15,2,439,37,
T. Bany,West Bromwich Albion,4,0,2,0,1,68,7,
D. Jebbison,Preston North End,5,2,0,4,3,402,17,
T. Conway,Middlesbrough,15,9,3,9,16,2362,62,
P. Lane,Reading,13,9,4,9,2,1077,39,
N. Bassette,Coventry City,4,9,0,13,4,935,34,
H. Leonard,Peterborough United,1,4,1,14,1,164,17,
J. Banel,Derby County,0,0,0,0,0,0,0,
M. Ivanović,Millwall,13,38,3,117,7,2181,162,
J. Dede,Middlesbrough,0,0,0,0,0,0,0,
CLC. Lennon,Barnsley,0,0,0,0,0,0,0,
LWL. Wheeldon,Derby County,0,0,0,0,0,1,0,
L. Marsh,Sheffield United,0,0,0,0,0,0,0,
KWK. Willox,Stoke City,0,0,0,0,0,0,0,
R. Kolli,Queens Park Rangers,8,10,3,18,8,831,54,
SKS. Kendall,Millwall,0,0,0,0,0,0,0,
I. Tyjon,Blackburn Rovers,0,0,0,1,0,13,2,
