Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
T. Bradshaw,Barnsley,117,79,1,0,1,0,817,3,
W. Keane,Reading,280,226,18,0,2,1,1144,5,
M. Smith,Preston North End,467,284,19,4,10,7,1849,31,
N. Wells,Luton Town,465,326,11,4,29,4,2133,21,
C. Robinson,Cardiff City,473,367,38,1,26,5,2031,22,
C. Morris,Derby County,885,537,24,2,25,4,3133,32,
S. Gallagher,Stoke City,173,83,8,1,7,3,1018,7,
R. Hardie,Huddersfield Town,233,145,19,3,14,4,2276,16,
L. Salvesen,Derby County,79,41,4,0,3,0,488,1,
J. Yates,Luton Town,490,356,19,4,15,4,3436,24,
K. Nisbet,Millwall,2,1,0,0,1,0,17,0,
H. Wright,Coventry City,375,261,9,1,33,7,2157,22,
T. Chong,Sheffield United,520,409,37,1,58,3,2039,22,
N. Ennis,Blackpool,33,22,4,0,1,0,208,0,
T. Campbell,Sheffield United,303,233,12,2,19,5,1764,21,
S. Twine,Bristol City,705,580,56,3,99,12,2170,57,
P. Smyth,Queens Park Rangers,598,425,50,4,114,4,2780,38,
E. Dennis,Nottingham Forest,58,51,2,1,2,2,175,2,
B. Thomas-Asante,Coventry City,245,167,13,3,16,2,1550,18,
J. Maja,West Bromwich Albion,460,351,19,2,3,6,2075,22,
Z. Flemming,Millwall,392,275,21,4,9,6,2435,23,
R. Brewster,Derby County,431,342,56,3,33,6,1730,25,
A. Idah,Swansea City,8,7,0,0,2,0,29,1,
M. Langstaff,Millwall,158,106,14,2,13,3,1407,11,
A. Kargbo,Blackburn Rovers,31,25,0,1,8,0,204,5,
E. Adebayo,Luton Town,297,213,7,0,10,0,2448,16,
E. Riis Jacobsen,Bristol City,446,294,16,2,14,2,2720,24,
M. Osmajić,Preston North End,222,157,2,3,6,1,1926,11,
S. Armstrong,Bristol City,237,186,4,0,4,0,1591,13,
K. Etete,Cardiff City,0,0,0,0,0,0,0,0,
Y. Ohashi,Blackburn Rovers,456,310,19,3,18,1,2240,11,
E. Simms,Coventry City,330,209,9,2,13,2,2294,21,
S. Iling Junior,West Bromwich Albion,415,330,42,2,63,2,1072,21,
L. Dobbin,Preston North End,276,221,16,0,13,0,975,9,
Ž. Vipotnik,Swansea City,257,178,6,0,0,2,2099,6,
O. Tanner,Cardiff City,393,272,39,2,44,1,1385,13,
A. Gilbert,Middlesbrough,62,50,2,0,5,0,84,3,
T. Cannon,Sheffield United,351,223,9,2,16,1,2614,17,
I. Davies,Cardiff City,53,37,0,0,10,0,298,4,
L. Cullen,Swansea City,735,575,40,3,15,6,3017,30,
J. Coburn,Middlesbrough,180,100,3,0,8,3,1228,10,
A. Al-Hamadi,Luton Town,146,99,6,0,3,1,845,5,
D. Dike,West Bromwich Albion,41,23,2,1,0,2,224,5,
K. Joseph,Hull City,178,104,7,0,12,1,1018,5,
Y. Salech,Cardiff City,283,125,19,1,2,0,1283,7,
S. Bell,Bristol City,134,96,5,0,14,0,439,8,
T. Bany,West Bromwich Albion,22,17,1,1,2,1,68,2,
D. Jebbison,Preston North End,43,26,2,0,1,0,402,5,
T. Conway,Middlesbrough,492,426,18,1,15,1,2362,28,
P. Lane,Reading,233,167,20,1,39,2,1077,13,
N. Bassette,Coventry City,70,45,2,0,11,0,935,3,
H. Leonard,Peterborough United,37,21,2,0,0,1,164,2,
J. Banel,Derby County,0,0,0,0,0,0,0,0,
M. Ivanović,Millwall,408,227,14,0,13,3,2181,9,
J. Dede,Middlesbrough,0,0,0,0,0,0,0,0,
CLC. Lennon,Barnsley,0,0,0,0,0,0,0,0,
LWL. Wheeldon,Derby County,0,0,0,0,0,0,1,0,
L. Marsh,Sheffield United,0,0,0,0,0,0,0,0,
KWK. Willox,Stoke City,0,0,0,0,0,0,0,0,
R. Kolli,Queens Park Rangers,159,105,11,2,11,3,831,9,
SKS. Kendall,Millwall,0,0,0,0,0,0,0,0,
I. Tyjon,Blackburn Rovers,4,1,0,0,0,0,13,0,
