Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
B. Hamer,Queens Park Rangers,2,0,636,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
F. Fielding,Stoke City,4,0,637,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
J. McLaughlin,Middlesbrough,41,0,638,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Cornell,Preston North End,46,811,639,0,,0,0,0.0,,0.0188,0,8,0,2,0,2,293,181,173,0,0,0,20,Goalkeeper
J. Shea,Luton Town,10,148,640,0,,0,0,0.0,,0.0,0,0,0,0,0,1,70,38,46,0,0,0,4,Goalkeeper
P. Nardi,Queens Park Rangers,45,4050,641,0,2.0,2,0,0.2632,0.263,0.0454,2,42,1,10,0,25,1432,947,726,0,0,1,116,Goalkeeper
J. Alnwick,Huddersfield Town,33,2610,642,0,,0,0,0.0,,0.0159,1,30,0,8,0,16,808,481,482,0,0,0,83,Goalkeeper
B. Wilson,Coventry City,20,570,643,0,,0,0,0.0,,0.0087,0,4,0,0,0,4,184,96,113,0,0,0,20,Goalkeeper
A. Gunn,Nottingham Forest,35,3104,644,0,,0,0,0.0,,0.0062,2,37,0,11,0,21,1193,932,375,0,0,0,84,Goalkeeper
A. Davies,Sheffield United,41,270,645,0,,0,0,0.0,,0.0,0,2,0,0,0,0,80,57,40,0,0,0,4,Goalkeeper
S. Dieng,Middlesbrough,20,1530,646,0,,0,0,0.0,,0.0,0,19,0,4,0,5,463,352,151,0,1,1,29,Goalkeeper
M. O'Leary,West Bromwich Albion,47,4230,647,0,,0,0,0.0,,0.0251,1,60,0,18,0,25,1252,671,831,0,0,0,112,Goalkeeper
J. Vickers,Derby County,44,540,648,0,,0,0,0.0,,0.0106,0,4,0,4,0,4,161,67,137,0,0,0,11,Goalkeeper
L. Vigouroux,Swansea City,46,4140,649,0,,0,0,0.0,,0.0062,2,25,0,10,0,18,1813,1105,1078,0,0,0,115,Goalkeeper
J. Wildsmith,Middlesbrough,45,900,650,0,,0,0,0.0,,0.0095,1,13,0,3,0,6,323,188,199,0,0,0,19,Goalkeeper
V. Johansson,Stoke City,46,4140,651,0,,0,0,0.0,,0.0499,1,79,0,22,0,34,1484,944,778,0,0,1,152,Goalkeeper
B. Tóth,Blackburn Rovers,36,540,652,0,,0,0,0.0,,0.0,0,8,0,3,0,3,175,80,118,0,0,0,17,Goalkeeper
M. Cooper,Sheffield United,48,4140,653,0,,0,0,0.0,,0.062,1,44,0,14,0,20,1550,1079,779,0,0,1,118,Goalkeeper
A. Pears,Blackburn Rovers,44,3600,654,0,,0,0,0.0,,0.0,2,47,1,8,0,16,1137,678,662,0,0,0,111,Goalkeeper
L. Thomas,Bristol City,1,0,655,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
I. Pandur,Hull City,46,3960,656,0,,0,0,0.0,,0.0,0,56,0,15,0,21,1838,1472,518,0,0,0,121,Goalkeeper
A. Patterson,Millwall,45,4080,657,0,1.0,1,0,0.0442,0.044,0.0186,1,31,0,13,0,22,1407,949,663,0,0,0,97,Goalkeeper
J. Widell Zetterström,Derby County,41,3600,658,0,,0,0,0.0,,0.0326,2,45,1,14,0,21,1068,498,798,0,0,0,104,Goalkeeper
O. Dovin,Coventry City,38,2468,659,0,,0,0,0.0,,0.009,0,31,0,5,0,9,867,632,367,0,0,0,69,Goalkeeper
J. Walsh,Queens Park Rangers,42,90,660,0,,0,0,0.0,,0.0,0,1,0,1,0,1,40,21,27,0,0,0,4,Goalkeeper
C. Rushworth,Coventry City,6,180,661,0,,0,0,0.0,,0.0,0,3,0,1,0,1,54,38,24,0,0,0,2,Goalkeeper
S. Brynn,Middlesbrough,22,510,662,0,,0,0,0.0,,0.0083,2,2,0,0,0,2,139,111,39,0,0,0,16,Goalkeeper
J. Griffiths,West Bromwich Albion,14,540,663,0,,0,0,0.0,,0.0,0,14,0,2,0,3,168,112,81,0,0,0,16,Goalkeeper
L. Jensen,Millwall,41,3689,664,0,,0,0,0.0,,0.0059,0,26,0,3,0,8,1050,422,832,0,0,0,98,Goalkeeper
J. Beadle,Birmingham City,46,3420,665,0,,0,0,0.0,,0.2424,1,44,0,15,0,23,1236,834,609,0,0,0,83,Goalkeeper
J. Pradic,Preston North End,1,0,666,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Turner,Cardiff City,12,0,667,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
KMK. Margetson,Swansea City,1,0,668,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
LFL. Faxon,Sheffield United,8,0,669,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
GEG. Evans,Millwall,11,360,670,0,,0,0,0.0,,0.0,1,7,0,1,0,2,104,51,95,0,0,0,11,Goalkeeper
L. Stowell,Preston North End,8,0,671,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
