Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
B. Hamer,Queens Park Rangers,0,0,,0,0,0,0.0,,0.0,
F. Fielding,Stoke City,0,0,,0,0,0,0.0,,0.0,
J. McLaughlin,Middlesbrough,0,0,,0,0,0,0.0,,0.0,
D. Cornell,Preston North End,0,0,,0,0,811,0.0,,0.0188,
J. Shea,Luton Town,0,0,,0,0,148,0.0,,0.0,
P. Nardi,Queens Park Rangers,0,0,2.0,2,0,4050,0.2632,0.263,0.0454,
J. Alnwick,Huddersfield Town,0,0,,0,0,2610,0.0,,0.0159,
B. Wilson,Coventry City,0,0,,0,0,570,0.0,,0.0087,
A. Gunn,Nottingham Forest,0,0,,0,0,3104,0.0,,0.0062,
A. Davies,Sheffield United,0,0,,0,0,270,0.0,,0.0,
S. Dieng,Middlesbrough,0,1,,0,0,1530,0.0,,0.0,
M. O'Leary,West Bromwich Albion,0,0,,0,0,4230,0.0,,0.0251,
J. Vickers,Derby County,0,0,,0,0,540,0.0,,0.0106,
L. Vigouroux,Swansea City,0,0,,0,0,4140,0.0,,0.0062,
J. Wildsmith,Middlesbrough,0,0,,0,0,900,0.0,,0.0095,
V. Johansson,Stoke City,0,0,,0,0,4140,0.0,,0.0499,
B. Tóth,Blackburn Rovers,0,0,,0,0,540,0.0,,0.0,
M. Cooper,Sheffield United,0,0,,0,0,4140,0.0,,0.062,
A. Pears,Blackburn Rovers,0,0,,0,0,3600,0.0,,0.0,
L. Thomas,Bristol City,0,0,,0,0,0,0.0,,0.0,
I. Pandur,Hull City,0,0,,0,0,3960,0.0,,0.0,
A. Patterson,Millwall,0,0,1.0,1,0,4080,0.0442,0.044,0.0186,
J. Widell Zetterström,Derby County,0,0,,0,0,3600,0.0,,0.0326,
O. Dovin,Coventry City,0,0,,0,0,2468,0.0,,0.009,
J. Walsh,Queens Park Rangers,0,0,,0,0,90,0.0,,0.0,
C. Rushworth,Coventry City,0,0,,0,0,180,0.0,,0.0,
S. Brynn,Middlesbrough,0,0,,0,0,510,0.0,,0.0083,
J. Griffiths,West Bromwich Albion,0,0,,0,0,540,0.0,,0.0,
L. Jensen,Millwall,0,0,,0,0,3689,0.0,,0.0059,
J. Beadle,Birmingham City,0,0,,0,0,3420,0.0,,0.2424,
J. Pradic,Preston North End,0,0,,0,0,0,0.0,,0.0,
M. Turner,Cardiff City,0,0,,0,0,0,0.0,,0.0,
KMK. Margetson,Swansea City,0,0,,0,0,0,0.0,,0.0,
LFL. Faxon,Sheffield United,0,0,,0,0,0,0.0,,0.0,
GEG. Evans,Millwall,0,0,,0,0,360,0.0,,0.0,
L. Stowell,Preston North End,0,0,,0,0,0,0.0,,0.0,
