Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
B. Hamer,Queens Park Rangers,2,0,0,0,0,
F. Fielding,Stoke City,4,0,0,0,0,
J. McLaughlin,Middlesbrough,41,0,0,0,0,
D. Cornell,Preston North End,46,0,811,0,0.0188,
J. Shea,Luton Town,10,0,148,0,0,
P. Nardi,Queens Park Rangers,45,0,4050,0.2632,0.0454,
J. Alnwick,Huddersfield Town,33,0,2610,0,0.0159,
B. Wilson,Coventry City,20,0,570,0,0.0087,
A. Gunn,Nottingham Forest,35,0,3104,0,0.0062,
A. Davies,Sheffield United,41,0,270,0,0,
S. Dieng,Middlesbrough,20,0,1530,0,0,
M. O'Leary,West Bromwich Albion,47,0,4230,0,0.0251,
J. Vickers,Derby County,44,0,540,0,0.0106,
L. Vigouroux,Swansea City,46,0,4140,0,0.0062,
J. Wildsmith,Middlesbrough,45,0,900,0,0.0095,
V. Johansson,Stoke City,46,0,4140,0,0.0499,
B. Tóth,Blackburn Rovers,36,0,540,0,0,
M. Cooper,Sheffield United,48,0,4140,0,0.062,
A. Pears,Blackburn Rovers,44,0,3600,0,0,
L. Thomas,Bristol City,1,0,0,0,0,
I. Pandur,Hull City,46,0,3960,0,0,
A. Patterson,Millwall,45,0,4080,0.0442,0.0186,
J. Widell Zetterström,Derby County,41,0,3600,0,0.0326,
O. Dovin,Coventry City,38,0,2468,0,0.009,
J. Walsh,Queens Park Rangers,42,0,90,0,0,
C. Rushworth,Coventry City,6,0,180,0,0,
S. Brynn,Middlesbrough,22,0,510,0,0.0083,
J. Griffiths,West Bromwich Albion,14,0,540,0,0,
L. Jensen,Millwall,41,0,3689,0,0.0059,
J. Beadle,Birmingham City,46,0,3420,0,0.2424,
J. Pradic,Preston North End,1,0,0,0,0,
M. Turner,Cardiff City,12,0,0,0,0,
KMK. Margetson,Swansea City,1,0,0,0,0,
LFL. Faxon,Sheffield United,8,0,0,0,0,
GEG. Evans,Millwall,11,0,360,0,0,
L. Stowell,Preston North End,8,0,0,0,0,
