Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
B. Hamer,Queens Park Rangers,0,0,0,0,0,0,0,
F. Fielding,Stoke City,0,0,0,0,0,0,0,
J. McLaughlin,Middlesbrough,0,0,0,0,0,0,0,
D. Cornell,Preston North End,0,8,0,2,0,811,2,
J. Shea,Luton Town,0,0,0,0,0,148,1,
P. Nardi,Queens Park Rangers,2,42,1,10,0,4050,25,
J. Alnwick,Huddersfield Town,1,30,0,8,0,2610,16,
B. Wilson,Coventry City,0,4,0,0,0,570,4,
A. Gunn,Nottingham Forest,2,37,0,11,0,3104,21,
A. Davies,Sheffield United,0,2,0,0,0,270,0,
S. Dieng,Middlesbrough,0,19,0,4,0,1530,5,
M. O'Leary,West Bromwich Albion,1,60,0,18,0,4230,25,
J. Vickers,Derby County,0,4,0,4,0,540,4,
L. Vigouroux,Swansea City,2,25,0,10,0,4140,18,
J. Wildsmith,Middlesbrough,1,13,0,3,0,900,6,
V. Johansson,Stoke City,1,79,0,22,0,4140,34,
B. Tóth,Blackburn Rovers,0,8,0,3,0,540,3,
M. Cooper,Sheffield United,1,44,0,14,0,4140,20,
A. Pears,Blackburn Rovers,2,47,1,8,0,3600,16,
L. Thomas,Bristol City,0,0,0,0,0,0,0,
I. Pandur,Hull City,0,56,0,15,0,3960,21,
A. Patterson,Millwall,1,31,0,13,0,4080,22,
J. Widell Zetterström,Derby County,2,45,1,14,0,3600,21,
O. Dovin,Coventry City,0,31,0,5,0,2468,9,
J. Walsh,Queens Park Rangers,0,1,0,1,0,90,1,
C. Rushworth,Coventry City,0,3,0,1,0,180,1,
S. Brynn,Middlesbrough,2,2,0,0,0,510,2,
J. Griffiths,West Bromwich Albion,0,14,0,2,0,540,3,
L. Jensen,Millwall,0,26,0,3,0,3689,8,
J. Beadle,Birmingham City,1,44,0,15,0,3420,23,
J. Pradic,Preston North End,0,0,0,0,0,0,0,
M. Turner,Cardiff City,0,0,0,0,0,0,0,
KMK. Margetson,Swansea City,0,0,0,0,0,0,0,
LFL. Faxon,Sheffield United,0,0,0,0,0,0,0,
GEG. Evans,Millwall,1,7,0,1,0,360,2,
L. Stowell,Preston North End,0,0,0,0,0,0,0,
