Name,Team,Mins,Saves,Unnamed: 3
B. Hamer,Queens Park Rangers,0,0,
F. Fielding,Stoke City,0,0,
J. McLaughlin,Middlesbrough,0,0,
D. Cornell,Preston North End,811,20,
J. Shea,Luton Town,148,4,
P. Nardi,Queens Park Rangers,4050,116,
J. Alnwick,Huddersfield Town,2610,83,
B. Wilson,Coventry City,570,20,
A. Gunn,Nottingham Forest,3104,84,
A. Davies,Sheffield United,270,4,
S. Dieng,Middlesbrough,1530,29,
M. O'Leary,West Bromwich Albion,4230,112,
J. Vickers,Derby County,540,11,
L. Vigouroux,Swansea City,4140,115,
J. Wildsmith,Middlesbrough,900,19,
V. Johansson,Stoke City,4140,152,
B. Tóth,Blackburn Rovers,540,17,
M. Cooper,Sheffield United,4140,118,
A. Pears,Blackburn Rovers,3600,111,
L. Thomas,Bristol City,0,0,
I. Pandur,Hull City,3960,121,
A. Patterson,Millwall,4080,97,
J. Widell Zetterström,Derby County,3600,104,
O. Dovin,Coventry City,2468,69,
J. Walsh,Queens Park Rangers,90,4,
C. Rushworth,Coventry City,180,2,
S. Brynn,Middlesbrough,510,16,
J. Griffiths,West Bromwich Albion,540,16,
L. Jensen,Millwall,3689,98,
J. Beadle,Birmingham City,3420,83,
J. Pradic,Preston North End,0,0,
M. Turner,Cardiff City,0,0,
KMK. Margetson,Swansea City,0,0,
LFL. Faxon,Sheffield United,0,0,
GEG. Evans,Millwall,360,11,
L. Stowell,Preston North End,0,0,
