Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
B. Hamer,Queens Park Rangers,0,0,0,0,0,0,0,0,
F. Fielding,Stoke City,0,0,0,0,0,0,0,0,
J. McLaughlin,Middlesbrough,0,0,0,0,0,0,0,0,
D. Cornell,Preston North End,293,181,173,0,0,0,811,0,
J. Shea,Luton Town,70,38,46,0,0,0,148,0,
P. Nardi,Queens Park Rangers,1432,947,726,0,0,0,4050,1,
J. Alnwick,Huddersfield Town,808,481,482,0,0,0,2610,0,
B. Wilson,Coventry City,184,96,113,0,0,0,570,0,
A. Gunn,Nottingham Forest,1193,932,375,0,0,0,3104,0,
A. Davies,Sheffield United,80,57,40,0,0,0,270,0,
S. Dieng,Middlesbrough,463,352,151,0,0,1,1530,1,
M. O'Leary,West Bromwich Albion,1252,671,831,0,0,0,4230,0,
J. Vickers,Derby County,161,67,137,0,0,0,540,0,
L. Vigouroux,Swansea City,1813,1105,1078,0,0,0,4140,0,
J. Wildsmith,Middlesbrough,323,188,199,0,0,0,900,0,
V. Johansson,Stoke City,1484,944,778,0,0,0,4140,1,
B. Tóth,Blackburn Rovers,175,80,118,0,0,0,540,0,
M. Cooper,Sheffield United,1550,1079,779,0,0,0,4140,1,
A. Pears,Blackburn Rovers,1137,678,662,0,0,0,3600,0,
L. Thomas,Bristol City,0,0,0,0,0,0,0,0,
I. Pandur,Hull City,1838,1472,518,0,0,0,3960,0,
A. Patterson,Millwall,1407,949,663,0,0,0,4080,0,
J. Widell Zetterström,Derby County,1068,498,798,0,0,0,3600,0,
O. Dovin,Coventry City,867,632,367,0,0,0,2468,0,
J. Walsh,Queens Park Rangers,40,21,27,0,0,0,90,0,
C. Rushworth,Coventry City,54,38,24,0,0,0,180,0,
S. Brynn,Middlesbrough,139,111,39,0,0,0,510,0,
J. Griffiths,West Bromwich Albion,168,112,81,0,0,0,540,0,
L. Jensen,Millwall,1050,422,832,0,0,0,3689,0,
J. Beadle,Birmingham City,1236,834,609,0,0,0,3420,0,
J. Pradic,Preston North End,0,0,0,0,0,0,0,0,
M. Turner,Cardiff City,0,0,0,0,0,0,0,0,
KMK. Margetson,Swansea City,0,0,0,0,0,0,0,0,
LFL. Faxon,Sheffield United,0,0,0,0,0,0,0,0,
GEG. Evans,Millwall,104,51,95,0,0,0,360,0,
L. Stowell,Preston North End,0,0,0,0,0,0,0,0,
