Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
J. Allen,Swansea City,33,739,672,1,6.0,3,1,0.8193,0.928,0.8963,15,7,7,9,1,37,387,339,22,13,0,7,Midfielder
M. Ritchie,Reading,46,2220,673,1,41.0,17,5,4.4052,4.675,4.443,35,24,7,25,12,98,672,492,84,168,6,44,Midfielder
B. Bannan,Millwall,42,3469,674,5,48.0,10,4,2.625,2.615,7.3534,66,42,22,18,10,129,2059,1682,318,148,8,74,Midfielder
A. Weimann,Derby County,31,1415,675,2,33.0,20,7,6.9004,7.173,2.0017,9,21,4,13,3,30,347,277,16,15,4,16,Midfielder
A. Forshaw,Blackburn Rovers,42,1271,676,0,13.0,5,1,0.5726,0.573,0.3104,39,18,12,10,3,79,625,530,62,11,0,7,Midfielder
M. Crooks,Hull City,18,807,677,0,13.0,5,3,2.7326,2.77,0.6358,19,21,5,17,3,44,272,208,15,1,1,4,Midfielder
J. Clark,Luton Town,41,3248,678,6,40.0,18,6,3.3197,3.335,5.8232,56,48,30,42,11,181,1123,872,165,158,16,53,Midfielder
J. Fulton,Swansea City,43,1334,679,0,5.0,1,1,1.6346,1.635,0.4385,21,22,14,19,0,59,549,448,31,5,1,4,Midfielder
J. Rothwell,Bournemouth,40,2271,680,4,13.0,2,0,0.6391,0.649,5.3911,23,14,25,13,6,66,1675,1526,105,175,4,62,Midfielder
B. Pearson,Stoke City,16,584,681,0,1.0,0,0,0.0269,0.032,0.3799,16,7,7,4,0,25,243,199,34,3,1,3,Midfielder
L. Baker,Stoke City,42,2077,682,2,39.0,15,7,4.7794,3.113,2.2753,21,27,17,12,10,60,755,622,72,72,2,23,Midfielder
S. Tronstad,Blackburn Rovers,39,3140,683,0,20.0,5,2,0.8088,0.806,2.3126,92,51,43,44,10,174,1604,1416,141,12,3,16,Midfielder
J. Wallace,West Bromwich Albion,35,798,684,1,14.0,4,1,1.1806,1.177,1.226,17,10,2,9,4,47,241,189,12,31,2,14,Midfielder
A. Browne,Middlesbrough,29,1215,685,0,10.0,3,1,1.4246,1.425,0.725,21,28,11,15,2,70,427,347,39,24,0,8,Midfielder
B. Potts,Preston North End,30,2053,686,2,29.0,10,4,3.2367,3.073,2.2452,54,38,15,60,10,157,799,604,87,41,4,25,Midfielder
R. Brady,Preston North End,31,1641,687,4,21.0,4,0,1.434,0.812,4.7319,39,36,22,45,6,115,726,505,104,133,10,39,Midfielder
G. Saville,Luton Town,46,3305,688,3,36.0,5,1,2.7675,2.773,4.7033,100,53,58,74,14,238,1196,882,167,127,5,53,Midfielder
J. Allen,Coventry City,39,1029,689,0,11.0,2,0,0.5492,0.589,0.2099,30,8,9,12,5,52,423,368,33,0,0,4,Midfielder
M. Grimes,Coventry City,47,4185,690,2,30.0,9,4,2.454,1.636,7.0294,78,75,32,29,14,175,3793,3443,287,188,9,62,Midfielder
A. Mowatt,West Bromwich Albion,44,3358,691,2,29.0,10,7,2.6385,2.635,4.5123,71,54,27,31,10,171,2540,2284,214,120,5,60,Midfielder
S. Szmodics,Derby County,1,25,692,1,1.0,1,1,0.1027,0.103,0.0705,0,0,0,0,0,0,3,3,0,0,1,1,Midfielder
C. Willock,Cardiff City,43,1549,693,2,28.0,7,2,1.3983,1.36,1.996,26,4,7,1,11,94,490,430,15,80,4,23,Midfielder
R. Ledson,Huddersfield Town,43,1211,694,1,10.0,3,1,0.8396,0.779,1.5843,32,20,11,26,2,81,420,270,90,26,2,13,Midfielder
P. Roberts,Birmingham City,48,3507,695,8,80.0,17,2,6.0207,4.247,6.2563,66,37,22,9,38,187,1247,1018,87,180,7,69,Midfielder
M. Harness,Huddersfield Town,42,2368,696,3,36.0,9,4,3.6445,3.789,2.144,60,31,13,53,16,139,608,397,61,89,4,25,Midfielder
M. Benson,Swansea City,13,49,697,0,4.0,1,1,0.1003,0.101,0.0308,2,0,0,0,0,5,31,29,1,4,0,0,Midfielder
E. Adams,Derby County,44,3791,698,1,52.0,11,6,4.9518,5.241,1.3553,151,69,56,87,11,352,1236,888,165,30,4,18,Midfielder
M. Sykes,Bristol City,28,1718,699,4,22.0,10,3,1.1618,1.27,3.7014,27,34,18,24,5,93,659,508,54,78,6,22,Midfielder
R. Hedges,Blackburn Rovers,43,2596,700,2,33.0,12,1,2.8269,2.83,2.2296,72,44,34,41,7,176,800,596,62,79,5,30,Midfielder
K. Grant,West Bromwich Albion,43,2942,701,2,82.0,29,7,6.6237,6.969,4.6675,30,20,20,28,31,127,883,677,50,106,9,38,Midfielder
B. Whiteman,Preston North End,36,2492,702,2,25.0,5,0,1.5247,1.504,3.3566,50,68,21,30,10,92,1291,1034,201,54,4,30,Midfielder
J. Williams,Bristol City,29,1464,703,4,12.0,0,0,0.5653,0.567,3.4613,31,23,13,23,5,82,1018,860,88,59,3,28,Midfielder
K. Palmer,Luton Town,33,1143,704,2,26.0,10,2,2.706,2.673,1.8011,15,10,4,16,7,63,465,379,30,32,4,17,Midfielder
G. Honeyman,Blackpool,43,2430,705,5,20.0,8,2,3.7754,3.743,3.8414,76,35,21,9,4,139,677,493,63,117,6,44,Midfielder
T. Davies,Sheffield United,19,714,706,1,10.0,4,1,1.0299,1.024,0.604,22,9,8,7,3,55,404,358,21,5,1,9,Midfielder
R. McCrorie,Bristol City,26,1590,707,0,25.0,7,5,2.5355,2.632,1.8692,52,36,19,91,10,173,516,370,25,42,3,15,Midfielder
J. Thompson,Preston North End,30,1355,708,1,7.0,0,0,0.2944,0.295,0.2397,15,30,14,13,3,47,623,524,65,14,1,4,Midfielder
L. Walsh,Luton Town,33,1418,709,1,23.0,6,0,1.0167,1.02,2.4589,34,24,9,13,10,76,626,513,78,73,3,27,Midfielder
R. Wintle,Cardiff City,35,516,710,0,8.0,2,1,0.2799,0.287,0.2326,11,14,8,5,3,22,169,126,27,6,0,7,Midfielder
I. Chair,Queens Park Rangers,28,1712,711,6,44.0,18,2,2.7742,2.921,4.5344,13,5,5,7,15,46,705,569,82,115,9,44,Midfielder
C. De Norre,Millwall,46,3631,712,4,30.0,7,3,2.0489,2.205,2.9703,105,63,66,30,9,158,1437,1171,157,25,4,28,Midfielder
J. Okkels,Preston North End,23,133,713,0,,0,0,0.0,,0.0406,1,1,1,0,0,2,49,43,2,2,0,0,Midfielder
R. McGree,Middlesbrough,25,946,714,5,25.0,10,1,2.5446,2.563,1.055,8,9,2,10,7,36,421,366,17,29,3,24,Midfielder
M. McGuane,Huddersfield Town,41,1029,715,0,6.0,1,0,0.2268,0.226,0.4157,25,7,6,5,2,66,500,444,26,3,0,3,Midfielder
V. Torp,Coventry City,38,2126,716,4,51.0,19,6,4.9218,3.424,4.2891,51,31,30,25,17,103,983,778,71,112,9,49,Midfielder
G. Hamer,Sheffield United,44,3364,717,8,96.0,30,10,5.8489,6.096,9.2235,52,30,29,9,27,149,1476,1074,200,150,14,81,Midfielder
C. Lang,Preston North End,32,2455,718,2,68.0,23,10,9.7362,8.123,1.8803,30,24,11,30,23,139,296,202,20,57,2,22,Midfielder
M. Johnston,West Bromwich Albion,42,2092,719,5,62.0,17,3,3.8372,3.894,5.0295,26,12,11,6,28,127,847,711,51,97,9,45,Midfielder
C. Ogbene,Sheffield United,3,247,720,0,,0,0,0.0,,0.2313,2,2,1,2,0,10,76,64,6,9,1,2,Midfielder
J. Molumby,West Bromwich Albion,40,2714,721,1,31.0,13,4,3.5223,3.544,1.9029,50,50,26,34,8,150,1505,1323,102,20,1,18,Midfielder
E. Mason-Clark,Coventry City,35,1772,722,5,41.0,19,6,6.5376,6.704,5.6267,23,9,7,24,6,110,392,318,13,56,9,35,Midfielder
R. Slater,Hull City,45,2981,723,1,40.0,8,1,4.4611,4.219,2.7879,38,43,14,13,18,89,901,736,59,40,5,32,Midfielder
L. Travis,Derby County,38,3222,724,1,16.0,4,2,0.8251,0.821,2.6372,103,42,36,15,6,195,1620,1377,185,19,3,19,Midfielder
B. Brereton Díaz,Derby County,18,1010,725,3,22.0,8,4,4.0701,4.181,1.1237,2,21,8,18,8,32,282,203,24,10,2,14,Midfielder
J. Ward,Derby County,17,153,726,0,1.0,1,0,0.0626,0.063,0.0517,2,3,4,2,0,4,49,38,4,15,0,1,Midfielder
O. Diakité,West Bromwich Albion,42,870,727,0,8.0,2,0,0.3875,0.389,0.0671,30,48,16,24,2,74,376,322,29,0,0,1,Midfielder
C. O'Hare,Sheffield United,49,3230,728,6,43.0,14,4,5.7391,5.631,4.2156,43,20,8,18,18,138,1085,884,35,22,9,50,Midfielder
J. Bowler,Nottingham Forest,33,608,729,0,14.0,5,0,0.89,0.891,0.8517,15,5,5,0,2,45,197,160,8,19,1,5,Midfielder
A. McCann,Preston North End,29,2423,730,0,17.0,4,1,2.1245,2.14,0.7668,99,47,28,37,4,170,977,789,76,15,0,17,Midfielder
S. Baptiste,Luton Town,17,719,731,0,6.0,2,1,0.9055,0.906,1.5182,14,14,12,6,3,30,311,263,29,32,3,15,Midfielder
L. Millar,Hull City,11,620,732,2,18.0,4,1,0.6657,0.663,1.376,8,5,4,4,6,38,248,203,16,37,1,9,Midfielder
M. Bird,Bristol City,47,3578,733,8,44.0,12,1,2.972,3.008,8.5749,88,19,33,26,12,145,1645,1314,150,128,11,78,Midfielder
T. Cantwell,Blackburn Rovers,37,2485,734,7,36.0,12,3,4.3092,2.727,5.6471,59,21,20,6,13,183,1186,959,130,137,13,57,Midfielder
D. Burgzorg,Bristol City,45,2200,735,2,69.0,21,5,7.784,7.061,2.3374,39,9,3,15,31,127,483,394,18,11,3,25,Midfielder
L. O'Brien,Nottingham Forest,16,1421,736,0,22.0,7,1,1.3152,1.269,1.1226,30,21,10,21,7,98,629,481,49,19,2,9,Midfielder
B. Mumba,Huddersfield Town,46,3396,737,2,22.0,3,0,0.7771,0.779,2.0716,84,86,22,29,11,190,1175,961,87,48,4,22,Midfielder
N. Madsen,Queens Park Rangers,41,1767,738,3,21.0,7,3,2.2971,2.043,2.4908,17,25,16,27,8,61,628,494,70,62,4,35,Midfielder
J. Eccles,Coventry City,42,2393,739,3,44.0,11,3,2.9284,2.923,2.4956,43,30,24,26,17,113,1264,1038,129,41,5,27,Midfielder
A. Doughty,Millwall,26,2045,740,4,16.0,3,1,0.7931,0.787,8.2665,61,40,29,20,10,104,747,529,182,275,10,64,Midfielder
J. Gelhardt,Hull City,30,1607,741,0,46.0,11,5,5.291,3.898,1.6641,21,27,3,19,19,115,420,308,21,57,5,18,Midfielder
J. Knight,Bristol City,47,4230,742,6,51.0,10,3,3.6535,3.71,4.4341,72,71,40,76,20,261,2693,2240,232,48,4,60,Midfielder
M. Manhoef,Stoke City,35,2431,743,5,73.0,26,5,7.7366,7.834,4.8251,20,11,4,4,34,103,539,425,41,133,12,53,Midfielder
A. Randell,Bristol City,40,3385,744,3,30.0,7,1,1.3533,1.356,3.869,66,98,49,55,10,185,1562,1238,237,134,6,43,Midfielder
T. Sakamoto,Coventry City,46,2803,745,6,41.0,9,4,3.5936,3.431,5.5829,54,29,12,26,20,166,830,660,64,84,9,31,Midfielder
J. Rudoni,Coventry City,45,3721,746,12,82.0,30,10,8.7257,8.701,8.6381,53,43,24,66,25,203,1595,1288,88,297,16,80,Midfielder
B. Mitchell,Millwall,26,887,747,0,4.0,0,0,0.1482,0.148,0.1781,27,17,14,15,3,51,422,351,48,15,0,6,Midfielder
G. Franco,Swansea City,45,3160,748,2,43.0,14,2,4.0947,4.079,2.7323,130,28,41,23,11,216,1438,1172,98,34,3,34,Midfielder
L. Cundle,Millwall,17,992,749,0,6.0,3,1,0.7941,0.794,0.5052,15,5,8,9,2,39,282,222,23,3,0,10,Midfielder
M. Whittaker,Middlesbrough,38,2743,750,2,86.0,25,3,3.7649,3.787,2.8553,45,30,9,7,32,161,855,676,78,59,5,33,Midfielder
S. Silvera,Middlesbrough,18,442,751,0,7.0,4,0,0.1872,0.187,0.5877,13,2,1,5,2,34,119,94,7,13,1,6,Midfielder
X. Simons,Hull City,24,1207,752,0,16.0,4,2,1.4122,1.409,1.2125,22,29,12,15,2,50,486,421,37,8,0,8,Midfielder
L. Thompson,Derby County,36,1630,753,0,9.0,1,0,0.4232,0.425,0.5695,29,15,19,16,3,72,560,419,71,25,1,4,Midfielder
J. Eom,Swansea City,38,2300,754,2,58.0,13,3,6.0104,6.038,3.3259,38,26,17,52,20,167,652,525,28,122,5,36,Midfielder
I. Jones,Luton Town,42,2105,755,0,26.0,10,2,3.0151,2.93,2.0422,50,40,19,14,7,132,595,443,51,58,5,23,Midfielder
F. Azeez,Millwall,34,1906,756,5,53.0,19,2,4.9617,4.916,2.5301,47,38,18,49,17,132,481,309,52,80,4,27,Midfielder
H. Hackney,Middlesbrough,43,3794,757,3,80.0,24,5,4.1842,4.178,5.9541,93,36,30,26,23,217,3076,2609,276,32,9,66,Midfielder
T. Fornah,Derby County,1,9,758,0,,0,0,0.0,,0.0,0,0,0,0,0,0,3,2,0,0,0,0,Midfielder
A. Morris,Middlesbrough,35,2920,759,2,30.0,4,0,1.7714,1.799,1.7648,97,25,33,12,11,201,2232,2056,152,14,1,27,Midfielder
T. Gardner-Hickman,Blackburn Rovers,2,0,760,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
T. Seko,Stoke City,42,1594,761,0,9.0,1,0,0.2275,0.216,0.5862,41,45,16,18,0,84,819,676,97,32,2,8,Midfielder
J. Anthony,Bournemouth,43,3672,762,7,97.0,34,8,9.361,9.388,8.1348,56,40,31,20,30,177,1356,1085,89,251,14,83,Midfielder
E. Matazo,Hull City,6,302,763,0,4.0,2,1,0.2379,0.238,1.0055,3,6,5,3,1,15,118,98,5,9,0,7,Midfielder
I. Price,West Bromwich Albion,17,1055,764,1,16.0,4,1,1.1875,1.183,1.6309,29,30,11,15,2,64,451,354,53,63,2,21,Midfielder
D. Gyabi,Hull City,44,2892,765,2,33.0,9,1,2.9899,3.03,1.0485,68,46,22,33,10,204,886,720,61,6,2,24,Midfielder
A. Robertson,Cardiff City,39,2426,766,3,18.0,6,3,1.7561,1.375,3.7421,65,22,36,38,7,166,1183,979,105,133,1,48,Midfielder
