Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Allen,Swansea City,1,0,6.0,3,1,739,0.8193,0.928,0.8963,
M. Ritchie,Reading,1,6,41.0,17,5,2220,4.4052,4.675,4.443,
B. Bannan,Millwall,5,8,48.0,10,4,3469,2.625,2.615,7.3534,
A. Weimann,Derby County,2,4,33.0,20,7,1415,6.9004,7.173,2.0017,
A. Forshaw,Blackburn Rovers,0,0,13.0,5,1,1271,0.5726,0.573,0.3104,
M. Crooks,Hull City,0,1,13.0,5,3,807,2.7326,2.77,0.6358,
J. Clark,Luton Town,6,16,40.0,18,6,3248,3.3197,3.335,5.8232,
J. Fulton,Swansea City,0,1,5.0,1,1,1334,1.6346,1.635,0.4385,
J. Rothwell,Bournemouth,4,4,13.0,2,0,2271,0.6391,0.649,5.3911,
B. Pearson,Stoke City,0,1,1.0,0,0,584,0.0269,0.032,0.3799,
L. Baker,Stoke City,2,2,39.0,15,7,2077,4.7794,3.113,2.2753,
S. Tronstad,Blackburn Rovers,0,3,20.0,5,2,3140,0.8088,0.806,2.3126,
J. Wallace,West Bromwich Albion,1,2,14.0,4,1,798,1.1806,1.177,1.226,
A. Browne,Middlesbrough,0,0,10.0,3,1,1215,1.4246,1.425,0.725,
B. Potts,Preston North End,2,4,29.0,10,4,2053,3.2367,3.073,2.2452,
R. Brady,Preston North End,4,10,21.0,4,0,1641,1.434,0.812,4.7319,
G. Saville,Luton Town,3,5,36.0,5,1,3305,2.7675,2.773,4.7033,
J. Allen,Coventry City,0,0,11.0,2,0,1029,0.5492,0.589,0.2099,
M. Grimes,Coventry City,2,9,30.0,9,4,4185,2.454,1.636,7.0294,
A. Mowatt,West Bromwich Albion,2,5,29.0,10,7,3358,2.6385,2.635,4.5123,
S. Szmodics,Derby County,1,1,1.0,1,1,25,0.1027,0.103,0.0705,
C. Willock,Cardiff City,2,4,28.0,7,2,1549,1.3983,1.36,1.996,
R. Ledson,Huddersfield Town,1,2,10.0,3,1,1211,0.8396,0.779,1.5843,
P. Roberts,Birmingham City,8,7,80.0,17,2,3507,6.0207,4.247,6.2563,
M. Harness,Huddersfield Town,3,4,36.0,9,4,2368,3.6445,3.789,2.144,
M. Benson,Swansea City,0,0,4.0,1,1,49,0.1003,0.101,0.0308,
E. Adams,Derby County,1,4,52.0,11,6,3791,4.9518,5.241,1.3553,
M. Sykes,Bristol City,4,6,22.0,10,3,1718,1.1618,1.27,3.7014,
R. Hedges,Blackburn Rovers,2,5,33.0,12,1,2596,2.8269,2.83,2.2296,
K. Grant,West Bromwich Albion,2,9,82.0,29,7,2942,6.6237,6.969,4.6675,
B. Whiteman,Preston North End,2,4,25.0,5,0,2492,1.5247,1.504,3.3566,
J. Williams,Bristol City,4,3,12.0,0,0,1464,0.5653,0.567,3.4613,
K. Palmer,Luton Town,2,4,26.0,10,2,1143,2.706,2.673,1.8011,
G. Honeyman,Blackpool,5,6,20.0,8,2,2430,3.7754,3.743,3.8414,
T. Davies,Sheffield United,1,1,10.0,4,1,714,1.0299,1.024,0.604,
R. McCrorie,Bristol City,0,3,25.0,7,5,1590,2.5355,2.632,1.8692,
J. Thompson,Preston North End,1,1,7.0,0,0,1355,0.2944,0.295,0.2397,
L. Walsh,Luton Town,1,3,23.0,6,0,1418,1.0167,1.02,2.4589,
R. Wintle,Cardiff City,0,0,8.0,2,1,516,0.2799,0.287,0.2326,
I. Chair,Queens Park Rangers,6,9,44.0,18,2,1712,2.7742,2.921,4.5344,
C. De Norre,Millwall,4,4,30.0,7,3,3631,2.0489,2.205,2.9703,
J. Okkels,Preston North End,0,0,,0,0,133,0.0,,0.0406,
R. McGree,Middlesbrough,5,3,25.0,10,1,946,2.5446,2.563,1.055,
M. McGuane,Huddersfield Town,0,0,6.0,1,0,1029,0.2268,0.226,0.4157,
V. Torp,Coventry City,4,9,51.0,19,6,2126,4.9218,3.424,4.2891,
G. Hamer,Sheffield United,8,14,96.0,30,10,3364,5.8489,6.096,9.2235,
C. Lang,Preston North End,2,2,68.0,23,10,2455,9.7362,8.123,1.8803,
M. Johnston,West Bromwich Albion,5,9,62.0,17,3,2092,3.8372,3.894,5.0295,
C. Ogbene,Sheffield United,0,1,,0,0,247,0.0,,0.2313,
J. Molumby,West Bromwich Albion,1,1,31.0,13,4,2714,3.5223,3.544,1.9029,
E. Mason-Clark,Coventry City,5,9,41.0,19,6,1772,6.5376,6.704,5.6267,
R. Slater,Hull City,1,5,40.0,8,1,2981,4.4611,4.219,2.7879,
L. Travis,Derby County,1,3,16.0,4,2,3222,0.8251,0.821,2.6372,
B. Brereton Díaz,Derby County,3,2,22.0,8,4,1010,4.0701,4.181,1.1237,
J. Ward,Derby County,0,0,1.0,1,0,153,0.0626,0.063,0.0517,
O. Diakité,West Bromwich Albion,0,0,8.0,2,0,870,0.3875,0.389,0.0671,
C. O'Hare,Sheffield United,6,9,43.0,14,4,3230,5.7391,5.631,4.2156,
J. Bowler,Nottingham Forest,0,1,14.0,5,0,608,0.89,0.891,0.8517,
A. McCann,Preston North End,0,0,17.0,4,1,2423,2.1245,2.14,0.7668,
S. Baptiste,Luton Town,0,3,6.0,2,1,719,0.9055,0.906,1.5182,
L. Millar,Hull City,2,1,18.0,4,1,620,0.6657,0.663,1.376,
M. Bird,Bristol City,8,11,44.0,12,1,3578,2.972,3.008,8.5749,
T. Cantwell,Blackburn Rovers,7,13,36.0,12,3,2485,4.3092,2.727,5.6471,
D. Burgzorg,Bristol City,2,3,69.0,21,5,2200,7.784,7.061,2.3374,
L. O'Brien,Nottingham Forest,0,2,22.0,7,1,1421,1.3152,1.269,1.1226,
B. Mumba,Huddersfield Town,2,4,22.0,3,0,3396,0.7771,0.779,2.0716,
N. Madsen,Queens Park Rangers,3,4,21.0,7,3,1767,2.2971,2.043,2.4908,
J. Eccles,Coventry City,3,5,44.0,11,3,2393,2.9284,2.923,2.4956,
A. Doughty,Millwall,4,10,16.0,3,1,2045,0.7931,0.787,8.2665,
J. Gelhardt,Hull City,0,5,46.0,11,5,1607,5.291,3.898,1.6641,
J. Knight,Bristol City,6,4,51.0,10,3,4230,3.6535,3.71,4.4341,
M. Manhoef,Stoke City,5,12,73.0,26,5,2431,7.7366,7.834,4.8251,
A. Randell,Bristol City,3,6,30.0,7,1,3385,1.3533,1.356,3.869,
T. Sakamoto,Coventry City,6,9,41.0,9,4,2803,3.5936,3.431,5.5829,
J. Rudoni,Coventry City,12,16,82.0,30,10,3721,8.7257,8.701,8.6381,
B. Mitchell,Millwall,0,0,4.0,0,0,887,0.1482,0.148,0.1781,
G. Franco,Swansea City,2,3,43.0,14,2,3160,4.0947,4.079,2.7323,
L. Cundle,Millwall,0,0,6.0,3,1,992,0.7941,0.794,0.5052,
M. Whittaker,Middlesbrough,2,5,86.0,25,3,2743,3.7649,3.787,2.8553,
S. Silvera,Middlesbrough,0,1,7.0,4,0,442,0.1872,0.187,0.5877,
X. Simons,Hull City,0,0,16.0,4,2,1207,1.4122,1.409,1.2125,
L. Thompson,Derby County,0,1,9.0,1,0,1630,0.4232,0.425,0.5695,
J. Eom,Swansea City,2,5,58.0,13,3,2300,6.0104,6.038,3.3259,
