Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Allen,Swansea City,33,1,739,0.8193,0.8963,
M. Ritchie,Reading,46,5,2220,4.4052,4.443,
B. Bannan,Millwall,42,4,3469,2.625,7.3534,
A. Weimann,Derby County,31,7,1415,6.9004,2.0017,
A. Forshaw,Blackburn Rovers,42,1,1271,0.5726,0.3104,
M. Crooks,Hull City,18,3,807,2.7326,0.6358,
J. Clark,Luton Town,41,6,3248,3.3197,5.8232,
J. Fulton,Swansea City,43,1,1334,1.6346,0.4385,
J. Rothwell,Bournemouth,40,0,2271,0.6391,5.3911,
B. Pearson,Stoke City,16,0,584,0.0269,0.3799,
L. Baker,Stoke City,42,7,2077,4.7794,2.2753,
S. Tronstad,Blackburn Rovers,39,2,3140,0.8088,2.3126,
J. Wallace,West Bromwich Albion,35,1,798,1.1806,1.226,
A. Browne,Middlesbrough,29,1,1215,1.4246,0.725,
B. Potts,Preston North End,30,4,2053,3.2367,2.2452,
R. Brady,Preston North End,31,0,1641,1.434,4.7319,
G. Saville,Luton Town,46,1,3305,2.7675,4.7033,
J. Allen,Coventry City,39,0,1029,0.5492,0.2099,
M. Grimes,Coventry City,47,4,4185,2.454,7.0294,
A. Mowatt,West Bromwich Albion,44,7,3358,2.6385,4.5123,
S. Szmodics,Derby County,1,1,25,0.1027,0.0705,
C. Willock,Cardiff City,43,2,1549,1.3983,1.996,
R. Ledson,Huddersfield Town,43,1,1211,0.8396,1.5843,
P. Roberts,Birmingham City,48,2,3507,6.0207,6.2563,
M. Harness,Huddersfield Town,42,4,2368,3.6445,2.144,
M. Benson,Swansea City,13,1,49,0.1003,0.0308,
E. Adams,Derby County,44,6,3791,4.9518,1.3553,
M. Sykes,Bristol City,28,3,1718,1.1618,3.7014,
R. Hedges,Blackburn Rovers,43,1,2596,2.8269,2.2296,
K. Grant,West Bromwich Albion,43,7,2942,6.6237,4.6675,
B. Whiteman,Preston North End,36,0,2492,1.5247,3.3566,
J. Williams,Bristol City,29,0,1464,0.5653,3.4613,
K. Palmer,Luton Town,33,2,1143,2.706,1.8011,
G. Honeyman,Blackpool,43,2,2430,3.7754,3.8414,
T. Davies,Sheffield United,19,1,714,1.0299,0.604,
R. McCrorie,Bristol City,26,5,1590,2.5355,1.8692,
J. Thompson,Preston North End,30,0,1355,0.2944,0.2397,
L. Walsh,Luton Town,33,0,1418,1.0167,2.4589,
R. Wintle,Cardiff City,35,1,516,0.2799,0.2326,
I. Chair,Queens Park Rangers,28,2,1712,2.7742,4.5344,
C. De Norre,Millwall,46,3,3631,2.0489,2.9703,
J. Okkels,Preston North End,23,0,133,0,0.0406,
R. McGree,Middlesbrough,25,1,946,2.5446,1.055,
M. McGuane,Huddersfield Town,41,0,1029,0.2268,0.4157,
V. Torp,Coventry City,38,6,2126,4.9218,4.2891,
G. Hamer,Sheffield United,44,10,3364,5.8489,9.2235,
C. Lang,Preston North End,32,10,2455,9.7362,1.8803,
M. Johnston,West Bromwich Albion,42,3,2092,3.8372,5.0295,
C. Ogbene,Sheffield United,3,0,247,0,0.2313,
J. Molumby,West Bromwich Albion,40,4,2714,3.5223,1.9029,
E. Mason-Clark,Coventry City,35,6,1772,6.5376,5.6267,
R. Slater,Hull City,45,1,2981,4.4611,2.7879,
L. Travis,Derby County,38,2,3222,0.8251,2.6372,
B. Brereton Díaz,Derby County,18,4,1010,4.0701,1.1237,
J. Ward,Derby County,17,0,153,0.0626,0.0517,
O. Diakité,West Bromwich Albion,42,0,870,0.3875,0.0671,
C. O'Hare,Sheffield United,49,4,3230,5.7391,4.2156,
J. Bowler,Nottingham Forest,33,0,608,0.89,0.8517,
A. McCann,Preston North End,29,1,2423,2.1245,0.7668,
S. Baptiste,Luton Town,17,1,719,0.9055,1.5182,
L. Millar,Hull City,11,1,620,0.6657,1.376,
M. Bird,Bristol City,47,1,3578,2.972,8.5749,
T. Cantwell,Blackburn Rovers,37,3,2485,4.3092,5.6471,
D. Burgzorg,Bristol City,45,5,2200,7.784,2.3374,
L. O'Brien,Nottingham Forest,16,1,1421,1.3152,1.1226,
B. Mumba,Huddersfield Town,46,0,3396,0.7771,2.0716,
N. Madsen,Queens Park Rangers,41,3,1767,2.2971,2.4908,
J. Eccles,Coventry City,42,3,2393,2.9284,2.4956,
A. Doughty,Millwall,26,1,2045,0.7931,8.2665,
J. Gelhardt,Hull City,30,5,1607,5.291,1.6641,
J. Knight,Bristol City,47,3,4230,3.6535,4.4341,
M. Manhoef,Stoke City,35,5,2431,7.7366,4.8251,
A. Randell,Bristol City,40,1,3385,1.3533,3.869,
T. Sakamoto,Coventry City,46,4,2803,3.5936,5.5829,
J. Rudoni,Coventry City,45,10,3721,8.7257,8.6381,
B. Mitchell,Millwall,26,0,887,0.1482,0.1781,
G. Franco,Swansea City,45,2,3160,4.0947,2.7323,
L. Cundle,Millwall,17,1,992,0.7941,0.5052,
M. Whittaker,Middlesbrough,38,3,2743,3.7649,2.8553,
S. Silvera,Middlesbrough,18,0,442,0.1872,0.5877,
X. Simons,Hull City,24,2,1207,1.4122,1.2125,
L. Thompson,Derby County,36,0,1630,0.4232,0.5695,
J. Eom,Swansea City,38,3,2300,6.0104,3.3259,
I. Jones,Luton Town,42,2,2105,3.0151,2.0422,
F. Azeez,Millwall,34,2,1906,4.9617,2.5301,
H. Hackney,Middlesbrough,43,5,3794,4.1842,5.9541,
T. Fornah,Derby County,1,0,9,0,0,
A. Morris,Middlesbrough,35,0,2920,1.7714,1.7648,
T. Gardner-Hickman,Blackburn Rovers,2,0,0,0,0,
T. Seko,Stoke City,42,0,1594,0.2275,0.5862,
J. Anthony,Bournemouth,43,8,3672,9.361,8.1348,
E. Matazo,Hull City,6,1,302,0.2379,1.0055,
I. Price,West Bromwich Albion,17,1,1055,1.1875,1.6309,
D. Gyabi,Hull City,44,1,2892,2.9899,1.0485,
A. Robertson,Cardiff City,39,3,2426,1.7561,3.7421,
M. Hamilton,Middlesbrough,27,0,313,0.2711,0.6648,
D. Turnbull,Cardiff City,24,1,825,1.3805,1.0445,
C. Neghli,Millwall,5,1,193,0.7639,0.1958,
K. Kesler-Hayden,Coventry City,46,2,3672,2.7645,3.7333,
R. Colwill,Cardiff City,46,1,2529,3.9342,4.1861,
J. Rak-Sakyi,Stoke City,38,7,1756,6.0713,3.5252,
J. Varane,Queens Park Rangers,39,0,2604,1.0043,0.7125,
Ronald,Swansea City,46,2,3775,3.8858,7.1246,
M. Belloumi,Hull City,10,2,820,2.3848,2.525,
KMK. Montgomery,Blackburn Rovers,5,0,136,0,0.0072,
B. Gannon-Doak,Bournemouth,24,3,1787,4.396,4.5212,
T. Watson,Millwall,32,3,935,1.798,1.5219,
J. Bae,Stoke City,45,3,3274,4.86,4.4589,
A. Matos,Sheffield United,21,0,947,0.1491,0.2105,
O. Arblaster,Sheffield United,12,2,977,0.6784,1.2922,
S. Peck,Sheffield United,49,0,3191,2.3313,2.989,
A. Brooks,Sheffield United,43,4,1072,3.3645,2.6419,
K. Morgan,Queens Park Rangers,40,1,1592,0.914,0.7821,
R. Esse,Coventry City,24,4,2029,2.1147,3.1746,
L. McCabe,Middlesbrough,22,0,0,0,0,
D. Bennie,Queens Park Rangers,32,0,228,0.2192,0.0836,
C. Ashford,Cardiff City,37,2,1532,1.4381,2.0916,
H. Armstrong,Preston North End,16,1,1110,0.4111,0.3436,
F. Vare,Blackburn Rovers,1,0,0,0,0,
IDI. Dunn,Blackburn Rovers,2,0,0,0,0,
RBR. Bangura-Williams,Millwall,13,0,609,1.06,0.3648,
