Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Allen,Swansea City,15,7,7,9,1,739,37,
M. Ritchie,Reading,35,24,7,25,12,2220,98,
B. Bannan,Millwall,66,42,22,18,10,3469,129,
A. Weimann,Derby County,9,21,4,13,3,1415,30,
A. Forshaw,Blackburn Rovers,39,18,12,10,3,1271,79,
M. Crooks,Hull City,19,21,5,17,3,807,44,
J. Clark,Luton Town,56,48,30,42,11,3248,181,
J. Fulton,Swansea City,21,22,14,19,0,1334,59,
J. Rothwell,Bournemouth,23,14,25,13,6,2271,66,
B. Pearson,Stoke City,16,7,7,4,0,584,25,
L. Baker,Stoke City,21,27,17,12,10,2077,60,
S. Tronstad,Blackburn Rovers,92,51,43,44,10,3140,174,
J. Wallace,West Bromwich Albion,17,10,2,9,4,798,47,
A. Browne,Middlesbrough,21,28,11,15,2,1215,70,
B. Potts,Preston North End,54,38,15,60,10,2053,157,
R. Brady,Preston North End,39,36,22,45,6,1641,115,
G. Saville,Luton Town,100,53,58,74,14,3305,238,
J. Allen,Coventry City,30,8,9,12,5,1029,52,
M. Grimes,Coventry City,78,75,32,29,14,4185,175,
A. Mowatt,West Bromwich Albion,71,54,27,31,10,3358,171,
S. Szmodics,Derby County,0,0,0,0,0,25,0,
C. Willock,Cardiff City,26,4,7,1,11,1549,94,
R. Ledson,Huddersfield Town,32,20,11,26,2,1211,81,
P. Roberts,Birmingham City,66,37,22,9,38,3507,187,
M. Harness,Huddersfield Town,60,31,13,53,16,2368,139,
M. Benson,Swansea City,2,0,0,0,0,49,5,
E. Adams,Derby County,151,69,56,87,11,3791,352,
M. Sykes,Bristol City,27,34,18,24,5,1718,93,
R. Hedges,Blackburn Rovers,72,44,34,41,7,2596,176,
K. Grant,West Bromwich Albion,30,20,20,28,31,2942,127,
B. Whiteman,Preston North End,50,68,21,30,10,2492,92,
J. Williams,Bristol City,31,23,13,23,5,1464,82,
K. Palmer,Luton Town,15,10,4,16,7,1143,63,
G. Honeyman,Blackpool,76,35,21,9,4,2430,139,
T. Davies,Sheffield United,22,9,8,7,3,714,55,
R. McCrorie,Bristol City,52,36,19,91,10,1590,173,
J. Thompson,Preston North End,15,30,14,13,3,1355,47,
L. Walsh,Luton Town,34,24,9,13,10,1418,76,
R. Wintle,Cardiff City,11,14,8,5,3,516,22,
I. Chair,Queens Park Rangers,13,5,5,7,15,1712,46,
C. De Norre,Millwall,105,63,66,30,9,3631,158,
