Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. Allen,Swansea City,387,339,22,1,13,0,739,7,
M. Ritchie,Reading,672,492,84,1,168,6,2220,44,
B. Bannan,Millwall,2059,1682,318,5,148,8,3469,74,
A. Weimann,Derby County,347,277,16,2,15,4,1415,16,
A. Forshaw,Blackburn Rovers,625,530,62,0,11,0,1271,7,
M. Crooks,Hull City,272,208,15,0,1,1,807,4,
J. Clark,Luton Town,1123,872,165,6,158,16,3248,53,
J. Fulton,Swansea City,549,448,31,0,5,1,1334,4,
J. Rothwell,Bournemouth,1675,1526,105,4,175,4,2271,62,
B. Pearson,Stoke City,243,199,34,0,3,1,584,3,
L. Baker,Stoke City,755,622,72,2,72,2,2077,23,
S. Tronstad,Blackburn Rovers,1604,1416,141,0,12,3,3140,16,
J. Wallace,West Bromwich Albion,241,189,12,1,31,2,798,14,
A. Browne,Middlesbrough,427,347,39,0,24,0,1215,8,
B. Potts,Preston North End,799,604,87,2,41,4,2053,25,
R. Brady,Preston North End,726,505,104,4,133,10,1641,39,
G. Saville,Luton Town,1196,882,167,3,127,5,3305,53,
J. Allen,Coventry City,423,368,33,0,0,0,1029,4,
M. Grimes,Coventry City,3793,3443,287,2,188,9,4185,62,
A. Mowatt,West Bromwich Albion,2540,2284,214,2,120,5,3358,60,
S. Szmodics,Derby County,3,3,0,1,0,1,25,1,
C. Willock,Cardiff City,490,430,15,2,80,4,1549,23,
R. Ledson,Huddersfield Town,420,270,90,1,26,2,1211,13,
P. Roberts,Birmingham City,1247,1018,87,8,180,7,3507,69,
M. Harness,Huddersfield Town,608,397,61,3,89,4,2368,25,
M. Benson,Swansea City,31,29,1,0,4,0,49,0,
E. Adams,Derby County,1236,888,165,1,30,4,3791,18,
M. Sykes,Bristol City,659,508,54,4,78,6,1718,22,
R. Hedges,Blackburn Rovers,800,596,62,2,79,5,2596,30,
K. Grant,West Bromwich Albion,883,677,50,2,106,9,2942,38,
B. Whiteman,Preston North End,1291,1034,201,2,54,4,2492,30,
J. Williams,Bristol City,1018,860,88,4,59,3,1464,28,
K. Palmer,Luton Town,465,379,30,2,32,4,1143,17,
G. Honeyman,Blackpool,677,493,63,5,117,6,2430,44,
T. Davies,Sheffield United,404,358,21,1,5,1,714,9,
R. McCrorie,Bristol City,516,370,25,0,42,3,1590,15,
J. Thompson,Preston North End,623,524,65,1,14,1,1355,4,
L. Walsh,Luton Town,626,513,78,1,73,3,1418,27,
R. Wintle,Cardiff City,169,126,27,0,6,0,516,7,
I. Chair,Queens Park Rangers,705,569,82,6,115,9,1712,44,
C. De Norre,Millwall,1437,1171,157,4,25,4,3631,28,
J. Okkels,Preston North End,49,43,2,0,2,0,133,0,
R. McGree,Middlesbrough,421,366,17,5,29,3,946,24,
M. McGuane,Huddersfield Town,500,444,26,0,3,0,1029,3,
V. Torp,Coventry City,983,778,71,4,112,9,2126,49,
G. Hamer,Sheffield United,1476,1074,200,8,150,14,3364,81,
C. Lang,Preston North End,296,202,20,2,57,2,2455,22,
M. Johnston,West Bromwich Albion,847,711,51,5,97,9,2092,45,
C. Ogbene,Sheffield United,76,64,6,0,9,1,247,2,
J. Molumby,West Bromwich Albion,1505,1323,102,1,20,1,2714,18,
E. Mason-Clark,Coventry City,392,318,13,5,56,9,1772,35,
R. Slater,Hull City,901,736,59,1,40,5,2981,32,
L. Travis,Derby County,1620,1377,185,1,19,3,3222,19,
B. Brereton Díaz,Derby County,282,203,24,3,10,2,1010,14,
J. Ward,Derby County,49,38,4,0,15,0,153,1,
O. Diakité,West Bromwich Albion,376,322,29,0,0,0,870,1,
C. O'Hare,Sheffield United,1085,884,35,6,22,9,3230,50,
J. Bowler,Nottingham Forest,197,160,8,0,19,1,608,5,
A. McCann,Preston North End,977,789,76,0,15,0,2423,17,
S. Baptiste,Luton Town,311,263,29,0,32,3,719,15,
L. Millar,Hull City,248,203,16,2,37,1,620,9,
M. Bird,Bristol City,1645,1314,150,8,128,11,3578,78,
T. Cantwell,Blackburn Rovers,1186,959,130,7,137,13,2485,57,
D. Burgzorg,Bristol City,483,394,18,2,11,3,2200,25,
L. O'Brien,Nottingham Forest,629,481,49,0,19,2,1421,9,
B. Mumba,Huddersfield Town,1175,961,87,2,48,4,3396,22,
N. Madsen,Queens Park Rangers,628,494,70,3,62,4,1767,35,
J. Eccles,Coventry City,1264,1038,129,3,41,5,2393,27,
A. Doughty,Millwall,747,529,182,4,275,10,2045,64,
J. Gelhardt,Hull City,420,308,21,0,57,5,1607,18,
J. Knight,Bristol City,2693,2240,232,6,48,4,4230,60,
M. Manhoef,Stoke City,539,425,41,5,133,12,2431,53,
A. Randell,Bristol City,1562,1238,237,3,134,6,3385,43,
T. Sakamoto,Coventry City,830,660,64,6,84,9,2803,31,
J. Rudoni,Coventry City,1595,1288,88,12,297,16,3721,80,
B. Mitchell,Millwall,422,351,48,0,15,0,887,6,
G. Franco,Swansea City,1438,1172,98,2,34,3,3160,34,
L. Cundle,Millwall,282,222,23,0,3,0,992,10,
M. Whittaker,Middlesbrough,855,676,78,2,59,5,2743,33,
S. Silvera,Middlesbrough,119,94,7,0,13,1,442,6,
X. Simons,Hull City,486,421,37,0,8,0,1207,8,
L. Thompson,Derby County,560,419,71,0,25,1,1630,4,
J. Eom,Swansea City,652,525,28,2,122,5,2300,36,
I. Jones,Luton Town,595,443,51,0,58,5,2105,23,
F. Azeez,Millwall,481,309,52,5,80,4,1906,27,
H. Hackney,Middlesbrough,3076,2609,276,3,32,9,3794,66,
T. Fornah,Derby County,3,2,0,0,0,0,9,0,
A. Morris,Middlesbrough,2232,2056,152,2,14,1,2920,27,
T. Gardner-Hickman,Blackburn Rovers,0,0,0,0,0,0,0,0,
T. Seko,Stoke City,819,676,97,0,32,2,1594,8,
J. Anthony,Bournemouth,1356,1085,89,7,251,14,3672,83,
E. Matazo,Hull City,118,98,5,0,9,0,302,7,
I. Price,West Bromwich Albion,451,354,53,1,63,2,1055,21,
D. Gyabi,Hull City,886,720,61,2,6,2,2892,24,
A. Robertson,Cardiff City,1183,979,105,3,133,1,2426,48,
M. Hamilton,Middlesbrough,160,143,4,0,5,0,313,5,
D. Turnbull,Cardiff City,582,523,46,0,50,1,825,15,
C. Neghli,Millwall,63,40,7,0,11,0,193,3,
K. Kesler-Hayden,Coventry City,1295,1004,112,3,49,6,3672,24,
R. Colwill,Cardiff City,971,788,80,4,77,4,2529,46,
J. Rak-Sakyi,Stoke City,439,355,23,2,34,3,1756,30,
J. Varane,Queens Park Rangers,1050,862,97,2,12,2,2604,11,
Ronald,Swansea City,1089,857,59,7,177,13,3775,46,
M. Belloumi,Hull City,276,196,23,2,58,4,820,23,
KMK. Montgomery,Blackburn Rovers,47,36,3,0,2,0,136,0,
B. Gannon-Doak,Bournemouth,626,525,18,7,52,7,1787,45,
T. Watson,Millwall,228,181,13,0,55,2,935,13,
J. Bae,Stoke City,1039,852,36,5,98,5,3274,48,
A. Matos,Sheffield United,213,161,18,0,4,0,947,4,
O. Arblaster,Sheffield United,580,503,47,1,18,2,977,22,
S. Peck,Sheffield United,1730,1416,155,2,48,5,3191,27,
A. Brooks,Sheffield United,315,260,22,2,17,4,1072,13,
K. Morgan,Queens Park Rangers,664,496,66,2,20,4,1592,10,
R. Esse,Coventry City,496,337,63,1,69,6,2029,27,
L. McCabe,Middlesbrough,0,0,0,0,0,0,0,0,
D. Bennie,Queens Park Rangers,58,40,6,0,5,0,228,1,
C. Ashford,Cardiff City,340,276,13,3,38,4,1532,13,
H. Armstrong,Preston North End,326,222,56,0,2,1,1110,5,
F. Vare,Blackburn Rovers,0,0,0,0,0,0,0,0,
IDI. Dunn,Blackburn Rovers,0,0,0,0,0,0,0,0,
RBR. Bangura-Williams,Millwall,139,98,16,3,2,1,609,4,
