Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
N. Viergever,FC Utrecht,33,2951,793,1,14.0,7,3,3.4994,3.494,1.5018,52,159,28,53,1,120,1818,1569,180,2,1,7,Defender
B. Nuytinck,NEC Nijmegen,27,1699,794,0,13.0,4,1,1.1339,1.133,0.6226,27,120,16,59,3,96,1060,941,124,2,1,4,Defender
P. van Aanholt,Sparta Rotterdam,21,1679,795,0,19.0,1,0,0.6422,0.648,2.1121,29,44,21,7,7,48,655,544,57,24,1,18,Defender
M. Peersman,FC Groningen,26,1814,796,2,4.0,0,0,0.2082,0.208,1.2633,36,91,22,40,1,123,1041,831,114,26,2,10,Defender
I. Pinto,Fortuna Sittard,31,2514,797,3,5.0,1,0,0.248,0.248,4.4972,50,76,24,16,1,91,931,682,187,95,2,26,Defender
B. Martins Indi,Sparta Rotterdam,24,555,798,0,3.0,0,0,0.0846,0.089,0.2394,3,25,4,7,1,17,472,433,30,0,0,3,Defender
G. Trauner,Feyenoord,23,1393,799,0,14.0,3,0,0.9575,1.138,0.9334,18,73,36,47,6,73,1146,1036,77,0,1,6,Defender
G. Nauber,Go Ahead Eagles,32,2688,800,0,15.0,4,2,1.7464,1.776,0.3667,26,165,16,55,6,90,1667,1474,205,0,0,5,Defender
M. van der Hoorn,FC Utrecht,32,2559,801,2,23.0,8,3,2.7198,2.69,1.4342,39,182,37,152,4,212,1625,1330,308,3,5,12,Defender
D. Mirani,Heracles Almelo,34,3016,802,0,22.0,5,2,1.6559,1.655,1.0333,45,209,33,115,2,173,1765,1509,264,6,1,8,Defender
D. Sinkgraven,Fortuna Sittard,2,77,803,0,,0,0,0.0,,0.0208,5,6,1,0,0,6,48,42,4,4,0,0,Defender
J. Kramer,Go Ahead Eagles,34,3047,804,1,26.0,9,0,1.7161,1.684,1.9949,31,240,29,87,6,141,2408,2137,253,6,4,15,Defender
M. Deijl,Feyenoord,34,3060,805,1,36.0,12,4,4.7726,3.215,1.9883,51,105,15,43,10,169,1259,971,218,55,4,19,Defender
S. Horemans,FC Utrecht,31,2361,806,4,9.0,3,1,0.4316,0.44,3.4409,69,119,48,47,2,135,1053,805,171,77,5,22,Defender
J. Lotomba,Feyenoord,6,487,807,1,8.0,2,1,0.7347,0.735,0.3371,11,7,8,12,0,39,211,186,12,6,0,2,Defender
B. Nieuwkoop,Feyenoord,14,465,808,1,4.0,4,0,0.7153,0.716,0.4412,14,11,6,10,0,31,153,118,12,9,2,6,Defender
T. Ouwejan,NEC Nijmegen,31,1868,809,5,32.0,10,2,1.9597,1.289,5.0792,52,47,25,14,11,81,593,422,70,211,14,45,Defender
R. Behounek,Willem II Tilburg,35,3143,810,1,8.0,2,2,1.8516,1.606,1.6035,39,202,34,39,1,96,1961,1658,342,4,1,4,Defender
M. Tirpan,Willem II Tilburg,24,1949,811,1,7.0,2,1,0.6224,0.636,1.0197,51,68,28,30,1,110,875,693,80,102,4,16,Defender
S. Floranus,PEC Zwolle,26,1944,812,1,6.0,0,0,0.7795,0.76,0.967,44,89,31,24,1,91,851,698,71,29,1,11,Defender
A. Obispo,PSV Eindhoven,27,431,813,0,4.0,3,1,0.445,0.452,0.1265,2,26,6,23,0,25,369,328,36,0,0,0,Defender
M. Rente,FC Groningen,30,2593,814,1,14.0,5,2,1.4051,1.406,1.6359,51,131,53,107,1,182,1420,1162,185,37,2,13,Defender
J. Hoogma,Willem II Tilburg,26,261,815,0,4.0,2,2,1.2329,1.233,0.4574,5,26,1,13,1,20,153,129,24,0,1,1,Defender
O. Wijndal,AFC Ajax,23,368,816,0,4.0,1,0,0.1757,0.176,0.7396,7,6,2,4,1,23,201,176,15,13,1,2,Defender
N. Vesterlund,FC Utrecht,15,638,817,2,4.0,2,1,0.4142,0.415,0.6138,10,25,5,9,0,23,236,193,22,6,0,7,Defender
P. Sandler,NEC Nijmegen,20,1537,818,0,5.0,0,0,0.2079,0.208,0.6633,19,79,23,32,2,70,1051,933,111,3,1,7,Defender
S. Kersten,SC Heerenveen,34,2381,819,1,13.0,4,1,1.3185,1.226,0.4574,47,149,32,42,5,105,1619,1451,123,2,0,8,Defender
J. Castillo,RKC Waalwijk,26,1540,820,3,6.0,2,0,0.1448,0.145,2.4785,36,65,9,13,2,72,577,469,89,104,7,27,Defender
G. Smal,Feyenoord,32,1355,821,2,10.0,3,0,0.5019,0.501,2.6278,15,28,12,18,3,45,770,638,66,50,3,24,Defender
I. Márquez,Fortuna Sittard,29,2335,822,0,15.0,3,2,1.1973,1.232,1.4587,27,149,31,83,4,126,1487,1291,138,1,1,2,Defender
M. Júnior,PSV Eindhoven,26,2017,823,6,21.0,6,0,1.3467,1.368,4.4684,54,43,21,13,5,107,1429,1281,90,61,9,34,Defender
M. de Wit,AZ Alkmaar,29,478,824,1,3.0,1,1,0.8067,0.838,0.3889,12,12,5,4,0,26,315,290,23,8,0,4,Defender
S. Bakari,Sparta Rotterdam,34,2147,825,0,12.0,3,1,0.7044,0.669,0.9741,57,89,33,19,5,99,924,796,89,44,0,12,Defender
S. Dest,PSV Eindhoven,7,375,826,1,4.0,0,0,0.1665,0.253,0.4816,7,0,2,0,1,23,213,198,9,9,2,4,Defender
L. van Gelderen,RKC Waalwijk,34,2697,827,0,7.0,2,0,0.4313,0.431,0.5516,62,176,50,46,2,132,1263,1120,118,12,1,6,Defender
I. Mesík,Heracles Almelo,33,2910,828,0,21.0,2,1,0.9452,0.987,1.3005,27,256,36,39,7,99,1671,1451,218,5,0,3,Defender
