Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
N. Viergever,FC Utrecht,1,1,14.0,7,3,2951,3.4994,3.494,1.5018,
B. Nuytinck,NEC Nijmegen,0,1,13.0,4,1,1699,1.1339,1.133,0.6226,
P. van Aanholt,Sparta Rotterdam,0,1,19.0,1,0,1679,0.6422,0.648,2.1121,
M. Peersman,FC Groningen,2,2,4.0,0,0,1814,0.2082,0.208,1.2633,
I. Pinto,Fortuna Sittard,3,2,5.0,1,0,2514,0.248,0.248,4.4972,
B. Martins Indi,Sparta Rotterdam,0,0,3.0,0,0,555,0.0846,0.089,0.2394,
G. Trauner,Feyenoord,0,1,14.0,3,0,1393,0.9575,1.138,0.9334,
G. Nauber,Go Ahead Eagles,0,0,15.0,4,2,2688,1.7464,1.776,0.3667,
M. van der Hoorn,FC Utrecht,2,5,23.0,8,3,2559,2.7198,2.69,1.4342,
D. Mirani,Heracles Almelo,0,1,22.0,5,2,3016,1.6559,1.655,1.0333,
D. Sinkgraven,Fortuna Sittard,0,0,,0,0,77,0.0,,0.0208,
J. Kramer,Go Ahead Eagles,1,4,26.0,9,0,3047,1.7161,1.684,1.9949,
M. Deijl,Feyenoord,1,4,36.0,12,4,3060,4.7726,3.215,1.9883,
S. Horemans,FC Utrecht,4,5,9.0,3,1,2361,0.4316,0.44,3.4409,
J. Lotomba,Feyenoord,1,0,8.0,2,1,487,0.7347,0.735,0.3371,
B. Nieuwkoop,Feyenoord,1,2,4.0,4,0,465,0.7153,0.716,0.4412,
T. Ouwejan,NEC Nijmegen,5,14,32.0,10,2,1868,1.9597,1.289,5.0792,
R. Behounek,Willem II Tilburg,1,1,8.0,2,2,3143,1.8516,1.606,1.6035,
M. Tirpan,Willem II Tilburg,1,4,7.0,2,1,1949,0.6224,0.636,1.0197,
S. Floranus,PEC Zwolle,1,1,6.0,0,0,1944,0.7795,0.76,0.967,
A. Obispo,PSV Eindhoven,0,0,4.0,3,1,431,0.445,0.452,0.1265,
M. Rente,FC Groningen,1,2,14.0,5,2,2593,1.4051,1.406,1.6359,
J. Hoogma,Willem II Tilburg,0,1,4.0,2,2,261,1.2329,1.233,0.4574,
O. Wijndal,AFC Ajax,0,1,4.0,1,0,368,0.1757,0.176,0.7396,
N. Vesterlund,FC Utrecht,2,0,4.0,2,1,638,0.4142,0.415,0.6138,
