Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
N. Viergever,FC Utrecht,33,3,2951,3.4994,1.5018,
B. Nuytinck,NEC Nijmegen,27,1,1699,1.1339,0.6226,
P. van Aanholt,Sparta Rotterdam,21,0,1679,0.6422,2.1121,
M. Peersman,FC Groningen,26,0,1814,0.2082,1.2633,
I. Pinto,Fortuna Sittard,31,0,2514,0.248,4.4972,
B. Martins Indi,Sparta Rotterdam,24,0,555,0.0846,0.2394,
G. Trauner,Feyenoord,23,0,1393,0.9575,0.9334,
G. Nauber,Go Ahead Eagles,32,2,2688,1.7464,0.3667,
M. van der Hoorn,FC Utrecht,32,3,2559,2.7198,1.4342,
D. Mirani,Heracles Almelo,34,2,3016,1.6559,1.0333,
D. Sinkgraven,Fortuna Sittard,2,0,77,0,0.0208,
J. Kramer,Go Ahead Eagles,34,0,3047,1.7161,1.9949,
M. Deijl,Feyenoord,34,4,3060,4.7726,1.9883,
S. Horemans,FC Utrecht,31,1,2361,0.4316,3.4409,
J. Lotomba,Feyenoord,6,1,487,0.7347,0.3371,
B. Nieuwkoop,Feyenoord,14,0,465,0.7153,0.4412,
T. Ouwejan,NEC Nijmegen,31,2,1868,1.9597,5.0792,
R. Behounek,Willem II Tilburg,35,2,3143,1.8516,1.6035,
M. Tirpan,Willem II Tilburg,24,1,1949,0.6224,1.0197,
S. Floranus,PEC Zwolle,26,0,1944,0.7795,0.967,
A. Obispo,PSV Eindhoven,27,1,431,0.445,0.1265,
M. Rente,FC Groningen,30,2,2593,1.4051,1.6359,
J. Hoogma,Willem II Tilburg,26,2,261,1.2329,0.4574,
O. Wijndal,AFC Ajax,23,0,368,0.1757,0.7396,
N. Vesterlund,FC Utrecht,15,1,638,0.4142,0.6138,
P. Sandler,NEC Nijmegen,20,0,1537,0.2079,0.6633,
S. Kersten,SC Heerenveen,34,1,2381,1.3185,0.4574,
J. Castillo,RKC Waalwijk,26,0,1540,0.1448,2.4785,
G. Smal,Feyenoord,32,0,1355,0.5019,2.6278,
I. Márquez,Fortuna Sittard,29,2,2335,1.1973,1.4587,
M. Júnior,PSV Eindhoven,26,0,2017,1.3467,4.4684,
M. de Wit,AZ Alkmaar,29,1,478,0.8067,0.3889,
S. Bakari,Sparta Rotterdam,34,1,2147,0.7044,0.9741,
S. Dest,PSV Eindhoven,7,0,375,0.1665,0.4816,
L. van Gelderen,RKC Waalwijk,34,0,2697,0.4313,0.5516,
I. Mesík,Heracles Almelo,33,1,2910,0.9452,1.3005,
R. van Eijma,RKC Waalwijk,29,0,1827,0.2713,0.1311,
B. van Rooij,FC Twente,36,1,3232,1.1717,4.8763,
M. Eerdhuijzen,FC Utrecht,32,1,2807,0.8552,1.5518,
J. Šutalo,AFC Ajax,29,2,2450,0.6747,1.3313,
A. Salah-Eddine,PSV Eindhoven,18,2,1286,0.7053,1.3352,
S. van Ottele,Fortuna Sittard,33,0,1875,0.596,1.5707,
T. Quintero,Sparta Rotterdam,22,1,590,0.3092,0.1343,
L. Rosa,AFC Ajax,14,0,246,0.0387,0.1247,
A. Van Hoorenbeeck,Heracles Almelo,35,2,1163,1.3945,1.0049,
DvD. van der Kust,Heracles Almelo,19,0,927,0.0979,0.4004,
J. Wieckhoff,Heracles Almelo,33,0,1249,0,1.8272,
S. Adewoye,Fortuna Sittard,25,1,1753,1.448,0.2573,
S. El Karouani,FC Utrecht,34,2,2975,1.8373,6.8647,
RMR. Mulders,SC Cambuur,3,0,329,0,0,
M. Didden,FC Utrecht,29,0,528,0.4505,0.0685,
Y. Baas,AFC Ajax,25,1,2041,0.6673,0.9202,
J. Dirksen,Go Ahead Eagles,25,0,74,0.0849,0.1312,
A. Penetra,AZ Alkmaar,35,1,2732,1.3125,0.821,
A. Garcia McNulty,PEC Zwolle,34,1,3060,2.3903,1.5919,
D. Kasius,AZ Alkmaar,36,3,1402,1.5686,3.9977,
B. Pereira,NEC Nijmegen,35,3,2231,1.6035,2.04,
M. Hilgers,FC Twente,28,1,1951,2.5885,0.3232,
S. Maikuma,AZ Alkmaar,31,0,2047,1.2357,2.6924,
D. James,Go Ahead Eagles,27,2,1720,1.5808,4.1234,
R. Flamingo,PSV Eindhoven,34,0,2942,2.56,1.5112,
L. Wouters,RKC Waalwijk,19,0,826,0.0298,0.2196,
J. Dahlhaus,Fortuna Sittard,34,2,1779,1.0745,1.5977,
O. Aertssen,PEC Zwolle,22,1,1129,0.6084,1.0932,
JAJ. Amofa,SC Cambuur,11,0,160,0.2324,0.0691,
J. Berkhout,SC Cambuur,2,0,0,0,0,
A. Kaplan,NEC Nijmegen,30,0,566,0.3866,0.4483,
VZV. Zagaritis,SC Heerenveen,33,0,2960,0.7831,5.2148,
M. Bruns,FC Twente,35,0,1848,0.8197,0.4717,
M. Dekker,AZ Alkmaar,30,0,678,0,0.5443,
A. Gaaei,AFC Ajax,30,3,1790,1.6973,4.0837,
T. Blokzijl,FC Groningen,32,1,2241,1.0297,0.2473,
T. Beelen,Feyenoord,29,1,1695,0.8208,0.8464,
H. Petrov,SC Heerenveen,18,1,449,0.2591,0.0838,
M. Benita,Heracles Almelo,34,0,2044,0.3406,1.3063,
MWM. Willemsen,SC Heerenveen,1,0,90,0,0,
A. Adelgaard,Go Ahead Eagles,30,0,1224,0.291,1.2611,
W. Goes,AZ Alkmaar,29,1,2191,0.4455,1.0894,
T. Galvez,SC Cambuur,1,0,94,0,0,
O. Braude,SC Heerenveen,34,0,2708,0.4227,1.4792,
D. van der Haar,PEC Zwolle,34,2,1835,1.019,2.4979,
M. Kleijn,Sparta Rotterdam,27,0,279,0,0.1296,
F. Al Mazyani,RKC Waalwijk,23,0,1634,0.4068,1.1027,
COC. Olde Keizer,Vitesse,3,0,0,0,0,
EDE. Dijkstra,AZ Alkmaar,9,0,92,0,0.149,
M. Rots,FC Twente,31,1,1318,1.0776,0.8169,
G. Read,Feyenoord,33,2,1983,1.8976,3.7616,
DJD. Janse,FC Groningen,18,0,329,0.019,0.6664,
W. Prins,FC Groningen,31,1,1673,0.5681,1.3171,
MDM. De Ligt,Sparta Rotterdam,8,0,0,0,0,
ABA. Bouwman,AFC Ajax,1,0,0,0,0,
T. Mercera,FC Groningen,1,0,113,0,0,
DRD. Ruward,PEC Zwolle,1,0,0,0,0,
S. Bouland,FC Groningen,15,0,53,0,0.0426,
M. Young,Sparta Rotterdam,33,0,2175,0.7543,0.5718,
J. Tijink,Heracles Almelo,11,0,0,0,0,
RNR. Nijstad,FC Twente,4,0,0,0,0,
J. Mathijsen,Willem II Tilburg,31,1,256,0,0,
RBR. Bouw,SC Heerenveen,5,0,13,0,0,
ABA. Bah,Fortuna Sittard,3,0,0,0,0,
