Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
N. Viergever,FC Utrecht,52,159,28,53,1,2951,120,
B. Nuytinck,NEC Nijmegen,27,120,16,59,3,1699,96,
P. van Aanholt,Sparta Rotterdam,29,44,21,7,7,1679,48,
M. Peersman,FC Groningen,36,91,22,40,1,1814,123,
I. Pinto,Fortuna Sittard,50,76,24,16,1,2514,91,
B. Martins Indi,Sparta Rotterdam,3,25,4,7,1,555,17,
G. Trauner,Feyenoord,18,73,36,47,6,1393,73,
G. Nauber,Go Ahead Eagles,26,165,16,55,6,2688,90,
M. van der Hoorn,FC Utrecht,39,182,37,152,4,2559,212,
D. Mirani,Heracles Almelo,45,209,33,115,2,3016,173,
D. Sinkgraven,Fortuna Sittard,5,6,1,0,0,77,6,
J. Kramer,Go Ahead Eagles,31,240,29,87,6,3047,141,
M. Deijl,Feyenoord,51,105,15,43,10,3060,169,
S. Horemans,FC Utrecht,69,119,48,47,2,2361,135,
J. Lotomba,Feyenoord,11,7,8,12,0,487,39,
B. Nieuwkoop,Feyenoord,14,11,6,10,0,465,31,
T. Ouwejan,NEC Nijmegen,52,47,25,14,11,1868,81,
R. Behounek,Willem II Tilburg,39,202,34,39,1,3143,96,
M. Tirpan,Willem II Tilburg,51,68,28,30,1,1949,110,
S. Floranus,PEC Zwolle,44,89,31,24,1,1944,91,
A. Obispo,PSV Eindhoven,2,26,6,23,0,431,25,
M. Rente,FC Groningen,51,131,53,107,1,2593,182,
J. Hoogma,Willem II Tilburg,5,26,1,13,1,261,20,
O. Wijndal,AFC Ajax,7,6,2,4,1,368,23,
N. Vesterlund,FC Utrecht,10,25,5,9,0,638,23,
P. Sandler,NEC Nijmegen,19,79,23,32,2,1537,70,
S. Kersten,SC Heerenveen,47,149,32,42,5,2381,105,
J. Castillo,RKC Waalwijk,36,65,9,13,2,1540,72,
G. Smal,Feyenoord,15,28,12,18,3,1355,45,
I. Márquez,Fortuna Sittard,27,149,31,83,4,2335,126,
M. Júnior,PSV Eindhoven,54,43,21,13,5,2017,107,
M. de Wit,AZ Alkmaar,12,12,5,4,0,478,26,
S. Bakari,Sparta Rotterdam,57,89,33,19,5,2147,99,
S. Dest,PSV Eindhoven,7,0,2,0,1,375,23,
L. van Gelderen,RKC Waalwijk,62,176,50,46,2,2697,132,
I. Mesík,Heracles Almelo,27,256,36,39,7,2910,99,
R. van Eijma,RKC Waalwijk,27,156,36,40,3,1827,80,
B. van Rooij,FC Twente,79,139,39,47,9,3232,169,
M. Eerdhuijzen,FC Utrecht,31,218,44,97,3,2807,146,
J. Šutalo,AFC Ajax,30,129,63,66,2,2450,127,
A. Salah-Eddine,PSV Eindhoven,33,19,16,10,3,1286,73,
S. van Ottele,Fortuna Sittard,57,105,32,54,6,1875,144,
T. Quintero,Sparta Rotterdam,15,47,6,28,0,590,47,
L. Rosa,AFC Ajax,7,7,4,7,0,246,17,
A. Van Hoorenbeeck,Heracles Almelo,17,87,12,32,3,1163,59,
DvD. van der Kust,Heracles Almelo,17,26,10,6,0,927,26,
J. Wieckhoff,Heracles Almelo,43,46,11,5,0,1249,69,
S. Adewoye,Fortuna Sittard,30,110,30,34,2,1753,77,
S. El Karouani,FC Utrecht,78,97,32,31,14,2975,167,
RMR. Mulders,SC Cambuur,13,11,4,5,0,329,29,
M. Didden,FC Utrecht,4,43,5,22,0,528,27,
Y. Baas,AFC Ajax,27,84,33,29,0,2041,88,
J. Dirksen,Go Ahead Eagles,2,4,0,0,0,74,2,
A. Penetra,AZ Alkmaar,22,155,40,57,3,2732,102,
A. Garcia McNulty,PEC Zwolle,36,201,34,78,6,3060,135,
D. Kasius,AZ Alkmaar,32,41,25,5,9,1402,68,
B. Pereira,NEC Nijmegen,74,63,24,22,3,2231,172,
M. Hilgers,FC Twente,51,85,16,27,2,1951,99,
S. Maikuma,AZ Alkmaar,78,90,28,35,9,2047,154,
D. James,Go Ahead Eagles,22,59,10,12,3,1720,53,
R. Flamingo,PSV Eindhoven,46,139,40,93,6,2942,159,
L. Wouters,RKC Waalwijk,27,50,11,19,1,826,56,
J. Dahlhaus,Fortuna Sittard,41,50,36,24,2,1779,110,
O. Aertssen,PEC Zwolle,29,65,14,21,2,1129,70,
JAJ. Amofa,SC Cambuur,1,4,1,1,0,160,2,
J. Berkhout,SC Cambuur,0,0,0,0,0,0,0,
A. Kaplan,NEC Nijmegen,15,32,3,10,0,566,35,
VZV. Zagaritis,SC Heerenveen,46,99,47,45,8,2960,179,
M. Bruns,FC Twente,20,85,27,42,0,1848,75,
M. Dekker,AZ Alkmaar,2,28,7,7,0,678,13,
A. Gaaei,AFC Ajax,31,45,13,28,6,1790,75,
T. Blokzijl,FC Groningen,32,120,34,38,1,2241,77,
T. Beelen,Feyenoord,20,67,31,49,4,1695,84,
H. Petrov,SC Heerenveen,8,22,6,10,0,449,19,
M. Benita,Heracles Almelo,63,82,42,34,3,2044,149,
MWM. Willemsen,SC Heerenveen,0,4,1,2,0,90,2,
A. Adelgaard,Go Ahead Eagles,21,40,10,8,2,1224,53,
W. Goes,AZ Alkmaar,30,103,24,35,0,2191,101,
T. Galvez,SC Cambuur,0,2,0,1,0,94,5,
O. Braude,SC Heerenveen,104,90,34,41,4,2708,222,
D. van der Haar,PEC Zwolle,38,68,16,9,1,1835,54,
M. Kleijn,Sparta Rotterdam,10,6,4,0,0,279,15,
F. Al Mazyani,RKC Waalwijk,50,60,41,19,4,1634,97,
COC. Olde Keizer,Vitesse,0,0,0,0,0,0,0,
EDE. Dijkstra,AZ Alkmaar,1,3,2,0,0,92,3,
M. Rots,FC Twente,33,41,16,8,10,1318,75,
G. Read,Feyenoord,64,56,15,11,4,1983,112,
DJD. Janse,FC Groningen,4,6,2,7,1,329,22,
W. Prins,FC Groningen,73,73,21,25,1,1673,116,
MDM. De Ligt,Sparta Rotterdam,0,0,0,0,0,0,0,
ABA. Bouwman,AFC Ajax,0,0,0,0,0,0,0,
T. Mercera,FC Groningen,0,0,0,4,0,113,5,
DRD. Ruward,PEC Zwolle,0,0,0,0,0,0,0,
S. Bouland,FC Groningen,0,1,0,0,0,53,0,
M. Young,Sparta Rotterdam,68,164,34,39,2,2175,118,
J. Tijink,Heracles Almelo,0,0,0,0,0,0,0,
RNR. Nijstad,FC Twente,0,0,0,0,0,0,0,
J. Mathijsen,Willem II Tilburg,13,12,2,6,3,256,22,
RBR. Bouw,SC Heerenveen,1,0,1,1,0,13,2,
ABA. Bah,Fortuna Sittard,0,0,0,0,0,0,0,
