Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
R. van Wolfswinkel,FC Twente,30,1812,893,1,39.0,21,7,5.5946,4.679,1.3576,28,40,9,64,7,119,413,274,20,5,2,13,Forward
M. Kramer,RKC Waalwijk,25,852,894,0,18.0,10,3,2.7613,2.571,0.3199,3,9,0,33,2,42,198,140,6,2,0,7,Forward
B. Linssen,NEC Nijmegen,17,900,895,0,32.0,12,4,4.4969,4.445,0.6132,11,12,1,20,9,40,133,75,7,4,0,3,Forward
M. de Leeuw,SC Cambuur,1,10,896,0,,0,0,0.0,,0.0,0,0,0,0,0,0,1,1,0,0,1,1,Forward
S. Berghuis,AFC Ajax,28,1437,897,5,33.0,10,2,3.817,2.48,7.0148,19,3,6,8,6,45,723,580,74,109,7,36,Forward
S. Haller,FC Utrecht,17,1275,898,1,33.0,15,4,5.8442,5.824,1.1179,14,18,0,82,6,124,369,247,11,0,1,26,Forward
C. Akpom,AFC Ajax,19,831,899,1,21.0,10,3,3.1312,3.04,0.7512,9,11,0,26,6,67,236,186,3,6,1,5,Forward
W. Weghorst,AFC Ajax,25,1085,900,2,36.0,18,10,7.5732,6.22,2.0289,2,15,1,52,8,83,343,240,6,5,4,19,Forward
O. Zawada,FC Groningen,26,1955,901,0,61.0,30,9,13.7984,13.71,1.7398,14,33,1,105,10,133,472,314,10,1,1,20,Forward
F. Stokkers,Go Ahead Eagles,21,454,902,2,12.0,6,3,2.7801,2.781,0.7869,2,5,6,19,2,26,122,86,3,4,2,5,Forward
T. Lauritsen,Sparta Rotterdam,33,2713,903,2,94.0,35,10,10.4498,9.39,2.6301,14,39,0,233,21,300,629,371,6,7,3,31,Forward
S. Lammers,FC Twente,21,1509,904,1,52.0,23,7,7.0121,7.01,2.9776,8,13,4,30,11,55,405,277,19,9,4,13,Forward
M. van Bergen,FC Twente,31,1936,905,2,47.0,21,3,3.2468,3.387,4.5075,19,4,6,2,15,66,385,313,13,151,4,33,Forward
K. Ogawa,NEC Nijmegen,25,1605,906,1,52.0,17,7,8.6765,7.964,2.156,9,12,2,55,15,88,268,183,3,0,2,11,Forward
V. Kaj Edvardsen,Go Ahead Eagles,34,2749,907,6,68.0,26,8,10.4398,10.462,5.594,10,16,4,26,18,69,723,513,49,38,11,44,Forward
K. Sierhuis,Fortuna Sittard,11,540,908,1,8.0,1,1,1.7008,1.692,0.6124,1,4,1,16,0,29,113,62,6,3,1,4,Forward
T. Buitink,PEC Zwolle,34,259,909,0,7.0,4,0,1.0696,1.087,0.0274,0,1,0,1,1,6,38,30,0,7,1,2,Forward
B. Darri Willumsson,FC Groningen,30,962,910,1,25.0,7,4,1.9847,1.985,1.0365,8,1,1,52,7,91,241,160,3,3,2,16,Forward
J. Hornkamp,AZ Alkmaar,26,1590,911,2,40.0,17,8,6.5457,4.849,1.1823,9,25,3,53,6,85,335,224,21,10,2,14,Forward
K. de Rooij,PEC Zwolle,33,336,912,1,3.0,2,2,0.3204,0.32,0.4818,4,3,2,22,1,43,133,85,6,4,0,4,Forward
R. Mendes,FC Groningen,34,524,913,1,7.0,3,1,1.1744,1.174,0.6391,5,1,0,6,4,18,92,63,2,1,1,6,Forward
YEY. El Kachati,NEC Nijmegen,4,362,914,0,17.0,7,3,0.0,,0.0,1,2,0,5,5,25,57,46,3,16,1,2,Forward
TBT. Baeten,Go Ahead Eagles,3,11,915,0,,0,0,0.0,,0.0102,0,0,0,0,0,0,10,5,4,0,0,0,Forward
D. Min,FC Utrecht,34,1264,916,0,32.0,9,3,3.7528,3.585,0.4053,10,18,2,47,10,86,263,182,10,1,0,7,Forward
T. Parrott,AZ Alkmaar,30,2212,917,2,71.0,36,14,15.4604,14.423,4.6555,19,19,2,37,12,97,482,345,9,15,4,30,Forward
R. Margaret,Go Ahead Eagles,34,2525,918,7,47.0,14,5,4.9727,4.244,4.9889,48,15,10,17,18,195,607,496,15,97,7,47,Forward
A. Ueda,Feyenoord,21,1210,919,1,39.0,15,7,6.7719,7.237,0.4587,4,10,1,33,5,70,175,135,11,3,0,12,Forward
R. Pepi,PSV Eindhoven,20,683,920,2,34.0,17,11,5.9442,5.944,0.6908,6,6,1,13,8,35,174,134,3,0,2,9,Forward
S. Tengstedt,Go Ahead Eagles,14,428,921,0,13.0,1,0,1.0585,1.059,0.3073,8,4,0,4,5,26,144,123,2,3,0,3,Forward
L. Kulenović,Heracles Almelo,25,1455,922,2,39.0,20,9,6.9565,7.036,0.8622,12,10,4,100,4,131,326,198,8,6,3,17,Forward
R. Balk,SC Cambuur,1,120,923,0,5.0,1,0,0.0,,0.0,1,0,0,1,1,5,37,26,2,7,1,3,Forward
C. Driouech,PSV Eindhoven,26,260,924,1,13.0,4,2,1.0039,1.041,0.8893,3,2,0,1,3,11,147,129,7,22,1,9,Forward
DHD. Haen,Willem II Tilburg,3,270,925,2,6.0,2,1,0.0,,0.0,0,6,0,13,2,14,72,40,11,0,1,4,Forward
L. Zeefuik,AZ Alkmaar,8,38,926,0,3.0,0,0,0.1239,0.124,0.0565,1,0,0,4,2,6,9,8,1,0,0,0,Forward
E. Bajraktarević,PSV Eindhoven,12,20,927,0,2.0,0,0,0.134,0.134,0.0436,0,0,0,0,1,2,21,19,0,2,0,0,Forward
M. Godts,AFC Ajax,29,1653,928,2,50.0,15,4,4.5674,4.544,3.6535,25,9,5,6,15,112,623,504,31,22,4,20,Forward
M. Meerdink,AZ Alkmaar,29,1067,929,0,45.0,23,13,6.5746,6.735,0.963,10,5,1,66,2,106,276,187,7,5,1,13,Forward
RvR. van Hedel,RKC Waalwijk,3,78,930,0,3.0,1,0,0.0,,0.0,2,3,0,1,1,3,20,17,4,0,0,0,Forward
B. Önal,NEC Nijmegen,35,1446,931,2,29.0,12,1,3.0628,3.117,2.4297,23,8,7,8,6,74,401,293,25,67,3,30,Forward
A. Blake,FC Utrecht,30,463,932,2,16.0,6,3,0.8146,0.844,1.6825,15,1,2,0,5,34,142,110,13,14,2,11,Forward
A. Hadj Moussa,Feyenoord,33,1970,933,3,53.0,20,8,3.143,3.206,7.2862,29,10,8,8,18,112,653,495,55,117,10,35,Forward
DKD. Konadu,AFC Ajax,8,69,934,1,1.0,0,0,0.0377,0.032,0.3946,1,0,0,0,0,6,18,13,0,0,0,2,Forward
T. van Bergen,FC Groningen,34,2489,935,1,42.0,15,5,8.3285,8.302,1.8748,38,28,12,76,14,184,596,435,18,8,2,28,Forward
G. Sambo,Heracles Almelo,5,26,936,0,,0,0,0.0,,0.0,2,1,0,1,0,4,6,3,1,1,0,0,Forward
JUJ. Uneken,RKC Waalwijk,4,0,937,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
W. Kooistra,SC Cambuur,1,0,938,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
LVL. Vennegoor of Hesselink,FC Twente,10,60,939,0,4.0,2,0,0.7169,0.654,0.0057,0,1,0,5,0,7,15,8,2,0,0,0,Forward
