Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
R. van Wolfswinkel,FC Twente,1,2,39.0,21,7,1812,5.5946,4.679,1.3576,
M. Kramer,RKC Waalwijk,0,0,18.0,10,3,852,2.7613,2.571,0.3199,
B. Linssen,NEC Nijmegen,0,0,32.0,12,4,900,4.4969,4.445,0.6132,
M. de Leeuw,SC Cambuur,0,1,,0,0,10,0.0,,0.0,
S. Berghuis,AFC Ajax,5,7,33.0,10,2,1437,3.817,2.48,7.0148,
S. Haller,FC Utrecht,1,1,33.0,15,4,1275,5.8442,5.824,1.1179,
C. Akpom,AFC Ajax,1,1,21.0,10,3,831,3.1312,3.04,0.7512,
W. Weghorst,AFC Ajax,2,4,36.0,18,10,1085,7.5732,6.22,2.0289,
O. Zawada,FC Groningen,0,1,61.0,30,9,1955,13.7984,13.71,1.7398,
F. Stokkers,Go Ahead Eagles,2,2,12.0,6,3,454,2.7801,2.781,0.7869,
T. Lauritsen,Sparta Rotterdam,2,3,94.0,35,10,2713,10.4498,9.39,2.6301,
S. Lammers,FC Twente,1,4,52.0,23,7,1509,7.0121,7.01,2.9776,
M. van Bergen,FC Twente,2,4,47.0,21,3,1936,3.2468,3.387,4.5075,
K. Ogawa,NEC Nijmegen,1,2,52.0,17,7,1605,8.6765,7.964,2.156,
V. Kaj Edvardsen,Go Ahead Eagles,6,11,68.0,26,8,2749,10.4398,10.462,5.594,
K. Sierhuis,Fortuna Sittard,1,1,8.0,1,1,540,1.7008,1.692,0.6124,
T. Buitink,PEC Zwolle,0,1,7.0,4,0,259,1.0696,1.087,0.0274,
B. Darri Willumsson,FC Groningen,1,2,25.0,7,4,962,1.9847,1.985,1.0365,
J. Hornkamp,AZ Alkmaar,2,2,40.0,17,8,1590,6.5457,4.849,1.1823,
K. de Rooij,PEC Zwolle,1,0,3.0,2,2,336,0.3204,0.32,0.4818,
R. Mendes,FC Groningen,1,1,7.0,3,1,524,1.1744,1.174,0.6391,
YEY. El Kachati,NEC Nijmegen,0,1,17.0,7,3,362,0.0,,0.0,
TBT. Baeten,Go Ahead Eagles,0,0,,0,0,11,0.0,,0.0102,
D. Min,FC Utrecht,0,0,32.0,9,3,1264,3.7528,3.585,0.4053,
T. Parrott,AZ Alkmaar,2,4,71.0,36,14,2212,15.4604,14.423,4.6555,
R. Margaret,Go Ahead Eagles,7,7,47.0,14,5,2525,4.9727,4.244,4.9889,
A. Ueda,Feyenoord,1,0,39.0,15,7,1210,6.7719,7.237,0.4587,
R. Pepi,PSV Eindhoven,2,2,34.0,17,11,683,5.9442,5.944,0.6908,
S. Tengstedt,Go Ahead Eagles,0,0,13.0,1,0,428,1.0585,1.059,0.3073,
L. Kulenović,Heracles Almelo,2,3,39.0,20,9,1455,6.9565,7.036,0.8622,
R. Balk,SC Cambuur,0,1,5.0,1,0,120,0.0,,0.0,
C. Driouech,PSV Eindhoven,1,1,13.0,4,2,260,1.0039,1.041,0.8893,
DHD. Haen,Willem II Tilburg,2,1,6.0,2,1,270,0.0,,0.0,
L. Zeefuik,AZ Alkmaar,0,0,3.0,0,0,38,0.1239,0.124,0.0565,
E. Bajraktarević,PSV Eindhoven,0,0,2.0,0,0,20,0.134,0.134,0.0436,
M. Godts,AFC Ajax,2,4,50.0,15,4,1653,4.5674,4.544,3.6535,
M. Meerdink,AZ Alkmaar,0,1,45.0,23,13,1067,6.5746,6.735,0.963,
RvR. van Hedel,RKC Waalwijk,0,0,3.0,1,0,78,0.0,,0.0,
B. Önal,NEC Nijmegen,2,3,29.0,12,1,1446,3.0628,3.117,2.4297,
A. Blake,FC Utrecht,2,2,16.0,6,3,463,0.8146,0.844,1.6825,
A. Hadj Moussa,Feyenoord,3,10,53.0,20,8,1970,3.143,3.206,7.2862,
DKD. Konadu,AFC Ajax,1,0,1.0,0,0,69,0.0377,0.032,0.3946,
T. van Bergen,FC Groningen,1,2,42.0,15,5,2489,8.3285,8.302,1.8748,
G. Sambo,Heracles Almelo,0,0,,0,0,26,0.0,,0.0,
JUJ. Uneken,RKC Waalwijk,0,0,,0,0,0,0.0,,0.0,
W. Kooistra,SC Cambuur,0,0,,0,0,0,0.0,,0.0,
LVL. Vennegoor of Hesselink,FC Twente,0,0,4.0,2,0,60,0.7169,0.654,0.0057,
PvP. van Loon,Willem II Tilburg,0,0,,0,0,17,0.0,,0.0071,
OBO. Boakye,Go Ahead Eagles,0,0,2.0,1,0,8,0.9425,0.942,0.0,
