Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
R. van Wolfswinkel,FC Twente,28,40,9,64,7,1812,119,
M. Kramer,RKC Waalwijk,3,9,0,33,2,852,42,
B. Linssen,NEC Nijmegen,11,12,1,20,9,900,40,
M. de Leeuw,SC Cambuur,0,0,0,0,0,10,0,
S. Berghuis,AFC Ajax,19,3,6,8,6,1437,45,
S. Haller,FC Utrecht,14,18,0,82,6,1275,124,
C. Akpom,AFC Ajax,9,11,0,26,6,831,67,
W. Weghorst,AFC Ajax,2,15,1,52,8,1085,83,
O. Zawada,FC Groningen,14,33,1,105,10,1955,133,
F. Stokkers,Go Ahead Eagles,2,5,6,19,2,454,26,
T. Lauritsen,Sparta Rotterdam,14,39,0,233,21,2713,300,
S. Lammers,FC Twente,8,13,4,30,11,1509,55,
M. van Bergen,FC Twente,19,4,6,2,15,1936,66,
K. Ogawa,NEC Nijmegen,9,12,2,55,15,1605,88,
V. Kaj Edvardsen,Go Ahead Eagles,10,16,4,26,18,2749,69,
K. Sierhuis,Fortuna Sittard,1,4,1,16,0,540,29,
T. Buitink,PEC Zwolle,0,1,0,1,1,259,6,
B. Darri Willumsson,FC Groningen,8,1,1,52,7,962,91,
J. Hornkamp,AZ Alkmaar,9,25,3,53,6,1590,85,
K. de Rooij,PEC Zwolle,4,3,2,22,1,336,43,
R. Mendes,FC Groningen,5,1,0,6,4,524,18,
YEY. El Kachati,NEC Nijmegen,1,2,0,5,5,362,25,
TBT. Baeten,Go Ahead Eagles,0,0,0,0,0,11,0,
D. Min,FC Utrecht,10,18,2,47,10,1264,86,
T. Parrott,AZ Alkmaar,19,19,2,37,12,2212,97,
R. Margaret,Go Ahead Eagles,48,15,10,17,18,2525,195,
A. Ueda,Feyenoord,4,10,1,33,5,1210,70,
R. Pepi,PSV Eindhoven,6,6,1,13,8,683,35,
S. Tengstedt,Go Ahead Eagles,8,4,0,4,5,428,26,
L. Kulenović,Heracles Almelo,12,10,4,100,4,1455,131,
R. Balk,SC Cambuur,1,0,0,1,1,120,5,
C. Driouech,PSV Eindhoven,3,2,0,1,3,260,11,
DHD. Haen,Willem II Tilburg,0,6,0,13,2,270,14,
L. Zeefuik,AZ Alkmaar,1,0,0,4,2,38,6,
E. Bajraktarević,PSV Eindhoven,0,0,0,0,1,20,2,
M. Godts,AFC Ajax,25,9,5,6,15,1653,112,
M. Meerdink,AZ Alkmaar,10,5,1,66,2,1067,106,
RvR. van Hedel,RKC Waalwijk,2,3,0,1,1,78,3,
B. Önal,NEC Nijmegen,23,8,7,8,6,1446,74,
A. Blake,FC Utrecht,15,1,2,0,5,463,34,
A. Hadj Moussa,Feyenoord,29,10,8,8,18,1970,112,
DKD. Konadu,AFC Ajax,1,0,0,0,0,69,6,
T. van Bergen,FC Groningen,38,28,12,76,14,2489,184,
G. Sambo,Heracles Almelo,2,1,0,1,0,26,4,
JUJ. Uneken,RKC Waalwijk,0,0,0,0,0,0,0,
W. Kooistra,SC Cambuur,0,0,0,0,0,0,0,
LVL. Vennegoor of Hesselink,FC Twente,0,1,0,5,0,60,7,
PvP. van Loon,Willem II Tilburg,2,0,0,0,0,17,2,
OBO. Boakye,Go Ahead Eagles,1,0,0,0,0,8,1,
