Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
R. van Wolfswinkel,FC Twente,413,274,20,1,5,2,1812,13,
M. Kramer,RKC Waalwijk,198,140,6,0,2,0,852,7,
B. Linssen,NEC Nijmegen,133,75,7,0,4,0,900,3,
M. de Leeuw,SC Cambuur,1,1,0,0,0,1,10,1,
S. Berghuis,AFC Ajax,723,580,74,5,109,7,1437,36,
S. Haller,FC Utrecht,369,247,11,1,0,1,1275,26,
C. Akpom,AFC Ajax,236,186,3,1,6,1,831,5,
W. Weghorst,AFC Ajax,343,240,6,2,5,4,1085,19,
O. Zawada,FC Groningen,472,314,10,0,1,1,1955,20,
F. Stokkers,Go Ahead Eagles,122,86,3,2,4,2,454,5,
T. Lauritsen,Sparta Rotterdam,629,371,6,2,7,3,2713,31,
S. Lammers,FC Twente,405,277,19,1,9,4,1509,13,
M. van Bergen,FC Twente,385,313,13,2,151,4,1936,33,
K. Ogawa,NEC Nijmegen,268,183,3,1,0,2,1605,11,
V. Kaj Edvardsen,Go Ahead Eagles,723,513,49,6,38,11,2749,44,
K. Sierhuis,Fortuna Sittard,113,62,6,1,3,1,540,4,
T. Buitink,PEC Zwolle,38,30,0,0,7,1,259,2,
B. Darri Willumsson,FC Groningen,241,160,3,1,3,2,962,16,
J. Hornkamp,AZ Alkmaar,335,224,21,2,10,2,1590,14,
K. de Rooij,PEC Zwolle,133,85,6,1,4,0,336,4,
R. Mendes,FC Groningen,92,63,2,1,1,1,524,6,
YEY. El Kachati,NEC Nijmegen,57,46,3,0,16,1,362,2,
TBT. Baeten,Go Ahead Eagles,10,5,4,0,0,0,11,0,
D. Min,FC Utrecht,263,182,10,0,1,0,1264,7,
T. Parrott,AZ Alkmaar,482,345,9,2,15,4,2212,30,
R. Margaret,Go Ahead Eagles,607,496,15,7,97,7,2525,47,
A. Ueda,Feyenoord,175,135,11,1,3,0,1210,12,
R. Pepi,PSV Eindhoven,174,134,3,2,0,2,683,9,
S. Tengstedt,Go Ahead Eagles,144,123,2,0,3,0,428,3,
L. Kulenović,Heracles Almelo,326,198,8,2,6,3,1455,17,
R. Balk,SC Cambuur,37,26,2,0,7,1,120,3,
C. Driouech,PSV Eindhoven,147,129,7,1,22,1,260,9,
DHD. Haen,Willem II Tilburg,72,40,11,2,0,1,270,4,
L. Zeefuik,AZ Alkmaar,9,8,1,0,0,0,38,0,
E. Bajraktarević,PSV Eindhoven,21,19,0,0,2,0,20,0,
M. Godts,AFC Ajax,623,504,31,2,22,4,1653,20,
M. Meerdink,AZ Alkmaar,276,187,7,0,5,1,1067,13,
RvR. van Hedel,RKC Waalwijk,20,17,4,0,0,0,78,0,
B. Önal,NEC Nijmegen,401,293,25,2,67,3,1446,30,
A. Blake,FC Utrecht,142,110,13,2,14,2,463,11,
A. Hadj Moussa,Feyenoord,653,495,55,3,117,10,1970,35,
DKD. Konadu,AFC Ajax,18,13,0,1,0,0,69,2,
T. van Bergen,FC Groningen,596,435,18,1,8,2,2489,28,
G. Sambo,Heracles Almelo,6,3,1,0,1,0,26,0,
JUJ. Uneken,RKC Waalwijk,0,0,0,0,0,0,0,0,
W. Kooistra,SC Cambuur,0,0,0,0,0,0,0,0,
LVL. Vennegoor of Hesselink,FC Twente,15,8,2,0,0,0,60,0,
PvP. van Loon,Willem II Tilburg,6,6,0,0,0,0,17,0,
OBO. Boakye,Go Ahead Eagles,0,0,0,0,0,0,8,0,
