Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
R. Pasveer,Heracles Almelo,1,1,,0,0,2160,0.0,,0.0633,
P. Tytoń,FC Twente,0,0,,0,0,480,0.0,,0.0,
J. Zoet,AZ Alkmaar,0,0,,0,0,540,0.0,,0.0148,
L. Unnerstall,FC Twente,0,0,,0,0,2790,0.0,,0.0831,
H. Verhulst,AZ Alkmaar,0,0,,0,0,0,0.0,,0.0,
L. Koopmans,Fortuna Sittard,0,0,,0,0,540,0.0,,0.0318,
M. Branderhorst,FC Utrecht,0,0,,0,0,2520,0.0,,0.0947,
N. Olij,PSV Eindhoven,1,3,,0,0,3060,0.0,,0.7306,
M. Brouwer,FC Utrecht,0,0,,0,0,270,0.0,,0.0,
T. Wellenreuther,Feyenoord,1,2,,0,0,2610,0.0,,0.0053,
A. Noppert,SC Heerenveen,0,0,,0,0,1366,0.0,,0.0055,
T. Didillon,Willem II Tilburg,0,0,,0,0,3450,0.0,,0.0239,
H. Jurjus,FC Groningen,0,0,,0,0,180,0.0,,0.0082,
V. Barkas,FC Utrecht,0,0,,0,0,2790,0.0,,0.0355,
Y. van Osch,RKC Waalwijk,0,0,,0,0,270,0.0,,0.0052,
J. Drommel,Sparta Rotterdam,0,0,,0,0,45,0.0,,0.0,
E. Vaessen,FC Groningen,0,0,1.0,0,0,2880,0.0148,0.015,0.0994,
J. De Busser,Go Ahead Eagles,0,0,,0,0,1440,0.0,,0.0261,
J. Schendelaar,PEC Zwolle,2,2,,0,0,2700,0.0,,0.0362,
F. de Keijzer,Heracles Almelo,1,0,,0,0,3060,0.0,,0.4074,
M. Spenkelink,RKC Waalwijk,0,0,,0,0,360,0.0,,0.0,
L. Plogmann,Go Ahead Eagles,0,0,,0,0,1620,0.0,,0.0056,
IEI. El Maach,FC Twente,0,0,,0,0,0,0.0,,0.0,
R. Mantel,Heracles Almelo,0,0,,0,0,0,0.0,,0.0,
NBN. Bakker,SC Heerenveen,0,0,1.0,0,0,3051,0.026,0.026,0.2305,
B. Minnema,SC Cambuur,0,0,,0,0,0,0.0,,0.0,
C. van den Berg,Vitesse,0,0,,0,0,0,0.0,,0.0,
R. Janse,NEC Nijmegen,0,0,,0,0,0,0.0,,0.0,
D. Deen,AZ Alkmaar,0,0,,0,0,0,0.0,,0.0,
T. Jansen,SC Cambuur,0,0,,0,0,120,0.0,,0.0,
S. Jansen,Go Ahead Eagles,0,0,,0,0,0,0.0,,0.0,
N. Verdoni,Go Ahead Eagles,0,0,,0,0,0,0.0,,0.0,
N. Schiks,PSV Eindhoven,0,0,,0,0,0,0.0,,0.0,
T. de Graaff,PEC Zwolle,0,0,,0,0,0,0.0,,0.0,
R. Jayden Owusu-Oduro,AZ Alkmaar,0,0,,0,0,2700,0.0,,0.0077,
K. Gadellaa,FC Utrecht,0,0,,0,0,0,0.0,,0.0,
T. Jansink,Heracles Almelo,0,0,,0,0,0,0.0,,0.0,
D. Baron,FC Groningen,0,0,,0,0,0,0.0,,0.0,
B. Klaverboer,SC Heerenveen,0,0,,0,0,7,0.0,,0.0,
J. Meijster,SC Cambuur,0,0,,0,0,0,0.0,,0.0,
S. Karssies,FC Twente,0,0,,0,0,0,0.0,,0.0,
D. Verduin,PEC Zwolle,0,0,,0,0,0,0.0,,0.0,
N. Martens,Fortuna Sittard,0,0,,0,0,0,0.0,,0.0,
L. Vogels,RKC Waalwijk,0,0,,0,0,0,0.0,,0.0,
DTD. Tevreden,Vitesse,0,0,,0,0,0,0.0,,0.0,
R. Bayram,Fortuna Sittard,0,0,,0,0,0,0.0,,0.0,
YGY. Gerritsen,FC Twente,0,0,,0,0,0,0.0,,0.0,
